650,1,E-ATX,250,554,564,4,158600,[3RSYS] T900 화이트,강화유리,흰색,,3RSYS,
,2,ATX,197,456,432,5,52680,[3RSYS] J410 RGB 블랙 강화유리,강화유리,,,3RSYS,
,3,ATX,206,455,442,3,51650,[3RSYS] J610 화이트 강화유리,강화유리,흰색,,3RSYS,
,4,ATX,206,455,435,4,49590,[3RSYS] J600 블랙 강화유리,강화유리,,,3RSYS,
,5,ATX,223,529,474,3,75410,[3RSYS] L800 블랙 강화유리,강화유리,,,3RSYS,
,6,ATX,194,446,437,4,65000,[3RSYS] J500 BLACK,,,,3RSYS,
,7,E-ATX,250,554,564,3,210000,[3RSYS] T1000 화이트,강화유리,흰색,,3RSYS,
,8,E-ATX,250,554,564,6,146700,[3RSYS] T900,강화유리,,,3RSYS,
,9,ATX,194,455,437,3,37500,[3RSYS] L200 블랙 강화유리,강화유리,,,3RSYS,
,10,ATX,194,466,437,2,41800,[3RSYS] J400 블랙 강화유리,강화유리,,,3RSYS,
,11,m-ATX,181,403,386,6,25800,[3RSYS] R360 풀 아크릴 윈도우 화이트,아크릴,흰색,흰색,3RSYS,
,12,m-ATX,181,403,386,2,23800,[3RSYS] R360 풀 아크릴 윈도우 블랙,아크릴,,,3RSYS,
,13,m-ATX,183,390,393,3,18700,[3RSYS] R350,,,,3RSYS,
,14,ATX,230,475,471,4,93200,[3RSYS] L1100,,,,3RSYS,
,15,ATX,193,423,384,3,28400,[3RSYS] J10,아크릴,,,3RSYS,
,16,E-ATX,250,554,564,5,199200,[3RSYS] T1000,강화유리,,,3RSYS,
,17,ATX,460,400,460,5,360000,[3RSYS] AD 500,강화유리,,,3RSYS,
,18,ATX,177,414,325,6,23860,[3RSYS] REMOTE PC,,,,3RSYS,
,19,ATX,200,500,475,2,67800,[3RSYS] L530 화이트 강화유리,강화유리,흰색,흰색,3RSYS,
,20,ATX,200,500,475,5,62700,[3RSYS] L530 강화유리,강화유리,,,3RSYS,
,21,ATX,195,405,355,4,14560,[3RSYS] R3 USB3.0,,,,3RSYS,
,22,ATX,240,455,475,2,95000,[3RSYS] L1000 화이트 강화유리,강화유리,흰색,흰색,3RSYS,
,23,ATX,200,500,475,6,48200,[3RSYS] L520,아크릴,,,3RSYS,
,24,m-ATX,230,455,454,3,56000,[3RSYS] L400,아크릴,,,3RSYS,
,25,ATX,240,455,475,6,89000,[3RSYS] L1000 강화유리,강화유리,,,3RSYS,
,26,ATX,195,455,435,4,30200,[3RSYS] J210 해머 풀 강화아크릴 윈도우,아크릴,,,3RSYS,
,27,ATX,195,455,435,3,26900,[3RSYS] J210 해머,아크릴,,,3RSYS,
,28,ATX,195,405,355,6,12400,[3RSYS] R2,,,,3RSYS,
,29,ATX,230,490,465,2,82300,[3RSYS] L910 화이트 풀 윈도우 튜닝LED바,아크릴,흰색,흰색,3RSYS,
,30,ATX,230,490,465,2,79500,[3RSYS] L910 풀 윈도우 튜닝LED바,아크릴,,,3RSYS,
,31,ATX,193.5,481,435,4,45000,[3RSYS] L300 미르 USB3.0 화이트,아크릴,검흰,,3RSYS,
,32,ATX,193.5,481,435,6,40100,[3RSYS] L300 미르 USB3.0,아크릴,,,3RSYS,
,33,ATX,230,490,465,5,80000,[3RSYS] L910 화이트 풀 아크릴 윈도우,아크릴,흰색,흰색,3RSYS,
,34,ATX,230,490,465,3,78900,[3RSYS] L910 풀 아크릴 윈도우,아크릴,,,3RSYS,
,35,m-ATX,205,419,372,2,23500,[3RSYS] R-BOX 300 USB3.0,아크릴,,,3RSYS,
,36,ATX,230,465,472,4,79900,[3RSYS] L900 USB3.0 화이트,,흰색,흰색,3RSYS,
,37,ATX,230,465,472,2,70000,[3RSYS] L900 USB3.0,,,,3RSYS,
,38,E-ATX,210,527,505,3,110700,[3RSYS] T200 발키리 NT PWM,아크릴,,,3RSYS,
,39,m-ATX,190,364,367,5,24600,[3RSYS] J300 USB3.0,,,,3RSYS,
,40,ATX,200,500,475,6,74000,[3RSYS] L720 알파 이클립스 SE USB3.0,아크릴,,,3RSYS,
,41,ATX,203,442,440,5,32600,[3RSYS] J200 USB3.0,아크릴,,,3RSYS,
,42,ATX,200,418.5,413,2,26000,[3RSYS] E-4 USB 3.0,,,,3RSYS,
,43,ATX,200,418.5,405,3,19400,[3RSYS] E-2 USB 3.0,,,,3RSYS,
,44,ATX,197,458,447,2,51000,[COX] A3 쥬빌레 풀 아크릴 윈도우 with HALO X4 화이트,아크릴,,,COX,
,45,ATX,197,458,447,3,51000,[COX] A3 쥬빌레 풀 아크릴 윈도우 with HALO X4 블랙,아크릴,,,COX,
,46,E-ATX,249,512,504,3,123000,[COX] A9 가이아 RGB 컨트롤 3면 강화유리 HALO 140F,강화유리,,,COX,
,47,E-ATX,225,518,512,2,92500,[ABKO] SUITMASTER 810S 제로노이즈 저소음 화이트,,,,ABKO,
,48,E-ATX,231,518,512,4,86000,[ABKO] SUITMASTER 820G 크로노스 강화유리 라이저레디 화이트,강화유리,,,ABKO,
,49,ATX,206,442,428,4,47500,[COX] A5 오팔 2면 강화유리 롤리팝 LED 화이트,강화유리,,,COX,
,50,ATX,194,454,413,2,49000,[COX] A5 셀레네 2면 강화유리 화이트,강화유리,,,COX,
,51,ATX,194,454,413,2,47000,[COX] A5 셀레네 2면 강화유리 블랙,강화유리,,,COX,
,52,ATX,218,562,508,5,113640,[ABKO] SUITMASTER 603G 아우라 RGB 컨트롤 2면 강화유리 듀얼백 with HALO DOUBLING 화이트,강화유리,,,ABKO,
,53,ATX,218,513,450,2,76000,[ABKO] SUITMASTER 513G 이지스 RGB 컨트롤 2면 강화유리 with HALO 화이트,강화유리,,,ABKO,
,54,ATX,206,442,428,3,46000,[COX] A5 오팔 2면 강화유리 롤리팝 LED 블랙,강화유리,,,COX,
,55,E-ATX,231,518,512,4,79000,[ABKO] SUITMASTER 820G 크로노스 강화유리 라이저레디,강화유리,,,ABKO,
,56,E-ATX,225,518,512,5,84000,[ABKO] SUITMASTER 810S 제로노이즈 저소음,,,,ABKO,
,57,ATX,230,530,462,3,79000,[ABKO] SUITMASTER 401G 에오스 4면 강화유리 with HALO DOUBLING,아크릴,,,ABKO,
,58,ATX,216,494,469,3,73000,[ABKO] SUITMASTER 361G 칼리스토 2면 강화유리 with DOUBLING 화이트,강화유리,,,ABKO,
,59,ATX,200,461,392,4,35000,[ABKO] NCORE 빅뱅 풀아크릴윈도우,아크릴,,,ABKO,
,60,ATX,200,461,392,5,35500,[ABKO] NCORE 카오스 풀 아크릴 & 강화유리 화이트,아크릴,,,ABKO,
,61,ATX,200,461,392,4,33500,[ABKO] NCORE 카오스 풀 아크릴 & 강화유리 블랙,아크릴,,,ABKO,
,62,ATX,198,440,432,2,31500,[ABKO] NCORE 팬서 풀 아크릴 윈도우 with HALO 화이트,아크릴,,,ABKO,
,63,ATX,198,440,432,4,31500,[ABKO] NCORE 팬서 풀 아크릴 윈도우 with HALO 블랙,아크릴,,,ABKO,
,64,ATX,192,420,403,6,29500,[ABKO] NCORE 그라시아 풀아크릴&강화유리 with HALO,아크릴,,,ABKO,
,65,ATX,1912,420,397,6,26000,[ABKO] NCORE 벨루스 USB3.0 풀 아크릴 윈도우,아크릴,,,ABKO,
,66,ATX,216,494,469,6,68000,[ABKO] SUITMASTER 362A 아도니스 알루미늄 & 강화유리 with DOUBLING,강화유리,,,ABKO,
,67,ATX,223,530,449,5,97000,[ABKO] SUITMASTER 515G 팔콘 RGB 컨트롤 4면 강화유리 with HALO,강화유리,,,ABKO,
,68,ATX,230,581,484,5,167990,[ABKO] SUITMASTER 605G 허블 RGB 컨트롤 4면 강화유리 듀얼백 with HALO DOUBLING,강화유리,,,ABKO,
,69,ATX,194,491,436,4,37500,[ABKO] NCORE 아수라 USB3.0 풀 아크릴 윈도우 화이트,아크릴,,,ABKO,
,70,ATX,218,513,450,2,69000,[ABKO] SUITMASTER 513G 이지스 RGB 컨트롤 2면 강화유리 with HALO,강화유리,,,ABKO,
,71,ATX,218,562,508,4,108000,[ABKO] SUITMASTER 603G 아우라 RGB 컨트롤 2면 강화유리 듀얼백 with HALO DOUBLING,강화유리,,,ABKO,
,72,E-ATX,230,545,470,6,69000,[ABKO] NCORE 아레스 USB3.0 4면 풀 아크릴 윈도우 with HALO,아크릴,흰색,흰색,ABKO,
,73,ATX,198,463,425,2,25000,[ABKO] NCORE 타나토스 USB3.0 풀 아크릴 윈도우,아크릴,,,ABKO,
,74,ATX,180,424,372,4,16060,[COX] A3 캐논 PC방,아크릴,,,COX,
,75,ATX,218,512,465,2,50000,[ABKO] SUITMASTER 511S 크로우 RGB 컨트롤 강화유리 with HALO,강화유리,,,ABKO,
,76,ATX,218,560,485,6,78740,[ABKO] SUITMASTER 601S 타이탄 RGB 컨트롤 강화유리 듀얼백 with HALO,강화유리,,,ABKO,
,77,E-ATX,220,505,465,5,89000,[ABKO] SUITMASTER 701S 튠업 강화유리 with HALO 화이트,강화유리,흰색,흰색,ABKO,
,78,E-ATX,225,518,478,6,195500,[ABKO] SUITMASTER 730AL 알루미늄 RGB 컨트롤 with HALO DOUBLING,강화유리,,,ABKO,
,79,ATX,193,427,419,4,31000,[ABKO] NCORE 쿨맥스 USB3.0 풀 아크릴 윈도우 화이트,아크릴,흰색,,ABKO,
,80,ATX,193,427,419,5,31000,[ABKO] NCORE 포세이돈 USB3.0 풀 아크릴 윈도우 화이트,아크릴,흰색,,ABKO,
,81,E-ATX,220,505,465,4,83000,[ABKO] SUITMASTER 701S 튠업 강화유리 with HALO 블랙,강화유리,,,ABKO,
,82,ATX,212,503,448,6,58000,[ABKO] SUITMASTER 350S 강화유리 with HALO 화이트,강화유리,흰색,흰색,ABKO,
,83,ATX,193,427,419,5,29000,[ABKO] NCORE 쿨맥스 USB3.0 풀 아크릴 윈도우,아크릴,,,ABKO,
,84,ATX,193,427,419,5,29000,[ABKO] NCORE 포세이돈 USB3.0 풀 아크릴 윈도우,아크릴,,,ABKO,
,85,ATX,180,416,367,2,17000,[ABKO] NCORE 배럭 PC방,,,,ABKO,
,86,E-ATX,250,502,530,4,167000,[ABKO] SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING 화이트,강화유리,흰색,흰색,ABKO,
,87,ATX,212,503,448,6,54000,[ABKO] SUITMASTER 350S 강화유리 with HALO 블랙,강화유리,,,ABKO,
,88,ATX,193,428,395,2,21900,[COX] A3 인트로 USB3.0 풀 아크릴 윈도우 화이트,아크릴,흰색,,COX,
,89,ATX,193,428,395,4,19900,[COX] A3 인트로 USB3.0 풀 아크릴 윈도우 블랙,아크릴,,,COX,
,90,ATX,215,500,455,4,63000,[ABKO] SUITMASTER 330S 강화유리 with HALO 화이트,강화유리,흰색,흰색,ABKO,
,91,ATX,215,500,455,6,59000,[ABKO] SUITMASTER 330S 강화유리 with HALO 블랙,강화유리,,,ABKO,
,92,E-ATX,230,515,470,4,155000,[ABKO] SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING 화이트,강화유리,흰색,흰색,ABKO,
,93,E-ATX,230,515,470,4,149000,[ABKO] SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING,강화유리,,,ABKO,
,94,ATX,187,440,429,2,27000,[ABKO] NCORE 코로나 USB3.0 풀아크릴 윈도우 화이트,아크릴,흰색,,ABKO,
,95,ATX,187,440,429,6,25500,[ABKO] NCORE 코로나 USB3.0 풀아크릴 윈도우 블랙,아크릴,,,ABKO,
,96,E-ATX,300,475,380,5,79000,[ABKO] SUITMASTER EX201 Xcube 4면 강화유리,강화유리,,,ABKO,
,97,ATX,197,460,413,2,31500,[COX] A3 스캣 USB3.0 풀 아크릴 윈도우,아크릴,,,COX,
,98,E-ATX,250,502,530,5,159000,[ABKO] SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING,강화유리,,,ABKO,
,99,ATX,201,455,450,4,38000,[COX] A3 베이스 USB3.0 풀 아크릴 윈도우,아크릴,,,COX,
,100,ATX,195,410,385,5,13600,[COX] CX30 USB 3.0,,,,COX,
,101,ATX,200,432,450,2,53000,[COX] A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 화이트,아크릴,흰색,흰색,COX,
,102,ATX,200,432,450,6,49000,[COX] A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 블랙,아크릴,,,COX,
,103,ATX,201,425,412,3,30600,[COX] A3 첼로 USB3.0 풀 아크릴 윈도우,아크릴,은색,,COX,
,104,ATX,197,447,458,3,48000,[COX] A3 노빌레 풀아크릴윈도우 with 헤일로X4 화이트,아크릴,흰색,흰색,COX,
,105,ATX,197,447,458,2,44000,[COX] A3 노빌레 풀아크릴윈도우 with 헤일로X4 블랙,아크릴,,,COX,
,106,ATX,197,447,450,4,35000,[COX] A3 녹턴 USB3.0 풀 아크릴 윈도우 화이트,아크릴,흰색,흰색,COX,
,107,ATX,197,447,450,3,32000,[COX] A3 녹턴 USB3.0 풀 아크릴 윈도우 블랙,아크릴,,,COX,
,108,ATX,220,475,515,2,71000,[ABKO] NCORE G200 타노스 IG USB3.0 강화유리 화이트,강화유리,흰색,흰색,ABKO,
,109,E-ATX,220,465,508,6,86000,[ABKO] SUITMASTER 701S USB3.0 강화유리 화이트,강화유리,흰색,흰색,ABKO,
,110,ATX,201,440,435,5,23920,[ABKO] A3 밴조 USB3.0 풀 아크릴 윈도우,아크릴,,,ABKO,
,111,E-ATX,207,472,458,2,49000,[ABKO] NCORE 플래툰 USB3.0 강화유리 화이트,강화유리,흰색,흰색,ABKO,
,112,E-ATX,207,472,458,4,45000,[ABKO] NCORE 플래툰 USB3.0 강화유리 블랙,강화유리,,,ABKO,
,113,ATX,198,450,442,6,22000,[COX] A3 왈츠 USB3.0 풀 아크릴 윈도우,아크릴,,,COX,
,114,E-ATX,215,463,467,4,60000,[COX] A7 레가토 USB3.0 강화유리 화이트,강화유리,흰색,,COX,
,115,E-ATX,215,463,467,4,55000,[COX] A7 레가토 USB3.0 강화유리 블랙,강화유리,회색,,COX,
,116,ATX,197,455,460,4,29900,[COX] A3 아리아 USB3.0 풀 아크릴 윈도우 튜닝 LED 컨트롤,아크릴,,,COX,
,117,ATX,178,410,379,3,11900,[ABKO] NCORE F1 스나이퍼 PC방,,,,ABKO,
,118,m-ATX,189,360,367,6,23500,[COX] A1 피아노 USB3.0 아크릴 윈도우,아크릴,,,COX,
,119,ATX,218,457,535,4,42700,[COX] A7 토닉 USB3.0 풀 아크릴 윈도우,아크릴,,,COX,
,120,ATX,195,415,410,5,20000,[ABKO] NCORE 마린 USB3.0,,,,ABKO,
,121,E-ATX,220,465,508,3,80000,[ABKO] SUITMASTER 701S USB3.0 강화유리 블랙,강화유리,,,ABKO,
,122,ATX,198,450,452,6,52000,[ABKO] NCORE 사파이어 3.0 풀아크릴 & 강화유리 화이트,아크릴,흰색,흰색,ABKO,
,123,ATX,206,470,443,2,45000,[ABKO] NCORE 커브 USB3.0 풀 아크릴 윈도우 화이트 with HALO,아크릴,흰색,흰색,ABKO,
,124,ATX,206,470,443,4,40000,[ABKO] NCORE 커브 USB3.0 풀 아크릴 윈도우 블랙 with HALO,아크릴,,,ABKO,
,125,ATX,206,470,440,4,42000,[ABKO] A5 오페라 USB3.0 풀 아크릴 윈도우 화이트,아크릴,흰색,흰색,ABKO,
,126,ATX,194,491,436,4,31000,[ABKO] NCORE 아수라 USB3.0 풀 아크릴 윈도우,아크릴,,,ABKO,
,127,ATX,206,470,440,5,38000,[ABKO] A5 오페라 USB3.0 풀 아크릴 윈도우 블랙,아크릴,,,ABKO,
,128,ATX,220,507,511,3,80000,[ABKO] SUITMASTER 501S RGB 무선리모트 강화유리 블랙,강화유리,,,ABKO,
,129,ATX,220,507,511,5,85000,[ABKO] SUITMASTER 501S RGB 무선리모트 강화유리 화이트,강화유리,흰색,흰색,ABKO,
,130,ATX,206,470,440,4,42000,[ABKO] A5 코다 USB3.0 풀 아크릴 윈도우 화이트,아크릴,흰색,,ABKO,
,131,ATX,206,470,440,3,38000,[ABKO] A5 코다 USB3.0 풀 아크릴 윈도우 블랙,아크릴,,,ABKO,
,132,ATX,211,475,494,6,88400,[쿨러마스터] MASTERBOX MB500 RGB 컨트롤러 강화유리,강화유리,,,쿨러마스터,
,133,m-ATX,230,450,450,6,104000,[쿨러마스터] MASTERBOX Q300P RGB 컨트롤러 풀 아크릴 윈도우,아크릴,,,쿨러마스터,
,134,m-ITX,260,208,280,4,68700,[쿨러마스터] ELITE 110A USB 3.0,,,,쿨러마스터,
,135,ATX,242,542,544,5,196800,[쿨러마스터] MasterCase H500P RGB 컨트롤러 강화유리,강화유리,,,쿨러마스터,
,136,E-ATX,306,639,650,6,430000,[쿨러마스터] COSMOS C700P RGB Strip 강화유리,강화유리,,,쿨러마스터,
,137,ATX,200,468.8,454.5,3,71000,[쿨러마스터] MASTERBOX LITE 5 RGB 컨트롤러 강화유리,강화유리,,,쿨러마스터,
,138,ATX,200,468.8,454.5,6,68000,[쿨러마스터] MASTERBOX LITE 5 RGB 강화유리,강화유리,,,쿨러마스터,
,139,E-ATX,344,704,664,3,546000,[쿨러마스터] COSMOS II 25TH ANNIVERSARY EDITION 대양케이스,강화유리,은색,,쿨러마스터,
,140,ATX,242,574,544,3,312000,[쿨러마스터] MasterCase Maker 5T LED Strip 강화유리,강화유리,검빨,빨강,쿨러마스터,
,141,ATX,200,470,480,2,65000,[쿨러마스터] CM590 III 블루 LED 윈도우 MID TOWER,아크릴,,,쿨러마스터,
,142,m-ATX,235,505,467,3,125000,[쿨러마스터] MASTERCASE PRO 3,아크릴,,,쿨러마스터,
,143,ATX,235,512,548,5,210000,[쿨러마스터] MASTERCASE PRO 5 엔비디아 에디션,아크릴,검초,,쿨러마스터,
,144,ATX,220,475,500,4,59000,[쿨러마스터] MASTERBOX5 화이트 Mirror,아크릴,흰색,흰색,쿨러마스터,
,145,ATX,220,475,500,2,55000,[쿨러마스터] MASTERBOX5 Black Mesh,아크릴,,,쿨러마스터,
,146,ATX,235,548,528.6,3,250000,[쿨러마스터] MasterCase Maker 5 LED Strip 대양케이스,아크릴,,,쿨러마스터,
,147,ATX,235,512,548,4,199500,[쿨러마스터] MasterCase5 Pro 대양케이스,아크릴,,,쿨러마스터,
,148,ATX,235,512,548,5,155500,[쿨러마스터] MasterCase5 대양케이스,,,,쿨러마스터,
,149,ATX,220,507,508.6,4,197000,[쿨러마스터] Silenio 652S,,,,쿨러마스터,
,150,ATX,190,449,497,4,96000,[쿨러마스터] Silencio 452,,,,쿨러마스터,
,151,m-ITX,260,208,280,6,70000,[쿨러마스터] ELITE 110,,,,쿨러마스터,
,152,E-ATX,221,719,578,4,352000,[쿨러마스터] HAF STACKER 945R,아크릴,,,쿨러마스터,
,153,E-ATX,221,719,578,6,352000,[쿨러마스터] HAF STACKER 945F,아크릴,,,쿨러마스터,
,154,m-ITX,228,243,578,5,109000,[쿨러마스터] HAF STACKER 915R,,,,쿨러마스터,
,155,m-ITX,228,248,578,2,109000,[쿨러마스터] HAF STACKER 915F,,,,쿨러마스터,
,156,E-ATX,235,719,578,3,247000,[쿨러마스터] HAF STACKER 935,아크릴,,,쿨러마스터,
,157,ATX,220,479,525.6,3,184000,[쿨러마스터] Silencio 652,,,,쿨러마스터,
,158,E-ATX,263.8,569.4,524.4,6,245000,[쿨러마스터] COSMOS SE WINDOW,아크릴,,,쿨러마스터,
,159,ATX,220,455,520,2,121000,[쿨러마스터] N600,아크릴,,,쿨러마스터,
,160,m-ITX,268,70,290,3,78000,[쿨러마스터] Mini 110,,,,쿨러마스터,
,161,ATX,220,429,480,5,60000,[쿨러마스터] K282,,,,쿨러마스터,
,162,m-ITX,240,205,377.5,4,74000,[쿨러마스터] ELITE 130,,,,쿨러마스터,
,163,m-ATX,200,378,453,5,79000,[쿨러마스터] Silencio 352,,,,쿨러마스터,
,164,ATX,230,507,502,6,142000,[쿨러마스터] CM690 III,,,,쿨러마스터,
,165,ATX,230,507,502,4,153000,[쿨러마스터] CM690 III WINDOW,아크릴,,,쿨러마스터,
,166,E-ATX,216,492,448,5,58000,[SAMA] STALLION KB17 3면 강화유리 with HALO,강화유리,,,SAMA,
,167,ATX,217,460,432,2,54000,[SAMA] STALLION BA1 토파즈 USB3.0 강화유리,강화유리,,,SAMA,
,168,ATX,216,473,455,3,44000,[SAMA] STALLION KB10 USB3.0 강화유리,강화유리,,,SAMA,
,169,m-ATX,237,455,465,4,62000,[SAMA] STALLION F01 USB3.0 RGB 컨트롤 강화유리 화이트,강화유리,흰색,흰색,SAMA,
,170,m-ATX,237,455,465,5,57000,[SAMA] STALLION F01 USB3.0 RGB 컨트롤 강화유리 블랙,강화유리,,,SAMA,
,171,E-ATX,230,470,520,3,74000,[SAMA] STALLION K901B Zero NOISE 강화유리 화이트,강화유리,흰색,흰색,SAMA,
,172,E-ATX,230,470,520,5,71000,[SAMA] STALLION K901B Zero NOISE 강화유리 BLACK,강화유리,,,SAMA,
,173,E-ATX,238,507,512,5,85000,[SAMA] STALLION K902B RGB 컨트롤 강화유리 화이트,강화유리,흰색,흰색,SAMA,
,174,E-ATX,238,507,512,6,81000,[SAMA] STALLION K902B RGB 컨트롤 강화유리 블랙,강화유리,,,SAMA,
,175,E-ATX,220,507,511,5,94000,[SAMA] STALLION K902B RGB Ctrl BLACK,아크릴,,,SAMA,
,176,E-ATX,230,470,520,5,92000,[SAMA] STALLION K901B Zero NOISE 화이트,,흰색,흰색,SAMA,
,177,E-ATX,230,470,520,6,65000,[SAMA] STALLION K901B Zero NOISE BLACK,,,,SAMA,
,178,ATX,205,490,482,2,81000,[잘만] Z9 NEO PLUS 풀 아크릴 윈도우 화이트,아크릴,,,잘만,
,179,ATX,205,490,482,4,78000,[잘만] Z9 NEO PLUS 풀 아크릴 윈도우 블랙,아크릴,,,잘만,
,180,ATX,205,490,482,6,62400,[잘만] Z9 NEO 화이트,아크릴,흰색,,잘만,
,181,ATX,205,490,482,2,62400,[잘만] Z9 NEO,아크릴,,,잘만,
,182,ATX,203,445,464,2,37380,[잘만] Z1 NEO,아크릴,,,잘만,
,183,m-ATX,175,380,404,6,28680,[잘만] A1,,,,잘만,
,184,ATX,205,520,515,5,67200,[잘만] Z11 NEO,아크릴,,,잘만,
,185,m-ITX,261,394,426,5,76950,[잘만] M1,,,,잘만,
,186,m-ATX,189,427.5,364,2,30150,[잘만] ZM-T2 PLUS USB 3.0,,,,잘만,
,187,m-ATX,189,427.5,364,5,29860,[잘만] ZM-T4,,,,잘만,
,188,ATX,220,505,480,6,68500,[대양케이스] NEXT Rev.2 화이트 RING LED 강화유리,강화유리,,,대양케이스,
,189,m-ATX,175,350,357,4,17680,[대양케이스] TWINS 140 USB 3.0,,,,대양케이스,
,190,m-ATX,175,350,357,2,17680,[대양케이스] TWINS 240 USB 3.0,,,,대양케이스,
,191,ATX,205,420,430,4,31000,[대양케이스] LUCIO 화이트 RING 블루 LED 강화유리,아크릴,,,대양케이스,
,192,ATX,205,420,430,4,29500,[대양케이스] LUCIO 블랙 RING 화이트 LED 강화유리,아크릴,,,대양케이스,
,193,ATX,205,502,435,6,31000,[대양케이스] ENIX 풀 아크릴 윈도우 블랙 화이트 LED,아크릴,,,대양케이스,
,194,ATX,187,457,470,5,47660,[대양케이스] REFRACT S1 화이트 LED RING팬 강화유리,강화유리,,,대양케이스,
,195,ATX,195,460,430,5,29000,[대양케이스] NEXT USB 3.0 풀 아크릴 Blue LED,아크릴,,,대양케이스,
,196,ATX,195,410,410,2,15600,[대양케이스] S31 USB 3.0,,,,대양케이스,
,197,ATX,195,410,410,5,15600,[대양케이스] S3.0 USB 3.0,,,,대양케이스,
,198,ATX,205,470,440,4,49000,[대양케이스] Moonlight II 블랙 RINGS White LED 풀아크릴,아크릴,흰색,,대양케이스,
,199,ATX,205,470,440,2,45050,[대양케이스] Moonlight II 블랙 RINGS Blue LED 풀아크릴,아크릴,,,대양케이스,
,200,ATX,185,460,420,6,36980,[대양케이스] BARON USB 3.0 풀 아크릴 윈도우,아크릴,흰색,,대양케이스,
,201,ATX,185,460,405,5,35920,[대양케이스] CARMEN USB 3.0 풀 아크릴 윈도우,아크릴,,,대양케이스,
,202,ATX,185,440,410,4,31200,[대양케이스] NEON USB 3.0 RGB LED Strips 풀 아크릴 윈도우,아크릴,,,대양케이스,
,223,ATX,211,490,513,3,86840,[마이크로닉스] Master T800 하드베이 모듈,아크릴,,,마이크로닉스,
,224,ATX,205,480,475,2,74600,[마이크로닉스] Master AREZ Z300 Snow Edition,강화유리,,,마이크로닉스,
,225,ATX,203,520,470,5,64700,[마이크로닉스] Master M400 메쉬X강화유리,강화유리,,,마이크로닉스,
,226,ATX,203,520,470,2,67800,[마이크로닉스] Master M400 아크릴X강화유리,강화유리,,,마이크로닉스,
,227,ATX,200,467,455,4,29500,[마이크로닉스] Bohemian Delfino,아크릴,,,마이크로닉스,
,228,ATX,206,461,457,3,40300,[마이크로닉스] Master T400,아크릴,,,마이크로닉스,
,229,ATX,195,455,470,2,58000,[마이크로닉스] Frontier H350 블랙 With Riser Cable,아크릴,,,마이크로닉스,
,230,ATX,195,455,470,2,57850,[마이크로닉스] Frontier H350 화이트 With Riser Cable,아크릴,,,마이크로닉스,
,231,ATX,200,510,460,3,45500,[마이크로닉스] Master M200 풀 아크릴 윈도우,아크릴,,,마이크로닉스,
,232,ATX,205,480,475,3,65330,[마이크로닉스] Master ARES Z300 강화유리,강화유리,,,마이크로닉스,
,233,ATX,195,455,470,6,28900,[마이크로닉스] Frontier H350 블랙,아크릴,,,마이크로닉스,
,234,ATX,175,405,360,6,15500,[마이크로닉스] Frontier H100 PC방,,,은색,마이크로닉스,
,235,ATX,195,455,470,4,29500,[마이크로닉스] Frontier H350 화이트,아크릴,흰색,,마이크로닉스,
,236,ATX,195,410,355,6,22000,[마이크로닉스] 루팡,,,,마이크로닉스,
,237,ATX,190,483,436,6,28500,[마이크로닉스] 듀크 풀 아크릴 윈도우,아크릴,,,마이크로닉스,
