,,,System Cooler,가격,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,날개 색,본체 색,LED 색,발광 부분,보증 기간
131,120,,[BRAVOTEC] JONSBO FR-601 ARGB,\12500,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,검정,검정,RGB (Auto),링,
132,120,,[BRAVOTEC] JONSBO FR-601 RED,\9800,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,검정,검정,빨강,링,
133,120,,[BRAVOTEC] JONSBO FR-601 WHITE,\9800,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,38.5CFM,,0.95mmH2O,,24dBA,검정,검정,흰색,링,
134,120,,[BRAVOTEC] JONSBO FR-301 써클링 RED LED PWM,\16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,14.8CFM,45.1CFM,,,18dBA,26.1dBA,검정,검정,빨강,링,
135,120,,[BRAVOTEC] JONSBO FR-201 헥사곤 WHITE LED PWM,\16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,14.8CFM,45.1CFM,,,18dBA,26.1dBA,검정,검정,흰색,링,
136,120,,[BRAVOTEC] JONSBO FR-201 헥사곤 RED LED PWM,\16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,14.8CFM,45.1CFM,,,18dBA,26.1dBA,검정,검정,빨강,링,
137,120,,[BRAVOTEC] JONSBO FR-531 LED RGB,\29000,BRAVOTEC,120mm,25T,Hydraulic,6핀,750rpm,1300rpm,24.6CFM,42.6CFM,,,18dBA,25.6dBA,투명,검정,RGB (Cont),팬,
138,120,,[BRAVOTEC] JONSBO FR-101 WHITE LED PWM,\24000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1800rpm,23.8CFM,48.84CFM,,,15.2dBA,29.6dBA,크롬,검정,흰색,팬,
139,120,,[BRAVOTEC] JONSBO FR-101 RED LED PWM,\19100,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1800rpm,23.8CFM,48.84CFM,,,15.2dBA,29.6dBA,크롬,검정,빨강,팬,
140,120,,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED RGB,\47000,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,22.5CFM,50.5CFM,,,18.5dBA,25.4dBA,투명,검정,256C (Cont),링,
141,120,,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED RED,\47000,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,22.5CFM,50.5CFM,,,18.5dBA,25.4dBA,투명,검정,빨강,링,
142,120,,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED GREEN,\47000,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,22.5CFM,50.5CFM,,,18.5dBA,25.4dBA,투명,검정,녹색,링,
143,120,, ,,,120mm,,,,,,,,,,,,,,,,
144,120,,[COLORFUL] LUNA SQUARE BLUE,\8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,,36CFM,,1.1mmH2O,,,투명,검정,파랑,링,
145,120,,[COLORFUL] LUNA SQUARE RED,\8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,,36CFM,,1.1mmH2O,,,투명,검정,빨강,링,
146,120,,[COLORFUL] LUNA SQUARE GREEN,\8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,,36CFM,,1.1mmH2O,,,투명,검정,녹색,링,
147,120,,[COLORFUL] LUNA SQUARE WHITE,\8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,,36CFM,,1.1mmH2O,,,투명,검정,흰색,링,
148,120,, ,,,120mm,,,,,,,,,,,,,,,,
149,120,,[CORSAIR] ML120 PRO RGB (3PACK/Controller),\158040,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,1600rpm,,47.3CFM,,1.78mmH2O,,25dBA,흰색,검정,RGB (Cont),팬,5년
150,120,,[CORSAIR] ML120 PRO RGB (1PACK),\43880,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,1600rpm,,47.3CFM,,1.78mmH2O,,25dBA,흰색,검정,RGB (Cont),팬,5년
151,120,,[CORSAIR] LL120 (3PACK/Controller),\176800,CORSAIR,120mm,25T,Hydraulic,4핀,600rpm,1500rpm,,43.25CFM,,1.61mmH2O,,24.8dBA,흰색,검정,RGB (Cont),팬/링,2년
152,120,,[CORSAIR] LL120 (1PACK),\48880,CORSAIR,120mm,25T,Hydraulic,4핀,600rpm,1500rpm,,43.25CFM,,1.61mmH2O,,24.8dBA,흰색,검정,RGB (Cont),팬/링,2년
153,120,,[CORSAIR] SP120 RGB (3PACK/Controller),\102960,CORSAIR,120mm,25T,Hydraulic,3핀,,1400rpm,,52CFM,,1.45mmH2O,,26dBA,흰색,검정,RGB (Cont),팬,2년
154,120,,[CORSAIR] SP120 RGB (1PACK),\31000,CORSAIR,120mm,25T,Hydraulic,3핀,,1400rpm,,52CFM,,1.45mmH2O,,26dBA,흰색,검정,RGB (Cont),팬,2년
155,120,,[CORSAIR] HD120 (3PACK/Controller),\135000,CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,,54.4CFM,,2.25mmH2O,18dBA,30dBA,흰색,검정,RGB (Cont),팬,2년
156,120,,[CORSAIR] HD120 (1PACK/Controller),\60000,CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,,54.4CFM,,2.25mmH2O,18dBA,30dBA,흰색,검정,RGB (Cont),팬,2년
157,120,,[CORSAIR] HD120 (1PACK),\40000,CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,,54.4CFM,,2.25mmH2O,18dBA,30dBA,흰색,검정,RGB (Cont),팬,2년
158,120,,[CORSAIR] ML120 PRO LED White,\42850,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,12CFM,75CFM,0.2mmH2O,4.2mmH2O,16dBA,37dBA,투명,검정,흰색,팬,5년
159,120,,[CORSAIR] ML120 PRO LED Blue,\39900,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,12CFM,75CFM,0.2mmH2O,4.2mmH2O,16dBA,37dBA,투명,검정,파랑,팬,5년
160,120,,[CORSAIR] ML120 PRO LED Red,\39520,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,12CFM,75CFM,0.2mmH2O,4.2mmH2O,16dBA,37dBA,투명,검정,빨강,팬,5년
161,120,,[CORSAIR] SP120 LED 퍼플,\15000,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,,57.24CFM,,1.6mmH2O,,26.4dBA,투명,검정,보라,팬,
162,120,,[CORSAIR] SP120 LED 그린,\24500,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,,57.24CFM,,1.6mmH2O,,26.4dBA,투명,검정,녹색,팬,
163,120,,[CORSAIR] SP120 LED 블루,\24500,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,,57.24CFM,,1.6mmH2O,,26.4dBA,투명,검정,파랑,팬,
164,120,, ,,,120mm,,,,,,,,,,,,,,,,
165,120,,[COUGAR] DUAL-X 120mm LED 화이트,\15710,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,64.37CFM,,1.74mmH2O,,16.6dBA,흰색,검정,흰색,팬,
166,120,,[COUGAR] DUAL-X 120mm LED 블루,\15000,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,64.37CFM,,1.74mmH2O,,16.6dBA,파랑,검정,파랑,팬,
167,120,,[COUGAR] DUAL-X 120mm LED 레드,\15710,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,64.37CFM,,1.74mmH2O,,16.6dBA,빨강,검정,빨강,팬,
168,120,,[COUGAR] DUAL-X 120mm LED 그린,\15000,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,64.37CFM,,1.74mmH2O,,16.6dBA,녹색,검정,녹색,팬,
169,120,, ,,,120mm,,,,,,,,,,,,,,,,
170,120,,[CRYORIG] QF120 BALANCE,\16630,CRYORIG,120mm,25T,HPLN,4핀,330rpm,1600rpm,,49CFM,,1.65mmH2O,10dBA,25dBA,흰색,검정,,,3년
171,120,,[CRYORIG] QF120 PERFORMANCE,\16630,CRYORIG,120mm,25T,HPLN,4핀,600rpm,2200rpm,,83CFM,,3.33mmH2O,13dBA,37dBA,흰색,검정,,,3년
172,120,,[CRYORIG] QF120 SILENT,\16630,CRYORIG,120mm,25T,HPLN,4핀,200rpm,1000rpm,,44CFM,,0.79mmH2O,5dBA,19dBA,흰색,검정,,,3년
173,120,, ,,,120mm,,,,,,,,,,,,,,,,
174,120,,[DEEPCOOL] RF120 RGB 아우라 싱크 PWM BRAVOTEC (3PACK),\57700,DEEPCOOL,120mm,25T,Hydro,4핀,500rpm,1500rpm,,56.5CFM,,,17.8dBA,27dBA,투명,검정,RGB (MB),팬,1년
175,120,,[DEEPCOOL] RF120 RGB 아우라 싱크 PWM BRAVOTEC (1PACK),\18360,DEEPCOOL,120mm,25T,Hydro,4핀,500rpm,1500rpm,,56.5CFM,,,17.8dBA,27dBA,투명,검정,RGB (MB),팬,1년
176,120,, ,,,120mm,,,,,,,,,,,,,,,,
177,120,,[Fractal Design] Dynamic X2 GP-12B,\17220,Fractal Design,120mm,25T,LLS,3핀,,1200rpm,,52.3CFM,,0.88mmH2O,,19.4dBA,검정,검정,,,2년
178,120,,[Fractal Design] Dynamic X2 GP-12W,\17000,Fractal Design,120mm,25T,LLS,3핀,,1200rpm,,52.3CFM,,0.88mmH2O,,19.4dBA,흰색,검정,,,2년
179,120,,[Fractal Design] Venturi Series HP-12 PWM,\24000,Fractal Design,120mm,25T,FDB,4핀,,1800rpm,,61.4CFM,,2.3mmH2O,,31.7dBA,검정,검정,,,2년
180,120,,[Fractal Design] Venturi Series HP-12,\22680,Fractal Design,120mm,25T,FDB,3핀,,1400rpm,,83.4CFM,,1.22mmH2O,,25.3dBA,검정,검정,,,2년
181,120,,[Fractal Design] Dynamic GP-12K,,Fractal Design,120mm,25T,Hydraulic,3핀,,1200rpm,,52.3CFM,,0.88mmH2O,,19.4dBA,검정,검정,,,2년
182,120,,[Fractal Design] Dynamic GP-12W,,Fractal Design,120mm,25T,Hydraulic,3핀,,1200rpm,,52.3CFM,,0.88mmH2O,,19.4dBA,흰색,검정,,,2년
183,120,, ,,,120mm,,,,,,,,,,,,,,,,
184,120,,[ID-COOLING] DF-12025 RGB TRIO (3PACK/REMOTE),\-,ID-COOLING,120mm,25T,Hydraulic,4핀,900rpm,2000rpm,,56.5CFM,,1.82mmH2O,16.2dBA,31.5dBA,흰색,검정,RGB (MB/Cont),팬,0.5년
185,120,,[ID-COOLING] SF-12025 RGB TRIO (3PACK/REMOTE),\39000,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1800rpm,,74.5CFM,,2.15mmH2O,18dBA,35.2dBA,투명,검정,RGB (MB/Cont),팬,0.5년
186,120,,[ID-COOLING] RB-12025 RGB KIT 3RSYS (3PACK/RGB HUB),\48980,ID-COOLING,120mm,25T,,8핀,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,검정,검정,RGB (Cont),링,
187,120,,[ID-COOLING] SF-12025-W,\9290,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,,62CFM,,1.78mmH2O,18dBA,26.4dBA,흰색,흰색,흰색,팬,
188,120,,[ID-COOLING] SF-12025-R,\9290,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,,62CFM,,1.78mmH2O,18dBA,26.4dBA,흰색,검정,빨강,팬,
189,120,,[ID-COOLING] SF-12025-G,\9290,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,,62CFM,,1.78mmH2O,18dBA,26.4dBA,흰색,검정,녹색,팬,
190,120,,[ID-COOLING] SF-12025-B,\9290,ID-COOLING,120mm,25T,Hydraulic,4핀,700rpm,1500rpm,,62CFM,,1.78mmH2O,18dBA,26.4dBA,흰색,검정,파랑,팬,
191,120,,[ID-COOLING] NO-12025-SD,\5660,ID-COOLING,120mm,25T,Hydraulic,3핀,,1600rpm,,60CFM,,,,27.5dBA,투명,검정,,,
192,120,,[ID-COOLING] CF12025 WHITE LED PWM 3RSYS,\11200,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,검정,검정,흰색,링,
193,120,,[ID-COOLING] CF12025 RED LED PWM 3RSYS,\11220,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,검정,검정,빨강,링,
194,120,,[ID-COOLING] CF12025 GREEN LED PWM 3RSYS,\11220,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,검정,검정,녹색,링,
195,120,,[ID-COOLING] CF12025 BLUE LED PWM 3RSYS,\11220,ID-COOLING,120mm,25T,Hydraulic,4핀,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,검정,검정,파랑,링,
196,120,, ,,,120mm,,,,,,,,,,,,,,,,
197,120,,[NOCTUA] NF-S12A PWM chromax black swap,\28790,NOCTUA,120mm,25T,SSO2,4핀,,1200rpm,,63.2CFM,,1.19mmH2O,,17.8dBA,검정,검정,,,
198,120,,[NOCTUA] NF-F12 PWM chromax black swap,\29530,NOCTUA,120mm,25T,SSO2,4핀,,1500rpm,,54.9CFM,,2.61mmH2O,,22.4dBA,검정,검정,,,
199,120,,[NOCTUA] NF-A12x15 PWM,\25900,NOCTUA,120mm,15T,SSO2,4핀,,1850rpm,,55.44CFM,,1.53mmH2O,,23.9dBA,갈색,살색,,,
200,120,,[NOCTUA] NF-A12x15 FLX,\25900,NOCTUA,120mm,15T,SSO2,3핀,,1850rpm,,55.44CFM,,1.53mmH2O,,23.9dBA,갈색,살색,,,
201,120,,[NOCTUA] NF-F12 IndustrialPPC-24V-3000 PWM IP67,\29910,NOCTUA,120mm,25T,SSO2,4핀,,3000rpm,,109.8CFM,,7.63mmH2O,,43.5dBA,검정,검정,,,
202,120,,[NOCTUA] NF-F12 IndustrialPPC-2000 PWM IP67,\34690,NOCTUA,120mm,25T,SSO2,4핀,,2000rpm,,71.7CFM,,3.94mmH2O,,29.7dBA,검정,검정,,,
203,120,,[NOCTUA] NF-F12 IndustrialPPC-2000 PWM,\29500,NOCTUA,120mm,25T,SSO2,4핀,,2000rpm,,71.7CFM,,3.94mmH2O,,29.7dBA,검정,검정,,,
204,120,,[NOCTUA] NF-S12B redux-1200 PWM,\19190,NOCTUA,120mm,25T,SSO,4핀,,1200rpm,,59.2CFM,,1.31mmH2O,,18.1dBA,회색,회색,,,
205,120,,[NOCTUA] NF-S12B redux-1200,\19190,NOCTUA,120mm,25T,SSO,3핀,,1200rpm,,59.2CFM,,1.31mmH2O,,18.1dBA,회색,회색,,,
206,120,,[NOCTUA] NF-S12B redux-700,\19500,NOCTUA,120mm,25T,SSO,3핀,,700rpm,,33.5CFM,,0.44mmH2O,,6.8dBA,회색,회색,,,
207,120,,[NOCTUA] NF-F12 IndustrialPPC-3000 PWM,\29500,NOCTUA,120mm,25T,SSO2,4핀,,3000rpm,,109.8CFM,,7.63mmH2O,,43.5dBA,검정,검정,,,
208,120,,[NOCTUA] NF-F12 IndustrialPPC-2000,\28790,NOCTUA,120mm,25T,SSO2,3핀,,2000rpm,,71.7CFM,,3.94mmH2O,,29.7dBA,검정,검정,,,
209,120,,[NOCTUA] NF-S12A PWM,\25750,NOCTUA,120mm,25T,SSO2,4핀,,1200rpm,,63.2CFM,,1.19mmH2O,,17.8dBA,갈색,살색,,,
210,120,,[NOCTUA] NF-S12A FLX,\25000,NOCTUA,120mm,25T,SSO2,3핀,,1200rpm,,63.2CFM,,1.19mmH2O,,17.8dBA,갈색,살색,,,
211,120,,[NOCTUA] NF-S12A ULN,\25500,NOCTUA,120mm,25T,SSO2,3핀,,800rpm,,43.7CFM,,0.62mmH2O,,8.6dBA,갈색,살색,,,
212,120,,[NOCTUA] NF-P12 PWM,\24490,NOCTUA,120mm,25T,SSO,4핀,,1300rpm,,54.3CFM,,1.68mmH2O,,19.8dBA,갈색,살색,,,
213,120,,[NOCTUA] NF-F12 PWM,\25200,NOCTUA,120mm,25T,SSO2,4핀,,1500rpm,,54.9CFM,,2.61mmH2O,,22.4dBA,갈색,살색,,,
214,120,,[NOCTUA] NF-P12,\23310,NOCTUA,120mm,25T,SSO,3핀,,1300rpm,,54.3CFM,,1.68mmH2O,,19.8dBA,갈색,살색,,,
215,120,, ,,,120mm,,,,,,,,,,,,,,,,
216,120,,[NZXT] AER RGB 120 트리플 패키지 BRAVOTEC,\123000,NZXT,120mm,25T,유체,4핀,500rpm,1500rpm,17.48CFM,52.44CFM,0.15mmH2O,1.35mmH2O,22dBA,33dBA,검정,검정,RGB (Cont),링,2년
217,120,,[NZXT] AER RGB 120 스타터 킷 패키지 BRAVOTEC,\123000,NZXT,120mm,25T,유체,4핀,500rpm,1500rpm,17.48CFM,52.44CFM,0.15mmH2O,1.35mmH2O,22dBA,33dBA,검정,검정,RGB (Cont),링,2년
218,120,,[NZXT] AER RGB 120 단품 패키지 BRAVOTEC,\44000,NZXT,120mm,25T,유체,4핀,500rpm,1500rpm,17.48CFM,52.44CFM,0.15mmH2O,1.35mmH2O,22dBA,33dBA,검정,검정,RGB (Cont),링,2년
219,120,, ,,,120mm,,,,,,,,,,,,,,,,
220,120,,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm White,\10700,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,37.8CFM,,,,19dBA,투명,검정,흰색,링,
221,120,,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm Red,\10700,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,37.8CFM,,,,19dBA,투명,빨강,빨강,링,
222,120,,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm Green,\10700,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,37.8CFM,,,,19dBA,투명,녹색,흰색,링,
223,120,,[마이크로닉스] TEMPEST Ring Dual Impeller 120mm Blue,\10700,마이크로닉스,120mm,25T,Hydro,3핀,,1300rpm,,37.8CFM,,,,19dBA,투명,파랑,파랑,링,
224,120,,[마이크로닉스] VIENTO DOUBLE AURA 120mm WHITE,\8900,마이크로닉스,120mm,25T,Hydro,3핀,,1200rpm,,38CFM,,,,22dBA,투명,검정,흰색,링,
225,120,,[마이크로닉스] VIENTO DOUBLE AURA 120mm RED,\9000,마이크로닉스,120mm,25T,Hydro,3핀,,1200rpm,,38CFM,,,,22dBA,투명,빨강,빨강,링,
226,120,,[마이크로닉스] VIENTO DOUBLE AURA 120mm BLUE,\9390,마이크로닉스,120mm,25T,Hydro,3핀,,1200rpm,,38CFM,,,,22dBA,투명,파랑,파랑,링,
227,120,,[마이크로닉스] Freezer 15-LED 120mm 화이트,\7800,마이크로닉스,120mm,25T,슬리브,3핀,,1100rpm,,,,2.01mmH2O,,21.8dBA,투명,검정,흰색,팬,
228,120,,[마이크로닉스] Freezer 15-LED 120mm 레드,\7800,마이크로닉스,120mm,25T,슬리브,3핀,,1100rpm,,,,2.01mmH2O,,21.8dBA,투명,검정,빨강,팬,
229,120,,[마이크로닉스] Freezer 15-LED 120mm 블루,\7700,마이크로닉스,120mm,25T,슬리브,3핀,,1100rpm,,,,2.01mmH2O,,21.8dBA,투명,검정,파랑,팬,
230,120,,[마이크로닉스] Freezer 4-LED 120mm 레드,\6200,마이크로닉스,120mm,25T,슬리브,3핀,,1100rpm,,,,2.01mmH2O,,21.8dBA,투명,검정,빨강,팬,
231,120,,[마이크로닉스] Freezer 4-LED 120mm 블루,\6800,마이크로닉스,120mm,25T,슬리브,3핀,,1100rpm,,,,2.01mmH2O,,21.8dBA,투명,검정,파랑,팬,
232,120,, ,,,120mm,,,,,,,,,,,,,,,,
233,120,,[써멀테이크] Riing Plus 12 RGB TT 프리미엄 에디션 (5PACK),\-,써멀테이크,120mm,25T,Hydraulic,9핀,500rpm,1500rpm,,48.34CFM,,1.54mmH2O,,24.7dBA,검정,검정,RGB (Cont),링,
234,120,,[써멀테이크] Riing Plus 12 RGB TT 프리미엄 에디션 (3PACK),\123900,써멀테이크,120mm,25T,Hydraulic,9핀,500rpm,1500rpm,,48.34CFM,,1.54mmH2O,,24.7dBA,검정,검정,RGB (Cont),링,
235,120,,[써멀테이크] Riing 12 RGB Radiator Fan TT Premium Edition 아스크텍,\83000,써멀테이크,120mm,25T,Hydraulic,9핀,500rpm,1400rpm,,48.79CFM,,1.113mmH2O,18.2dBA,24.8dBA,검정,검정,RGB (Cont),링,
236,120,,[써멀테이크] Riing 12 LED RGB 256 Colors (3PACK),\55000,써멀테이크,120mm,25T,Hydraulic,4핀,800rpm,1500rpm,22.14CFM,40.6CFM,0.57mmH2O,2.01mmH2O,18.5dBA,26.4dBA,검정,검정,256C (Cont),링,
237,120,,[써멀테이크] Riing 12 LED RGB 256 Colors (1PACK),\25000,써멀테이크,120mm,25T,Hydraulic,4핀,800rpm,1500rpm,22.14CFM,40.6CFM,0.57mmH2O,2.01mmH2O,18.5dBA,26.4dBA,검정,검정,256C (Cont),링,
238,120,,[써멀테이크] Riing 12 LED FAN Yellow 아스크텍,\16180,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,40.6CFM,,2.01mmH2O,,24.6dBA,검정,검정,노랑,링,
239,120,,[써멀테이크] Riing 12 LED FAN Orange 아스크텍,\15000,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,40.6CFM,,2.01mmH2O,,24.6dBA,검정,검정,주황,링,
240,120,,[써멀테이크] Riing 12 LED FAN White 아스크텍,\15460,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,40.6CFM,,2.01mmH2O,,24.6dBA,검정,검정,흰색,링,
241,120,,[써멀테이크] Riing 12 LED FAN Green 아스크텍,\15300,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,40.6CFM,,2.01mmH2O,,24.6dBA,검정,검정,녹색,링,
242,120,,[써멀테이크] Riing 12 LED FAN Red 아스크텍,\16000,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,40.6CFM,,2.01mmH2O,,24.6dBA,검정,검정,빨강,링,
243,120,,[써멀테이크] Riing 12 LED FAN Blue 아스크텍,\15460,써멀테이크,120mm,25T,Hydraulic,3핀,,1500rpm,,40.6CFM,,2.01mmH2O,,24.6dBA,검정,검정,파랑,링,
244,120,, ,,,120mm,,,,,,,,,,,,,,,,
245,120,,[쿨러마스터] MASTERFAN MF120L RGB,\17620,쿨러마스터,120mm,25T,,3핀,,1200rpm,,32CFM,,0.7mmH2O,,25dBA,투명,검정,RGB (MB),팬,2년
246,120,,[쿨러마스터] MASTERFAN MF120L WHITE,\10880,쿨러마스터,120mm,25T,,3핀,,1200rpm,,32CFM,,0.7mmH2O,,25dBA,투명,검정,흰색,팬,2년
247,120,,[쿨러마스터] MASTERFAN MF120L RED,\10880,쿨러마스터,120mm,25T,,3핀,,1200rpm,,32CFM,,0.7mmH2O,,25dBA,투명,검정,빨강,팬,2년
248,120,,[쿨러마스터] MASTERFAN MF120L BLUE,\10880,쿨러마스터,120mm,25T,,3핀,,1200rpm,,32CFM,,0.7mmH2O,,25dBA,투명,검정,파랑,팬,2년
249,120,,[쿨러마스터] MASTERFAN PRO 120 Air Pressure RGB,\22440,쿨러마스터,120mm,25T,,4핀,650rpm,1500rpm,,35CFM,,1.45mmH2O,6dBA,20dBA,투명,검정, RGB (MB),팬,5년
250,120,,[쿨러마스터] MASTERFAN PRO 120 Air Flow RGB,\22440,쿨러마스터,120mm,25T,,4핀,650rpm,1100rpm,,48CFM,,0.88mmH2O,6dBA,20dBA,투명,검정, RGB (MB),팬,5년
251,,, ,,,,,,,,,,,,,,,,,,,
