,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
115,LGA 1151,,[Intel] i7-6700K (스카이레이크),\330000,Core i7,Intel,4개,8개,4 Ghz,4.2 Ghz,8MB,HD 530,1150Mhz,2133Mhz,91W,LGA 1151,O,X,i7-6700K
116,0,, ,,,,,,,,,,,,,,,,
117,LGA 1151,,[Intel] i7-7700 (카비레이크),\315800,Core i7,Intel,4개,8개,3.6 Ghz,4.2 Ghz,8MB,HD 630,1150Mhz,2400Mhz,65W,LGA 1151,O,O,i7-7700
118,LGA 1151,,[Intel] i7-7700K (카비레이크),\337400,Core i7,Intel,4개,8개,4.2 Ghz,4.5 Ghz,8MB,HD 630,1150Mhz,2400Mhz,91W,LGA 1151,O,X,i7-7700K
119,0,, ,,,,,,,,,,,,,,,,
120,LGA 2066,,[Intel] i7-7740X (카비레이크-X),\467450,Core i7,Intel,4개,8개,4.3 Ghz,4.5 Ghz,8MB,N/A,N/A,2400Mhz,112W,LGA 2066,O,X,i7-7740X
121,LGA 2066,,[Intel] i7-7800X (스카이레이크-X),\392000,Core i7,Intel,6개,12개,3.5 Ghz,4 Ghz,8.25MB,N/A,N/A,2400Mhz,140W,LGA 2066,O,X,i7-7800X
122,LGA 2066,,[Intel] i7-7820X (스카이레이크-X),\627600,Core i7,Intel,8개,16개,3.6 Ghz,4.5 Ghz,11MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i7-7820X
123,LGA 2066,,[Intel] i9-7900X (스카이레이크-X),\1045670,Core i9,Intel,10개,20개,3.3 Ghz,4.3 Ghz,13.75MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i9-7900X
124,LGA 2066,,[Intel] i9-7920X (스카이레이크-X),\1253520,Core i9,Intel,12개,24개,2.9 GHz,4.3 GHz,16.5MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i9-7920X
125,LGA 2066,,[Intel] i9-7940X (스카이레이크-X),\1468000,Core i9,Intel,14개,28개,3.1 GHz,4.3 GHz,19.25MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7940X
126,LGA 2066,,[Intel] i9-7960X (스카이레이크-X),\1777000,Core i9,Intel,16개,32개,2.8 GHz,4.2 GHz,22MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7960X
127,LGA 2066,,[Intel] i9-7980XE (스카이레이크-X),\2180130,Core i9,Intel,18개,36개,2.6 GHz,4.2 GHz,24.75MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7980XE
128,0,, ,,,,,,,,,,,,,,,,
129,LGA 1151v2,,[Intel] i7-8700 (커피레이크),\379900,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,O,O,i7-8700
130,LGA 1151v2,,[Intel] i7-8700 (커피레이크)(벌크),\360000,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,X,X,i7-8700
131,LGA 1151v2,,[Intel] i7-8700 (커피레이크)(벌크+쿨러),\365000,Core i7,Intel,6개,12개,3.2 Ghz,4.6 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,65W,LGA 1151v2,X,O,i7-8700
132,LGA 1151v2,,[Intel] i7-8700K (커피레이크),\395000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,O,X,i7-8700K
133,LGA 1151v2,,[Intel] i7-8700K (커피레이크)(벌크),\385000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,X,X,i7-8700K
134,LGA 1151v2,,[Intel] i7-8700K (커피레이크)(벌크+쿨러),\393000,Core i7,Intel,6개,12개,3.7 Ghz,4.7 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,X,O,i7-8700K
135,LGA 1151v2,,[Intel] i7-8086K (커피레이크),\489500,Core i7,Intel,6개,12개,4 Ghz,5 Ghz,12MB,UHD 630,1200Mhz,2666Mhz,95W,LGA 1151v2,O,X,i7-8086K
136,,, ,,,,,,,,,,,,,,,,
137,,,-- [Intel] 제온 E3 Family --,,,,,,,,,,,,,,,,
138,,, ,,,,,,,,,,,,,,,,
139,LGA 1150,,[Intel] E3-1220 v3 (하스웰),\511350,Xeon,Intel,4개,4개,3.1 GHz,3.5 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1220 v3
140,LGA 1150,,[Intel] E3-1225 v3 (하스웰),\511350,Xeon,Intel,4개,4개,3.2 GHz,3.6 GHz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1225 v3
141,LGA 1150,,[Intel] E3-1226 v3 (하스웰 리프레시),\289670,Xeon,Intel,4개,4개,3.3 Ghz,3.7 Ghz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1226 v3
142,LGA 1150,,[Intel] E3-1230 v3 (하스웰),\511350,Xeon,Intel,4개,8개,3.3 GHz,3.7 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1230 v3
143,LGA 1150,,[Intel] E3-1231 v3 (하스웰 리프레시),\291000,Xeon,Intel,4개,8개,3.4 Ghz,3.8 Ghz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1231 v3
144,LGA 1150,,[Intel] E3-1240 v3 (하스웰),\511350,Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1240 v3
145,LGA 1150,,[Intel] E3-1241 v3 (하스웰 리프레시),\367690,Xeon,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1241 v3
146,LGA 1150,,[Intel] E3-1245 v3 (하스웰),\1022710,Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1245 v3
147,LGA 1150,,[Intel] E3-1246 v3 (하스웰 리프레시),\370190,Xeon,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,HD P4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1246 v3
148,LGA 1150,,[Intel] E3-1270 v3 (하스웰),\487930,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1270 v3
149,LGA 1150,,[Intel] E3-1271 v3 (하스웰 리프레시),\437790,Xeon,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,N/A,N/A,1600Mhz,80W,LGA 1150,O,O,E3-1271 v3
150,LGA 1150,,[Intel] E3-1275 v3 (하스웰),\1022710,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,HD P4600,1250Mhz,1600Mhz,84W,LGA 1150,O,O,E3-1275 v3
151,LGA 1150,,[Intel] E3-1276 v3 (하스웰 리프레시),\1022710,Xeon,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD P4600,1250Mhz,1600Mhz,82W,LGA 1150,O,O,E3-1276 v3
152,0,, ,,,,,,,,,,,,,,,,
153,LGA 1151,,[Intel] E3-1220 v5 (스카이레이크),\253000,Xeon,Intel,4개,4개,3 GHz,3.5 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1220 v5
154,LGA 1151,,[Intel] E3-1225 v5 (스카이레이크),\269720,Xeon,Intel,4개,4개,3.3 GHz,3.7 GHz,8MB,HD P530,1150Mhz,2133Mhz,80W,LGA 1151,O,X,E3-1225 v5
155,LGA 1151,,[Intel] E3-1230 v5 (스카이레이크),\311620,Xeon,Intel,4개,8개,3.4 GHz,3.8 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1230 v5
156,LGA 1151,,[Intel] E3-1240 v5 (스카이레이크),\343550,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1240 v5
157,LGA 1151,,[Intel] E3-1245 v5 (스카이레이크),\365130,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,HD P530,1150Mhz,2133Mhz,80W,LGA 1151,O,X,E3-1245 v5
158,LGA 1151,,[Intel] E3-1270 v5 (스카이레이크),\419200,Xeon,Intel,4개,8개,3.6 GHz,4 GHz,8MB,N/A,N/A,2133Mhz,80W,LGA 1151,O,X,E3-1270 v5
159,LGA 1151,,[Intel] E3-1275 v5 (스카이레이크),\418840,Xeon,Intel,4개,8개,3.6 GHz,4 GHz,8MB,HD P530,1150Mhz,2133Mhz,80W,LGA 1151,O,X,E3-1275 v5
160,0,, ,,,,,,,,,,,,,,,,
161,LGA 1151,,[Intel] E3-1220 v6 (카비레이크),\254390,Xeon,Intel,4개,4개,3 GHz,3.5 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1220 v6
162,LGA 1151,,[Intel] E3-1225 v6 (카비레이크),\279000,Xeon,Intel,4개,4개,3.3 GHz,3.7 GHz,8MB,HD P630,1150Mhz,2400Mhz,73W,LGA 1151,O,O,E3-1225 v6
163,LGA 1151,,[Intel] E3-1230 v6 (카비레이크),\323280,Xeon,Intel,4개,8개,3.5 GHz,3.9 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1230 v6
164,LGA 1151,,[Intel] E3-1240 v6 (카비레이크),\333800,Xeon,Intel,4개,8개,3.7 GHz,4.1 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1240 v6
165,LGA 1151,,[Intel] E3-1245 v6 (카비레이크),\367140,Xeon,Intel,4개,8개,3.7 GHz,4.1 GHz,8MB,HD P630,1150Mhz,2400Mhz,73W,LGA 1151,O,O,E3-1245 v6
166,LGA 1151,,[Intel] E3-1270 v6 (카비레이크),\422030,Xeon,Intel,4개,8개,3.8 GHz,4.2 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1270 v6
167,LGA 1151,,[Intel] E3-1275 v6 (카비레이크),\430000,Xeon,Intel,4개,8개,3.8 GHz,4.2 GHz,8MB,HD P630,1150Mhz,2400Mhz,73W,LGA 1151,O,O,E3-1275 v6
168,LGA 1151,,[Intel] E3-1280 v6 (카비레이크),\796530,Xeon,Intel,4개,8개,3.9 GHz,4.2 GHz,8MB,N/A,N/A,2400Mhz,72W,LGA 1151,O,O,E3-1280 v6
169,,, ,,,,,,,,,,,,,,,,
170,,,== AMD ==,,,,,,,,,,,,,,,,
171,,, ,,,,,,,,,,,,,,,,
172,,,-- [AMD] APU --,,,,,,,,,,,,,,,,
173,,, ,,,,,,,,,,,,,,,,
174,PGA AM4,,[AMD] R5 2400G (레이븐 릿지),\127900,Ryzen 5,AMD,4개,8개,3.6 GHz,3.9 GHz,4MB,RX Vega 11,1250Mhz,2933Mhz,65W,PGA AM4,O,O,R5 2400G
175,PGA AM4,,[AMD] R3 2200G (레이븐 릿지),\72500,Ryzen 3,AMD,4개,4개,3.5 GHz,3.7 GHz,4MB,Vega 8,1100Mhz,2933Mhz,65W,PGA AM4,O,O,R3 2200G
176,PGA AM4,, ,,,,,,,,,,,,,PGA AM4,,,
177,PGA AM4,,[AMD] A12 9800 (브리스톨 릿지) (멀티팩),\101690,APU,AMD,4개,4개,3.8 GHz,4.2 GHz,0MB,R7 (Bristol Ridge 8CUs),1108Mhz,2400Mhz,65W,PGA AM4,O,O,A12-9800
178,PGA AM4,,[AMD] A10 9700 (브리스톨 릿지) (멀티팩),\80300,APU,AMD,4개,4개,3.5 GHz,3.8 GHz,0MB,R7 (Bristol Ridge 6CUs),1029Mhz,2400Mhz,65W,PGA AM4,O,O,A10-9700
179,PGA AM4,,[AMD] A8 9600 (브리스톨 릿지) (멀티팩),\75450,APU,AMD,4개,4개,3.1 GHz,3.4 GHz,0MB,R7 (Bristol Ridge 6CUs),900Mhz,2400Mhz,65W,PGA AM4,O,O,A8-9600
180,0,, ,,,,,,,,,,,,,,,,
181,PGA FM2+,,[AMD] 애슬론 X4 845 (카리조),\80500,Athlon,AMD,4개,4개,3.5 GHz,3.8 GHz,0MB,N/A,N/A,2133Mhz,65W,PGA FM2+,O,O,X4 845
182,0,, ,,,,,,,,,,,,,,,,
183,PGA FM2+,,[AMD] A10 7890K (고다바리),\218450,APU,AMD,4개,4개,4.1 GHz,4.3 GHz,0MB,R7 (Kaveri 8CUs),866Mhz,2133Mhz,95W,PGA FM2+,O,O,A10-7890K
184,PGA FM2+,,[AMD] A10 7870K (고다바리),\138100,APU,AMD,4개,4개,3.9 Ghz,4.1 Ghz,0MB,R7 (Kaveri 8CUs),866Mhz,2133Mhz,95W,PGA FM2+,O,O,A10-7870K
185,PGA FM2+,,[AMD] A10 7860K (고다바리),\180810,APU,AMD,4개,4개,3.6 GHz,4 GHz,0MB,R7 (Kaveri 8CUs),757Mhz,2133Mhz,65W,PGA FM2+,O,O,A10-7860K
186,PGA FM2+,,[AMD] A8 7670K (고다바리),\107600,APU,AMD,4개,4개,3.5 Ghz,3.9 Ghz,0MB,R7 (Kaveri 6CUs),757Mhz,2133Mhz,95W,PGA FM2+,O,O,A8-7670K
187,PGA FM2+,,[AMD] A6 7400K (고다바리),\90020,APU,AMD,2개,2개,3.5 Ghz,3.9 Ghz,0MB,R5 (Kaveri),756Mhz,1866Mhz,65W,PGA FM2+,O,O,A6-7400K
188,0,, ,,,,,,,,,,,,,,,,
189,PGA FM2+,,[AMD] A10 7850K (카베리),\214940,APU,AMD,4개,4개,3.7 GHz,4 GHz,0MB,R7 (Kaveri 8CUs),720Mhz,2133Mhz,95W,PGA FM2+,O,O,A10-7850K
190,PGA FM2+,,[AMD] A10 7800 (카베리),\173280,APU,AMD,4개,4개,3.5 GHz,3.9 GHz,0MB,R7 (Kaveri 8CUs),720Mhz,2133Mhz,65W,PGA FM2+,O,O,A10-7800
191,PGA FM2+,,[AMD] A10 7700K (카베리),\178170,APU,AMD,4개,4개,3.6 GHz,3.9 GHz,0MB,R7 (Kaveri 6CUs),720Mhz,2133Mhz,95W,PGA FM2+,O,O,A10-7700K
192,PGA FM2+,,[AMD] A8 7600 (카베리),\74300,APU,AMD,4개,4개,3.1 Ghz,3.8 Ghz,0MB,R7 (Kaveri 6CUs),720Mhz,2133Mhz,65W,PGA FM2+,O,O,A8-7600
193,PGA FM2+,,[AMD] A8 7650K (카베리),\108880,APU,AMD,4개,4개,3.4 Ghz,3.8 Ghz,0MB,R7 (Kaveri 6CUs),720Mhz,2133Mhz,95W,PGA FM2+,O,O,A8-7650K
194,PGA FM2+,,[AMD] 애슬론 X4 860K (카베리),\76400,Athlon,AMD,4개,4개,3.7 GHz,4 GHz,0MB,N/A,N/A,1866Mhz,95W,PGA FM2+,O,O,X4 860K
195,,, ,,,,,,,,,,,,,,,,
196,,,-- [AMD] FX --,,,,,,,,,,,,,,,,
197,,, ,,,,,,,,,,,,,,,,
198,PGA AM3+,,[AMD] FX 4300 (비쉐라) (멀티팩),\125700,FX,AMD,4개,4개,3.8 GHz,4 GHz,4MB,N/A,N/A,1866Mhz,95W,PGA AM3+,O,O,FX-4300
199,PGA AM3+,,[AMD] FX 6300 (비쉐라) (멀티팩),\137530,FX,AMD,6개,6개,3.5 GHz,4.1 GHz,8MB,N/A,N/A,1866Mhz,95W,PGA AM3+,O,O,FX-6300
200,PGA AM3+,,[AMD] FX 6300 (비쉐라),\139070,FX,AMD,6개,6개,3.5 GHz,4.1 GHz,8MB,N/A,N/A,1866Mhz,95W,PGA AM3+,O,X,FX-6300
201,PGA AM3+,,[AMD] FX 8300 (비쉐라) (멀티팩),\85700,FX,AMD,8개,8개,3.3 Ghz,4.2 Ghz,8MB,N/A,N/A,1866Mhz,95W,PGA AM3+,O,O,FX-8300
202,PGA AM3+,,[AMD] FX 8300 (비쉐라),\155300,FX,AMD,8개,8개,3.3 GHz,4.2 GHz,8MB,N/A,N/A,1866Mhz,95W,PGA AM3+,O,X,FX-8300
203,PGA AM3+,,[AMD] FX 8320 (비쉐라),\193230,FX,AMD,8개,8개,3.5 GHz,4 GHz,8MB,N/A,N/A,1866Mhz,125W,PGA AM3+,O,X,FX-8320
204,PGA AM3+,,[AMD] FX 8320E (비쉐라),\177900,FX,AMD,8개,8개,3.2 GHz,4 GHz,8MB,N/A,N/A,1866Mhz,95W,PGA AM3+,O,X,FX-8320E
205,PGA AM3+,,[AMD] FX 8350 (비쉐라) (멀티팩),\221400,FX,AMD,8개,8개,4 GHz,4.2 GHz,8MB,N/A,N/A,1866Mhz,125W,PGA AM3+,O,O,FX-8350
206,PGA AM3+,,[AMD] FX 8350 (비쉐라),\327900,FX,AMD,8개,8개,4 GHz,4.2 GHz,8MB,N/A,N/A,1866Mhz,125W,PGA AM3+,O,X,FX-8350
207,,, ,,,,,,,,,,,,,,,,
208,,,-- [AMD] 내장그래픽 없는 Zen --,,,,,,,,,,,,,,,,
209,,, ,,,,,,,,,,,,,,,,
210,LGA TR4,,[AMD] TR 1950X (서밋 릿지),\985700,ThreadRipper,AMD,16개,32개,3.4 Ghz,4 Ghz,32MB,N/A,N/A,2666Mhz,180W,LGA TR4,O,X,TR 1950X
211,LGA TR4,,[AMD] TR 1920X (서밋 릿지),\838500,ThreadRipper,AMD,12개,24개,3.5 Ghz,4 Ghz,32MB,N/A,N/A,2666Mhz,180W,LGA TR4,O,X,TR 1920X
212,LGA TR4,,[AMD] TR 1900X (서밋 릿지),\435150,ThreadRipper,AMD,8개,16개,3.8 Ghz,4 Ghz,16MB,N/A,N/A,2666Mhz,180W,LGA TR4,O,X,TR 1900X
213,0,, ,,,,,, , ,,,,,,,,,
214,PGA AM4,,[AMD] R7 1800X (서밋 릿지) (멀티팩),\463900,Ryzen 7,AMD,8개,16개,3.6 Ghz,4 Ghz,16MB,N/A,N/A,2666Mhz,95W,PGA AM4,O,O,R7 1800X
215,PGA AM4,,[AMD] R7 1800X (서밋 릿지),\448500,Ryzen 7,AMD,8개,16개,3.6 Ghz,4 Ghz,16MB,N/A,N/A,2666Mhz,95W,PGA AM4,O,X,R7 1800X
216,PGA AM4,,[AMD] R7 1700X (서밋 릿지) (멀티팩),\353200,Ryzen 7,AMD,8개,16개,3.4 Ghz,3.8 Ghz,16MB,N/A,N/A,2666Mhz,95W,PGA AM4,O,O,R7 1700X
217,PGA AM4,,[AMD] R7 1700X (서밋 릿지),\337000,Ryzen 7,AMD,8개,16개,3.4 Ghz,3.8 Ghz,16MB,N/A,N/A,2666Mhz,95W,PGA AM4,O,X,R7 1700X
218,PGA AM4,,[AMD] R7 1700 (서밋 릿지),\260900,Ryzen 7,AMD,8개,16개,3 Ghz,3.7 Ghz,16MB,N/A,N/A,2666Mhz,65W,PGA AM4,O,O,R7 1700
219,PGA AM4,, ,,,,,,,,,,,,,PGA AM4,,,
220,PGA AM4,,[AMD] R5 1600X (서밋 릿지) (멀티팩),\245300,Ryzen 5,AMD,6개,12개,3.6 Ghz,4 Ghz,16MB,N/A,N/A,2666Mhz,95W,PGA AM4,O,O,R5 1600X
221,PGA AM4,,[AMD] R5 1600 (서밋 릿지),\161400,Ryzen 5,AMD,6개,12개,3.2 Ghz,3.6 Ghz,16MB,N/A,N/A,2666Mhz,65W,PGA AM4,O,O,R5 1600
222,PGA AM4,,[AMD] R5 1500X (서밋 릿지),\137800,Ryzen 5,AMD,4개,8개,3.5 Ghz,3.7 Ghz,16MB,N/A,N/A,2666Mhz,65W,PGA AM4,O,O,R5 1500X
223,PGA AM4,,[AMD] R5 1400 (서밋 릿지),\126800,Ryzen 5,AMD,4개,8개,3.2 Ghz,3.4 Ghz,8MB,N/A,N/A,2666Mhz,65W,PGA AM4,O,O,R5 1400
224,PGA AM4,, ,,,,,,,,,,,,,PGA AM4,,,
225,PGA AM4,,[AMD] R3 1300X (서밋 릿지),\98000,Ryzen 3,AMD,4개,4개,3.5 Ghz,3.7 Ghz,8MB,N/A,N/A,2666Mhz,65W,PGA AM4,O,O,R3 1300X
226,PGA AM4,,[AMD] R3 1200 (서밋 릿지),\102500,Ryzen 3,AMD,4개,4개,3.1 Ghz,3.4 Ghz,8MB,N/A,N/A,2666Mhz,65W,PGA AM4,O,O,R3 1200
227,,, ,,,,,,,,,,,,,,,,
228,,,-- [AMD] Zen+ --,,,,,,,,,,,,,,,,
229,,, ,,,,,,,,,,,,,,,,
230,PGA AM4,,[AMD] R7 2700X (피나클 릿지),\316700,Ryzen 7,AMD,8개,16개,3.7 Ghz,4.3 Ghz,16Mb,N/A,N/A,2933Mhz,105W,PGA AM4,O,O,R7 2700X
231,PGA AM4,,[AMD] R7 2700 (피나클 릿지),\274600,Ryzen 7,AMD,8개,16개,3.2 Ghz,4.1 Ghz,16Mb,N/A,N/A,2933Mhz,65W,PGA AM4,O,O,R7 2700
232,PGA AM4,, ,,,,,, ,1 Ghz,,,,,,PGA AM4,,,
233,PGA AM4,,[AMD] R5 2600X (피나클 릿지),\209800,Ryzen 5,AMD,6개,12개,3.6 Ghz,4.2 Ghz,16Mb,N/A,N/A,2933Mhz,95W,PGA AM4,O,O,R5 2600X
234,PGA AM4,,[AMD] R5 2600 (피나클 릿지),\179600,Ryzen 5,AMD,6개,12개,3.4 Ghz,3.9 Ghz,16Mb,N/A,N/A,2933Mhz,65W,PGA AM4,O,O,R5 2600
