,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,
4,0,,== NVIDIA ==,,,,,,,,,,,,,,,,,,
5,0,, ,,,,,,,,,,,,,,,,,,
6,,,-- GTX Titan Xp --,,,,,,,,,,,,,,,,,,
7,,, ,,,,,,,,,,,,,,,,,,
8,GTX Titan Xp,,[NVIDIA] 지포스 GTX Titan Xp D5X 12GB,\1650000,NVIDIA,GTX Titan Xp,1405 MHz,1582 MHz,1,11400 MHz,267mm,1,1,250W,600W,,0,,1,,3
9,,, ,,,,,,,,,,,,,,,,,,
10,,,-- GTX 1080 Ti --,,,,,,,,,,,,,,,,,,
11,,, ,,,,,,,,,,,,,,,,,,
12,GTX 1080 Ti,,[ASUS] ROG POSEIDON 지포스 GTX1080 Ti P11G D5X 11GB,\1652820,ASUS,GTX 1080 Ti,1594 MHz,1708 MHz,2,11010 MHz,298mm,2,,,,,1,,2,,2
13,GTX 1080 Ti,,[ASUS] ROG STRIX 지포스 GTX1080 Ti GAMING D5X 11GB,\1151300,ASUS,GTX 1080 Ti,1518 MHz,1632 MHz,3,10010 MHz,298mm,2,,,,,1,,2,,2
14,GTX 1080 Ti,,[ASUS] ROG STRIX 지포스 GTX1080 Ti O11G GAMING D5X 11GB,\1169200,ASUS,GTX 1080 Ti,1594 MHz,1708 MHz,3,11100 MHz,298mm,2,,,,,1,,2,,2
15,GTX 1080 Ti,,[Colorful] iGame 지포스 GTX1080 Ti VULCAN AD D5X 11GB,\980000,Colorful,GTX 1080 Ti,1569 MHz,1683 MHz,3,11000 MHz,315mm,2,,250W,,,1,,1,,3
16,GTX 1080 Ti,,[EVGA] 지포스 GTX1080 Ti FTW3 GAMING D5X 11GB,\1169000,EVGA,GTX 1080 Ti,1569 MHz,1683 MHz,3,11000 MHz,299.72mm,2,,280W,600W,,,,1,,3
17,GTX 1080 Ti,,[EVGA] 지포스 GTX1080 Ti SC Black Edition GAMING D5X 11GB,\1139000,EVGA,GTX 1080 Ti,1556 MHz,1670 MHz,2,11016 MHz,269.2mm,1,1,250W,600W,,1,,1,,3
18,GTX 1080 Ti,,[GAINWARD] 지포스 GTX1080 Ti 피닉스 D5X 11GB,\1019000,GAINWARD,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,,,,,1,,1,,3
19,GTX 1080 Ti,,[GAINWARD] 지포스 GTX1080 Ti 피닉스 GS D5X 11GB,\997000,GAINWAD,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,,,250W,600W,,,,,,
20,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS D5X 11GB,\1175200,GIGABYTE,GTX 1080 Ti,1569 MHz,1683 MHz,3,11010 MHz,293mm,2,,,600W,,1,,3,,3
21,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB,\1232500,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,3,11232 MHz,293mm,2,,,600W,,1,,3,,3
22,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터블럭,\1201000,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,,11232 MHz,267mm,2,,,600W,,1,,3,,3
23,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터포스,\1479000,GIGABYTE,GTX 1080 Ti,1607 MHz,1721 MHz,1,11232 MHz,267mm,2,,,600W,,1,,3,,3
24,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti Founders Edition D5X 11GB,\-,GIGABYTE,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,266.7mm,1,1,250W,600W,,,,1,,3
25,GTX 1080 Ti,,[GIGABYTE] 지포스 GTX1080 Ti Gaming D5X 11GB,\1115400,GIGABYTE,GTX 1080 Ti,1518 MHz,1632 MHz,3,11010 MHz,280mm,1,1,,600W,,1,,1,,3
26,GTX 1080 Ti,,[inno3D] iChiLL 지포스 GTX1080 Ti D5X 11GB X3,\975400,inno3D,GTX 1080 Ti,1569 MHz,1683 MHz,3,11400 MHz,302.2mm,1,1,280W,600W,,1,,1,,3
27,GTX 1080 Ti,,[inno3D] iChiLL 지포스 GTX1080 Ti D5X 11GB X4,\982300,inno3D,GTX 1080 Ti,1569 MHz,1683 MHz,4,11400 MHz,302.2mm,1,1,280W,600W,,1,,1,,3
28,GTX 1080 Ti,,[inno3D] 지포스 GTX1080 Ti D5X 11GB X2 트윈쿨러,\948900,inno3D,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,266mm,1,1,250W,600W,,1,,1,,3
29,GTX 1080 Ti,,[MANLI] 지포스 GTX1080 Ti Black Scale D5X 11GB,\940000,MANLI,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,282mm,1,1,250W,600W,,,,1,,3
30,GTX 1080 Ti,,[MANLI] 지포스 GTX1080 Ti Gallardo D5X 11GB,\938890,MANLI,GTX 1080 Ti,1594 MHz,1657 MHz,3,11000 MHz,314mm,,,250W,600W,,,,,,
31,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 게이밍 X D5X 11GB 트윈프로져6,\1202800,MSI,GTX 1080 Ti,1569 MHz,1683 MHz,2,11124 MHz,290mm,2,,250W,600W,,1,,2,,2
32,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 라이트닝 X D5X 11GB,\-,MSI,GTX 1080 Ti,1569 MHz,1683 MHz,3,11124 MHz,320mm,3,,250W,750W,,1,,2,,2
33,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 라이트닝 Z D5X 11GB,\-,MSI,GTX 1080 Ti,1607 MHz,1721 MHz,3,11124 MHz,320mm,3,,250W,750W,,1,,2,,2
34,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 시호크 X D5X 11GB,\-,MSI,GTX 1080 Ti,1569 MHz,1683 MHz,1,11124 MHz,270mm,1,1,250W,600W,,1,,1,,3
35,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 아머 OC D5X 11GB,\1098300,MSI,GTX 1080 Ti,1531 MHz,1645 MHz,2,11016 MHz,290mm,2,,250W,600W,,1,,2,,2
36,GTX 1080 Ti,,[MSI] 지포스 GTX1080 Ti 에어로 OC D5X 11GB,\-,MSI,GTX 1080 Ti,1506 MHz,1620 MHz,1,11016 MHz,269mm,1,1,250W,600W,,,,1,,3
37,GTX 1080 Ti,,[PALIT] 지포스 GTX1080 Ti GameRock D5X 11GB,\1378990,PALIT,GTX 1080 Ti,1518 MHz,1632 MHz,2,11000 MHz,285mm,2,,300W,600W,,1,,1,,3
38,GTX 1080 Ti,,[PALIT] 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1023800,PALIT,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,,300W,600W,,1,,1,,3
39,GTX 1080 Ti,,[ZOTAC] AMP EXTREME CORE 지포스 GTX1080 Ti D5X 11GB,\1107000,ZOTAC,GTX 1080 Ti,1607 MHz,1721 MHz,3,11200 MHz,325mm,2,,320W,600W,,1,,1,,3
40,GTX 1080 Ti,,[ZOTAC] AMP EXTREME 지포스 GTX1080 Ti D5X 11GB,\-,ZOTAC,GTX 1080 Ti,1645 MHz,1759 MHz,3,11200 MHz,325mm,2,,320W,600W,,1,,1,,3
41,GTX 1080 Ti,,[ZOTAC] AMP 지포스 GTX1080 Ti D5X 11GB,\930000,ZOTAC,GTX 1080 Ti,1569 MHz,1683 MHz,2,11010 MHz,300mm,2,,270W,500W,,1,,1,,3
42,GTX 1080 Ti,,[ZOTAC] 지포스 GTX1080 Ti D5X 11GB BLOWER,\1113600,ZOTAC,GTX 1080 Ti,1480 MHz,1582 MHz,1,11000 MHz,296mm,1,1,250W,600W,,,,1,,3
43,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC D5X 11GB G天命,\1101000,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,2,,250W,600W,,,,1,,3
44,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti EXOC White D5X 11GB G天命,\1104800,갤럭시,GTX 1080 Ti,1531 MHz,1645 MHz,2,11010 MHz,281mm,1,1,250W,600W,,,,1,,3
45,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti Hall Of Fame D5X 11GB,\-,갤럭시,GTX 1080 Ti,1569 MHz,1683 MHz,3,11010 MHz,313mm,3,,250W,600W,,1,,1,,3
46,GTX 1080 Ti,,[갤럭시] GALAX 지포스 GTX1080 Ti Hall Of Fame D5X 11GB Water Block,\-,갤럭시,GTX 1080 Ti,1569 MHz,1683 MHz,,11010 MHz,303mm,3,,250W,600W,,1,,1,,3
47,GTX 1080 Ti,,[이엠텍] XENON 지포스 GTX1080 Ti JETSTREAM D5X 11GB,\1064000,이엠텍,GTX 1080 Ti,1480 MHz,1582 MHz,2,11000 MHz,285mm,2,,300W,,,1,,1,,3
48,GTX 1080 Ti,,[이엠텍] XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB,\1072700,이엠텍,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,,250W,600W,,1,,1,,3
49,GTX 1080 Ti,,[이엠텍] XENON 지포스 GTX1080 Ti Super JETSTREAM D5X 11GB TONE+ EDITION,\-,이엠텍,GTX 1080 Ti,1556 MHz,1670 MHz,2,11000 MHz,285mm,2,,250W,600W,,1,,1,,3
50,,, ,,,,,,,,,,,,,,,,,,
51,,,-- GTX 1080 --,,,,,,,,,,,,,,,,,,
52,,, ,,,,,,,,,,,,,,,,,,
53,GTX 1080,,[ASUS] ROG STRIX 지포스 GTX1080 A8G GAMING D5X 8GB,\839000,ASUS,GTX 1080,1670 MHz,1809 MHz,3,10000 MHz,298mm,1,1,180W,500W,,1,,2,,2
54,GTX 1080,,[ASUS] ROG STIRX 지포스 GTX1080 8G GAMING D5X 8GB,\839500,ASUS,GTX 1080,,,,,,2,0,,,,1,,3,,3
55,GTX 1080,,[ASUS] ROG STRIX 지포스 GTX1080 O8G 11G GAMING D5X 8GB,\-,ASUS,GTX 1080,1695 MHz,1835 MHz,3,11010 MHz,298mm,1,1,,,,1,,2,,2
56,GTX 1080,,[Colorful] IGAME 지포스 GTX1080 VULCAN UT D5X 8GB,\661300,Colorful,GTX 1080,1607 MHz,1733 MHz,3,10010 MHz,302mm,2,,180W,,,1,,1,,3
57,GTX 1080,,[Colorful] IGAME 지포스 GTX1080 VULCAN X OC D5X 8GB,\-,Colorful,GTX 1080,1670 MHz,1733 MHz,3,10000 MHz,317mm,2,,180W,,,1,,2,,2
58,GTX 1080,,[Colorful] 지포스 GTX1080 iGame U-TOP D5X 8GB,\1132010,Colorful,GTX 1080,1645 MHz,1784 MHz,3,10010 MHz,302mm,2,,180W,,,1,,1,,3
59,GTX 1080,,[Colorful] 지포스 GTX1080 iGame X-TOP Advanced D5X 8GB,\1369230,Colorful,GTX 1080,1759 MHz,1898 MHz,3+,10008 MHz,315mm,2,,180W,,,1,,1,,3
60,GTX 1080,,[Colorful] 지포스 GTX1080 iGame X-TOP D5X 8GB,\1324170,Colorful,GTX 1080,1708 MHz,1847 MHz,3,10010 MHz,302mm,2,,180W,500W,,1,,1,,3
61,GTX 1080,,[EVGA] 지포스 GTX1080 GAMING D5X 8GB,\-,EVGA,GTX 1080,1607 MHz,1733 MHz,2,11016 MHz,266.7mm,1,,180W,500W,,1,,1,,3
62,GTX 1080,,[EVGA] 지포스 GTX1080 FTW GAMING D5X 8GB,\819000,EVGA,GTX 1080,1721 MHz,1860 MHz,2,10000 MHz,,,,,,,,,,,
63,GTX 1080,,[EVGA] 지포스 GTX1080 FTW2 GAMING OC D5X 8GB,\849000,EVGA,GTX 1080,1721 MHz,1860 MHz,2,11016 MHz,266.7mm,,,180W,500W,,,,,,
64,GTX 1080,,[GAINWARD] 지포스 GTX1080 피닉스 GS D5X 8GB,\702600,GAINWARD,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,285mm,2,1,250W,500W,,1,,1,,3
65,GTX 1080,,[GeIL] 지포스 GTX1080 D5X 8GB,\-,GeIL,GTX 1080,1607 MHz,1733 MHz,3,10008 MHz,280mm,2,,180W,500W,,1,,1,,3
66,GTX 1080,,[GIGABYTE] 지포스 GTX1080 AORUS D5X 8GB,\-,GIGABYTE,GTX 1080,1708 MHz,1847 MHz,3,10010 MHz,287mm,2,,,500W,,1,,3,,3
67,GTX 1080,,[GIGABYTE] 지포스 GTX1080 AORUS X11 D5X 8GB,\-,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,3,11010 MHz,293mm,2,,,500W,,1,,1,,3
68,GTX 1080,,[GIGABYTE] 지포스 GTX1080 AORUS Xtreme D5X 8GB,\-,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,3,10206 MHz,293mm,2,,,500W,,1,,1,,3
69,GTX 1080,,[GIGABYTE] 지포스 GTX1080 AORUS Gaming Box,\920000,GIGABYTE,GTX 1080,,,,,,,,,,,1,,,,3
70,GTX 1080,,[GIGABYTE] 지포스 GTX1080 Founders Edition D5X 8GB,\-,GIGABYTE,GTX 1080,1607 MHz,1733 MHz,1,10000 MHz,267mm,1,,180W,500W,,1,,1,,3
71,GTX 1080,,[GIGABYTE] 지포스 GTX1080 G1.Gaming D5X 8GB,\771100,GIGABYTE,GTX 1080,1695 MHz,1835 MHz,3,10010 MHz,286mm,1,,,500W,,1,,1,,3
72,GTX 1080,,[GIGABYTE] 지포스 GTX1080 UDV D5X 8GB 윈드포스,\758800,GIGABYTE,GTX 1080,1632 MHz,1771 MHz,3,10010 MHz,280mm,1,,,500W,,1,,1,,3
73,GTX 1080,,[GIGABYTE] 지포스 GTX1080 Xtreme D5X 8GB,\-,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,3,10211 MHz,295mm,2,,,500W,,1,,1,,3
74,GTX 1080,,[GIGABYTE] 지포스 GTX1080 Xtreme D5X 8GB 워터블럭,\1239970,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,,10206 MHz,266mm,2,,,500W,,1,,1,,3
75,GTX 1080,,[GIGABYTE] 지포스 GTX1080 Xtreme D5X 8GB 워터포스,\-,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,,10206 MHz,264mm,2,,,500W,,1,,3,,3
76,GTX 1080,,[GIGABYTE] 지포스 GTX1080 Xtreme D5X 8GB 프리미엄팩,\-,GIGABYTE,GTX 1080,1759 MHz,1898 MHz,3,10211 MHz,295mm,2,,,500W,,1,,1,,3
77,GTX 1080,,[inno3D] iChiLL 지포스 GTX1080 D5X 8GB X3,\-,inno3D,GTX 1080,1733 MHz,1873 MHz,3,10400 MHz,302.2mm,1,1,230W,550W,,1,,1,,3
78,GTX 1080,,[inno3D] 지포스 GTX1080 D5X 8GB X2 트윈쿨러,\668990,inno3D,GTX 1080,1607 MHz,1733 MHz,2,10000 MHz,266mm,1,,180W,500W,,1,,1,,3
79,GTX 1080,,[inno3D] 지포스 GTX1080 GAMING OC D5X 8GB,\-,inno3D,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,275mm,1,,180W,500W,,1,,1,,3
80,GTX 1080,,[MANLI] 지포스 GTX1080 Black Scale D5X 8GB,\1131020,MANLI,GTX 1080,1607 MHz,1733 MHz,1,10010 MHz,281mm,1,,180W,500W,,1,,1,,3
81,GTX 1080,,[MANLI] 지포스 GTX1080 Gallardo OC D5X 8GB,\713360,MANLI,GTX 1080,1670 MHz,1809 MHz,3,10010 MHz,307mm,1,,180W,,,1,,1,,3
82,GTX 1080,,[MANLI] 지포스 GTX1080 Twin Edition D5X 8GB,\-,MANLI,GTX 1080,1607 MHz,1733 MHz,2,10010 MHz,276mm,1,,180W,,,1,,1,,3
83,GTX 1080,,[MSI] 지포스 GTX1080 게이밍 X D5X 8GB 트윈프로져6,\771000,MSI,GTX 1080,1708 MHz,1847 MHz,2,10108 MHz,279mm,1,1,180W,500W,,1,,1,,3
84,GTX 1080,,[MSI] 지포스 GTX1080 시호크 X D5X 8GB,\-,MSI,GTX 1080,1708 MHz,1847 MHz,1,10108 MHz,270mm,1,,180W,500W,,1,,1,,3
85,GTX 1080,,[MSI] 지포스 GTX1080 아머 OC D5X 8GB,\725400,MSI,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,279mm,1,1,180W,500W,,1,,1,,3
86,GTX 1080,,[PALIT] 지포스 GTX1080 DUAL OC D5X 8GB,\699800,PALIT,GTX 1080,1620 MHz,1759 MHz,2,10000 MHz,252mm,,,180W,500W,,,,,,
87,GTX 1080,,[PALIT] 지포스 GTX1080 JETSTREAM D5X 8GB,\756800,PALIT,GTX 1080,1607 MHz,1733 MHz,2,10000 MHz,285mm,1,1,180W,500W,,1,,1,,3
88,GTX 1080,,[PALIT] 지포스 GTX1080 Super JETSTREAM D5X 8GB,\793000,PALIT,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,285mm,1,1,200W,500W,,1,,1,,3
89,GTX 1080,,[STCOM] ALPHA 지포스 GTX1080 D5X 8GB,\-,STCOM,GTX 1080,1607 MHz,1733 MHz,3,10008 MHz,280mm,2,,180W,,,1,,1,,3
90,GTX 1080,,[ZOTAC] AMP EXTREME 지포스 GTX1080 D5X 8GB,\-,ZOTAC,GTX 1080,1771 MHz,1911 MHz,3,10800 MHz,325mm,2,,270W,500W,,1,,1,,3
91,GTX 1080,,[ZOTAC] AMP 지포스 GTX1080 AIR D5X 8GB,\690400,ZOTAC,GTX 1080,1620 MHz,1759 MHz,2,10000 MHz,211mm,1,,180W,500W,,1,,1,,3
92,GTX 1080,,[ZOTAC] AMP 지포스 GTX1080 D5X 8GB,\-,ZOTAC,GTX 1080,1683 MHz,1822 MHz,2,10000 MHz,300mm,2,,230W,500W,,1,,1,,3
93,GTX 1080,,[ZOTAC] 지포스 GTX1080 ARCTICSTORM 워터블럭 D5X 8GB,\-,ZOTAC,GTX 1080,1632 MHz,1771 MHz,,10000 MHz,300mm,1,,180W,500W,,1,,1,,3
94,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 D5X 8GB,\-,갤럭시,GTX 1080,1607 MHz,1733 MHz,1,10000 MHz,267mm,1,,180W,500W,,1,,1,,3
95,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 EXOC D5X 8GB ,\733000,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,282mm,,,180W,500W,,,,,,
96,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 EXOC D5X 8GB G美,\726800,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,282mm,1,1,180W,500W,,1,,1,,3
97,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 EXOC D5X 8GB G天命,\910260,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,11010 MHz,296mm,1,1,180W,500W,,1,,1,,3
98,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 Hall Of Fame D5X 8GB,\1139720,갤럭시,GTX 1080,1733 MHz,1873 MHz,3,10010 MHz,317mm,2,,180W,500W,,1,,1,,3
99,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 개간지 EXOC D5X 8GB,\-,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,282mm,1,1,180W,500W,,1,,1,,3
100,GTX 1080,,[갤럭시] GALAX 지포스 GTX1080 개간지 EXOC D5X 8GB Black Edition,\830000,갤럭시,GTX 1080,1657 MHz,1797 MHz,2,10010 MHz,296mm,1,1,180W,500W,,1,,1,,3
101,GTX 1080,,[이엠텍] HV 지포스 GTX1080 GAMER Edition D5X 8GB,\781800,이엠텍,GTX 1080,1657 MHz,1797 MHz,2,10000 MHz,270mm,1,1,180W,500W,,1,,1,,3
102,GTX 1080,,[이엠텍] XENON 지포스 GTX1080 JETSTREAM D5X 8GB,\757000,이엠텍,GTX 1080,1607 MHz,1733 MHz,2,10000 MHz,285mm,1,1,180W,500W,,1,,1,,3
103,GTX 1080,,[이엠텍] XENON 지포스 GTX1080 Super JETSTREAM D5X 8GB,\776300,이엠텍,GTX 1080,1708 MHz,1847 MHz,2,10000 MHz,285mm,1,1,180W,500W,,1,,1,,3
104,,, ,,,,,,,,,,,,,,,,,,
105,,,-- GTX 1070 Ti --,,,,,,,,,,,,,,,,,,
106,,, ,,,,,,,,,,,,,,,,,,
107,GTX 1070 Ti,,[ASUS] CERBERUS 지포스 GTX1070 Ti A8G D5 8GB,\720000,ASUS,GTX 1070 Ti,1670 MHz,1746 MHz,2,8008 MHz,270mm,1,,180W,500W,,1,,2,,2
108,GTX 1070 Ti,,[ASUS] ROG STRIX 지포스 GTX1070 Ti A8G GAMING D5 8GB,\649600,ASUS,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,298mm,1,,180W,500W,,1,,1,,3
109,GTX 1070 Ti,,[Colorful] 지포스 GTX1070 Ti 블루호크 D5 8GB,\578800,Colorful,GTX 1070 Ti,,,,,,,2,120W,,,1,,2,,2
110,GTX 1070 Ti,,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN U-TOP D5 8GB,\698990,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,305mm,2,,180W,,,1,,2,,2
111,GTX 1070 Ti,,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN X D5 8GB,\642090,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,315mm,2,,180W,,,1,,2,,2
112,GTX 1070 Ti,,[EVGA] 지포스 GTX1070 Ti FTW2 GAMING D5 8GB,\759000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,2,,235W,500W,,1,,1,,3
113,GTX 1070 Ti,,[EVGA] 지포스 GTX1070 Ti SC GAMING D5 8GB,\659000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,1,,217W,500W,,1,,1,,3
114,GTX 1070 Ti,,[GAINWARD] 지포스 GTX1070 Ti 게이머 스피릿 D5 8GB Dual,\596600,GAINWARD,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,252mm,1,,180W,500W,,1,,1,,3
115,GTX 1070 Ti,,[GeIL] 지포스 GTX1070 Ti D5 8GB,\610900,GeIL,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,280mm,,1,180W,500W,,1,,1,,3
116,GTX 1070 Ti,,[GIGABYTE] 지포스 GTX1070 Ti AORUS D5 8GB,\681200,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,,,500W,,1,,1,,3
117,GTX 1070 Ti,,[GIGABYTE] 지포스 GTX1070 Ti Gaming D5 8GB,\654300,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,,,500W,,1,,1,,3
118,GTX 1070 Ti,,[GIGABYTE] 지포스 GTX1070 Ti UDV D5 8GB 윈드포스,\631400,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,280mm,1,,,500W,,1,,1,,3
119,GTX 1070 Ti,,[inno3D] iChiLL GTX1070 Ti D5 8GB X3,\-,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,302.2mm,1,,180W,500W,,1,,1,,3
120,GTX 1070 Ti,,[inno3D] iChiLL GTX1070 Ti D5 8GB X4,\-,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,4,8000 MHz,302.2mm,1,,180W,500W,,1,,1,,3
121,GTX 1070 Ti,,[inno3D] 지포스 GTX1070 Ti D5 8GB X2,\588900,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,266mm,1,,180W,500W,,1,,1,,3
122,GTX 1070 Ti,,[MANLI] 지포스 GTX1070 Ti Black Scale D5 8GB,\787990,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,1,8008 MHz,281mm,1,,180W,500W,,1,,1,,3
123,GTX 1070 Ti,,[MANLI] 지포스 GTX1070 Ti Gallardo D5 8GB,\585600,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,308mm,1,,180W,500W,,1,,1,,3
124,GTX 1070 Ti,,[MSI] 지포스 GTX1070 Ti 아머 D5 8GB,\582000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,,1,,1,,3
125,GTX 1070 Ti,,[MSI] 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6,\640000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,,1,,1,,3
126,GTX 1070 Ti,,[MSI] 지포스 GTX1070 Ti 티타늄 D5 8GB 트윈프로져6,\726800,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,,1,,1,,3
127,GTX 1070 Ti,,[PALIT] 지포스 GTX1070 Ti DUAL D5 8GB,\600800,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,252mm,1,,180W,500W,,1,,1,,3
128,GTX 1070 Ti,,[PALIT] 지포스 GTX1070 Ti JETSTREAM D5 8GB,\667400,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,285mm,1,1,180W,500W,,1,,1,,3
129,GTX 1070 Ti,,[ZOTAC] AMP EXTREME 지포스 GTX1070 Ti D5 8GB,\1049990,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,325mm,2,,180W,500W,,1,,1,,3
130,GTX 1070 Ti,,[ZOTAC] AMP 지포스 GTX1070 Ti AIR D5 8GB,\583100,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,211mm,1,,180W,500W,,1,,1,,3
