,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
131,GTX 1070 Ti,,[ZOTAC] AMP 지포스 GTX1070 Ti D5 8GB,\625000,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,300mm,2,,180W,500W,,1,,1,,3
132,GTX 1070 Ti,,[갤럭시] GALAX 지포스 GTX1070 Ti EXOC D5 8GB G天命,\626900,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,,1,,1,,3
133,GTX 1070 Ti,,[갤럭시] GALAX 지포스 GTX1070 Ti Hall Of Fame D5 8GB,\758000,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,330mm,2,,,,,1,,1,,3
134,GTX 1070 Ti,,[갤럭시] GALAX 지포스 GTX1070 Ti 개간지 EXOC D5 8GB,\660300,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,,1,,1,,3
135, GTX 1070 Ti,,[이엠텍] HV 지포스 GTX1070 Ti BLACK MONSTER D5 8GB,\615500,이엠텍, GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,250mm,,,180W,500W,,,,,,
136,GTX 1070 Ti,,[이엠텍] HV 지포스 GTX1070 Ti GAMER Edition D5 8GB,\1140000,이엠텍,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,270mm,1,1,180W,500W,,1,,1,,3
137,GTX 1070 Ti,,[이엠텍] XENON 지포스 GTX1070 Ti JETSTREAM D5 8GB,\657600,이엠텍,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,285mm,1,1,180W,500W,,1,,1,,3
138,GTX 1070 Ti,,[이엠텍] XENON 지포스 GTX1070 Ti STORM X Dual D5 8GB,\618600,이엠텍,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,250mm,1,,180W,500W,,1,,1,,3
139,,, ,,,,,,,,,,,,,,,,,,
140,,,-- GTX 1070 --,,,,,,,,,,,,,,,,,,
141,,, ,,,,,,,,,,,,,,,,,,
142,GTX 1070,,[ASUS] DUAL 지포스 GTX1070 O8G D5 8GB,\604400,ASUS,GTX 1070,1582 MHz,1771 MHz,2,8008 MHz,242mm,,1,,,,1,,2,,2
143,GTX 1070,,[ASUS] ROG STRIX 지포스 GTX1070 GAMING D5 8GB,\998000,ASUS,GTX 1070,1506 MHz,1683 MHz,3,8008 MHz,298mm,1,,,,,1,,2,,2
144,GTX 1070,,[ASUS] ROG STRIX 지포스 GTX1070 O8G GAMING D5 8GB,\645650,ASUS,GTX 1070,1632 MHz,1835 MHz,3,8000 MHz,300mm,1,,170W,500W,,1,,2,,2
145,GTX 1070,,[Colorful] 지포스 GTX1070 iCafe D5 8GB,\891000,Colorful,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,260mm,,2,150W,,,1,,1,,3
146,GTX 1070,,[Colorful] 지포스 GTX1070 iGame U-TOP D5 8GB,\522800,Colorful,GTX 1070,1569 MHz,1759 MHz,3,8008 MHz,302mm,,2,150W,,,1,,1,,3
147,GTX 1070,,[Colorful] 지포스 GTX1070 iGame X-TOP Advanced Limited D5 8GB,\1240550,Colorful,GTX 1070,1657 MHz,1860 MHz,3,8008 MHz,315mm,2,,150W,,,1,,1,,3
148,GTX 1070,,[Colorful] 지포스 GTX1070 iGame X-TOP D5 8GB,\1134210,Colorful,GTX 1070,1607 MHz,1797 MHz,3,8008 MHz,302mm,2,,150W,,,1,,1,,3
149,GTX 1070,,[Colorful] 지포스 GTX1070 N1070-805 D5 8GB 백플레이트,\-,Colorful,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,280mm,,2,150W,,,1,,1,,3
150,GTX 1070,,[Colorful] 지포스 GTX1070 N805WK D5 8GB,\-,Colorful,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,280mm,,2,150W,,,3,,1,,1
151,GTX 1070,,[Colorful] 지포스 GTX1070 NP104-200 D5 8GB,\912000,Colorful,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,280mm,,2,150W,,,1,,1,,3
152,GTX 1070,,[EVGA] 지포스 GTX1070 SC GAMING D5 8GB,\629000,EVGA,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,266.7mm,1,,170W,500W,,1,,1,,3
153,GTX 1070,,[EVGA] 지포스 GTX1070 FTW2 GAMING OC D5 8GB,\-,EVGA,GTX 1070,1607 MHz,1797 MHz,2,8008 MHz,266.7mm,2,,215W,500W,,1,,1,,3
154,GTX 1070,,[GAINWARD] 지포스 GTX1070 피닉스 GS D5 8GB,\581200,GAINWARD,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,,150W,500W,,1,,1,,3
155,GTX 1070,,[GeIL] 지포스 GTX1070 D5 8GB,\-,GeIL,GTX 1070,1569 MHz,1759 MHz,3,8008 MHz,280mm,,2,150W,500W,,1,,1,,3
156,GTX 1070,,[GIGABYTE] 지포스 GTX1070 AORUS D5 8GB,\761480,GIGABYTE,GTX 1070,1607 MHz,1797 MHz,3,8008 MHz,287mm,1,1,,500W,,1,,3,,3
157,GTX 1070,,[GIGABYTE] 지포스 GTX1070 AORUS Gaming Box,\718500,GIGABYTE,GTX 1070,1531 MHz,1721 MHz,1,8008 MHz,,1,,193W,500W,,2,,1,,1
158,GTX 1070,,[GIGABYTE] 지포스 GTX1070 Founders Edition D5 8GB,\-,GIGABYTE,GTX 1070,1506 MHz,1683 MHz,1,8000 MHz,267mm,1,,150W,500W,,1,,1,,3
159,GTX 1070,,[GIGABYTE] 지포스 GTX1070 G1.Gaming D5 8GB,\615900,GIGABYTE,GTX 1070,1594 MHz,1784 MHz,3,8008 MHz,286mm,1,,,500W,,1,,1,,3
160,GTX 1070,,[GIGABYTE] 지포스 GTX1070 G1.Rock D5 8GB,\-,GIGABYTE,GTX 1070,1582 MHz,1771 MHz,3,8008 MHz,294mm,1,,,500W,,1,,1,,3
161,GTX 1070,,[GIGABYTE] 지포스 GTX1070 UDV D5 8GB 미니미,\565300,GIGABYTE,GTX 1070,1531 MHz,1721 MHz,1,8008 MHz,170mm,1,,,500W,,2,,1,,1
162,GTX 1070,,[GIGABYTE] 지포스 GTX1070 UDV D5 8GB 윈드포스,\596700,GIGABYTE,GTX 1070,1556 MHz,1746 MHz,2,8008 MHz,295mm,1,,,500W,,1,,1,,3
163,GTX 1070,,[GIGABYTE] 지포스 GTX1070 Xtreme D5 8GB,\-,GIGABYTE,GTX 1070,1670 MHz,1873 MHz,3,8168 MHz,295mm,1,1,,500W,,1,,3,,3
164,GTX 1070,,[inno3D] iChiLL 지포스 GTX1070 D5 8GB X3,\1140000,inno3D,GTX 1070,1620 MHz,1822 MHz,3,8200 MHz,302.2mm,1,,190W,500W,,1,,1,,3
165,GTX 1070,,[inno3D] iChiLL 지포스 GTX1070 D5 8GB X4,\-,inno3D,GTX 1070,1620 MHz,1822 MHz,4,8200 MHz,302.2mm,1,,190W,500W,,1,,1,,3
166,GTX 1070,,[inno3D] 지포스 GTX1070 D5 8GB X2 트윈쿨러,\514000,inno3D,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,266mm,1,,150W,500W,,1,,1,,3
167,GTX 1070,,[MANLI] 지포스 GTX1070 Black Scale D5 8GB,\607900,MANLI,GTX 1070,1506 MHz,1683 MHz,1,8008 MHz,281mm,1,,150W,500W,,1,,1,,3
168,GTX 1070,,[MANLI] 지포스 GTX1070 Gallardo OC D5 8GB,\529000,MANLI,GTX 1070,1569 MHz,1759 MHz,3,8008 MHz,305mm,1,,150W,,,1,,1,,3
169,GTX 1070,,[MANLI] 지포스 GTX1070 Twin Edition D5 8GB,\-,MANLI,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,276mm,1,,150W,,,1,,1,,3
170,GTX 1070,,[MANLI] 지포스 GTX1070 Ultimate Edition OC D5 8GB,\-,MANLI,GTX 1070,1569 MHz,1759 MHz,3,8008 MHz,311mm,1,,150W,,,1,,1,,3
171,GTX 1070,,[MSI] 지포스 GTX1070 Founders Edition D5 8GB,\-,MSI,GTX 1070,1506 MHz,1683 MHz,1,8000 MHz,267mm,1,,150W,500W,,1,,1,,3
172,GTX 1070,,[MSI] 지포스 GTX1070 게이밍 X D5 8GB 트윈프로져6,\647100,MSI,GTX 1070,1607 MHz,1797 MHz,2,8108 MHz,279mm,1,1,150W,500W,,1,,1,,3
173,GTX 1070,,[MSI] 지포스 GTX1070 게이밍 Z D5 8GB 트윈프로져6,\-,MSI,GTX 1070,1657 MHz,1860 MHz,2,8108 MHz,279mm,1,1,150W,500W,,1,,1,,3
174,GTX 1070,,[MSI] 지포스 GTX1070 시호크 X D5 8GB,\-,MSI,GTX 1070,1607 MHz,1797 MHz,1,8108 MHz,270mm,1,,150W,500W,,1,,1,,3
175,GTX 1070,,[MSI] 지포스 GTX1070 아머 OC D5 8GB,\531500,MSI,GTX 1070,1556 MHz,1746 MHz,2,8008 MHz,279mm,1,,150W,500W,,1,,1,,3
176,GTX 1070,,[MSI] 지포스 GTX1070 퀵실버 OC D5 8GB 트윈프로져6,\-,MSI,GTX 1070,1607 MHz,1797 MHz,2,8108 MHz,279mm,1,1,150W,500W,,1,,1,,3
177,GTX 1070,,[PALIT] 지포스 GTX1070 DUAL D5 8GB,\539600,PALIT,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,252mm,1,,150W,500W,,1,,1,,3
178,GTX 1070,,[PALIT] 지포스 GTX1070 JETSTREAM D5 8GB,\614100,PALIT,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,,150W,500W,,1,,1,,3
179,GTX 1070,,[PALIT] 지포스 GTX1070 Super JETSTREAM D5 8GB,\613500,PALIT,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,,170W,500W,,1,,1,,3
180,GTX 1070,,[STCOM] ALPHA 지포스 GTX1070 OC D5 8GB,\600100,STCOM,GTX 1070,1569 MHz,1759 MHz,3,8192 MHz,280mm,,2,120W,400W,,1,,1,,3
181,GTX 1070,,[ZOTAC] AMP EXTREME 지포스 GTX1070 D5 8GB,\900000,ZOTAC,GTX 1070,1632 MHz,1835 MHz,3,8208 MHz,325mm,2,,250W,500W,,1,,1,,3
182,GTX 1070,,[ZOTAC] AMP 지포스 GTX1070 D5 8GB,\-,ZOTAC,GTX 1070,1607 MHz,1797 MHz,2,8000 MHz,300mm,2,,220W,500W,,1,,1,,3
183,GTX 1070,,[ZOTAC] 지포스 GTX1070 MINi D5 8GB,\520000,ZOTAC,GTX 1070,1518 MHz,1708 MHz,2,8000 MHz,210mm,1,,150W,500W,,1,,1,,3
184,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 D5 8GB,\-,갤럭시,GTX 1070,1506 MHz,1683 MHz,1,8000 MHz,267mm,1,,150W,500W,,1,,1,,3
185,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 EXOC D5 8GB G美,\543900,갤럭시,GTX 1070,1518 MHz,1708 MHz,2,8008 MHz,282mm,1,1,150W,500W,,1,,1,,3
186,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 EXOC D5 8GB G天命,\590700,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,,1,,1,,3
187,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 Hall Of Fame D5 8GB,\1017020,갤럭시,GTX 1070,1620 MHz,1822 MHz,3,8008 MHz,317mm,2,,150W,500W,,1,,1,,3
188,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 Hall Of Fame D5 8GB Limited Edition,\-,갤럭시,GTX 1070,1657 MHz,1860 MHz,3,8008 MHz,317mm,2,,150W,500W,,1,,1,,3
189,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 OC GBIBLE D5 8GB,\530000,갤럭시,GTX 1070,1518 MHz,1708 MHz,2,8008 MHz,181mm,1,,150W,500W,,2,,1,,1
190,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 Razor OC D5 8GB,\967350,갤럭시,GTX 1070,1518 MHz,1708 MHz,1,8008 MHz,253mm,1,,150W,400W,,1,,1,,1
191,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 개간지 EXOC D5 8GB Black Edition,\608880,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,,1,,1,,3
192,GTX 1070,,[갤럭시] GALAX 지포스 GTX1070 개간지 EXOC D5 8GB,\645900,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,,1,,1,,3
193,GTX 1070,,[이엠텍] HV 지포스 GTX1070 GAMER Edition D5 8GB,\806650,이엠텍,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,270mm,1,1,150W,500W,,1,,1,,3
194,GTX 1070,,[이엠텍] HV 지포스 GTX1070 Mini OC D5 8GB,\-,이엠텍,GTX 1070,1518 MHz,1708 MHz,2,8008 MHz,181mm,1,,150W,500W,,2,,1,,1
195,GTX 1070,,[이엠텍] XENON 지포스 GTX1070 JETSTREAM D5 8GB,\569400,이엠텍,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,,170W,500W,,1,,1,,3
196,GTX 1070,,[이엠텍] XENON 지포스 GTX1070 JETSTREAM D5 8GB FF14 에디션,\1274670,이엠텍,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,,170W,500W,,1,,1,,3
197,GTX 1070,,[이엠텍] XENON 지포스 GTX1070 Super JETSTREAM D5 8GB,\594100,이엠텍,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,,170W,500W,,1,,1,,3
198,GTX 1070,,[이엠텍] XENON 지포스 GTX1070 Super JETSTREAM D5 8GB FF14 에디션,\1234990,이엠텍,GTX 1070,1632 MHz,1635 MHz,2,8000 MHz,285mm,1,,170W,500W,,1,,1,,3
199,,, ,,,,,,,,,,,,,,,,,,
200,,,-- GTX 1060 6GB --,,,,,,,,,,,,,,,,,,
201,,, ,,,,,,,,,,,,,,,,,,
202,GTX 1060 6GB,,[ASUS] DUAL 지포스 GTX1060 O6G D5 6GB,\350600,ASUS,GTX 1060 6GB,1569 MHz,1784 MHz,2,8008 MHz,242mm,,1,,,,1,,2,,2
203,GTX 1060 6GB,,[ASUS] EX 지포스 GTX1060 O6G GAMING D5 6GB,\-,ASUS,GTX 1060 6GB,1594 MHz,1809 MHz,2,8008 MHz,240mm,,1,,,,1,,2,,2
204,GTX 1060 6GB,,[ASUS] ROG STRIX 지포스 GTX1060 DC26G GAMING D5 6GB,\388910,ASUS,GTX 1060 6GB,1506 MHz,1708 MHz,2,8008 MHz,218mm,,,,,,,,,,
205,GTX 1060 6GB,,[ASUS] ROG STRIX 지포스 GTX1060 GAMING D5 6GB,\424600,ASUS,GTX 1060 6GB,1506 MHz,1708 MHz,3,8008 MHz,298mm,1,,,,,1,,2,,2
206,GTX 1060 6GB,,[ASUS] ROG STRIX 지포스 GTX1060 O6G GAMING D5 6GB,\430000,ASUS,GTX 1060 6GB,1620 MHz,1847 MHz,3,8208 MHz,298mm,1,,120W,400W,,1,,2,,2
207,GTX 1060 6GB,,[Colorful] IGAME 지포스 GTX1060 VULCAN U D5 6GB,\338700,Colorful,GTX 1060 6GB,1556 MHz,1771 MHz,2,8008 MHz,264mm,,1,120W,,,1,,1,,3
208,GTX 1060 6GB,,[Colorful] IGAME 지포스 GTX1060 VULCAN X D5 6GB,\352560,Colorful,GTX 1060 6GB,1620 MHz,1847 MHz,3,8008 MHz,315mm,,,120W,,,,,,,
209,GTX 1060 6GB,,[Colorful] 지포스 GTX1060 iGame U-TOP D5 6GB,\372000,Colorful,GTX 1060 6GB,1594 MHz,1809 MHz,3,8008 MHz,302mm,,2,120W,,,1,,1,,3
210,GTX 1060 6GB,,[Colorful] 지포스 GTX1060 iGame X-TOP Super OC D5 6GB,\-,Colorful,GTX 1060 6GB,1620 MHz,1847 MHz,3,8008 MHz,302mm,,2,120W,,,1,,1,,3
211,GTX 1060 6GB,,[Colorful] 지포스 GTX1060 REVENGE D5 6GB,\-,Colorful,GTX 1060 6GB,1506 MHz,1708 MHz,2,8008 MHz,260mm,,1,120W,,,1,,1,,3
212,GTX 1060 6GB,,[Colorful] 지포스 GTX1060 토마호크 OC D5 6GB,\316800,Colorful,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,250mm,,1,120W,,,2,,1,,1
213,GTX 1060 6GB,,[EVGA] 지포스 GTX1060 SC GAMING D5 6GB,\386000,EVGA,GTX 1060 6GB,1607 MHz,1835 MHz,1,8008 MHz,172.72mm,,1,120W,400W,,1,,1,,3
214,GTX 1060 6GB,,[EVGA] 지포스 GTX1060 FTW2 GAMING D5 6GB,\-,EVGA,GTX 1060 6GB,1632 MHz,1835 MHz,2,9026 MHz,266.7mm,1,,150W,400W,,1,,1,,3
215,GTX 1060 6GB,,[GAINWARD] 지포스 GTX1060 게이머 스피릿 D5 6GB,\347400,GAINWARD,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,,1,120W,400W,,1,,1,,3
216,GTX 1060 6GB,,[GAINWARD] 지포스 GTX1060 피닉스 D5 6GB,\438020,GAINWARD,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,,1,120W,400W,,1,,1,,3
217,GTX 1060 6GB,,[GeIL] 지포스 GTX1060 D5 6GB,\324800,GeIL,GTX 1060 6GB,1545 MHz,1759 MHz,2,8008 MHz,240mm,,1,120W,400W,,2,,1,,1
218,GTX 1060 6GB,,[GIGABYTE] 지포스 GTX1060 AORUS D5 6GB,\427600,GIGABYTE,GTX 1060 6GB,1607 MHz,1835 MHz,3,8008 MHz,280mm,1,,,400W,,1,,1,,3
219,GTX 1060 6GB,,[GIGABYTE] 지포스 GTX1060 G1.Gaming D5 6GB,\395200,GIGABYTE,GTX 1060 6GB,1594 MHz,1809 MHz,2,8008 MHz,278mm,1,,150W,400W,,1,,1,,3
220,GTX 1060 6GB,,[GIGABYTE] 지포스 GTX1060 UDV D5 6GB 미니미,\370800,GIGABYTE,GTX 1060 6GB,1531 MHz,1746 MHz,1,8008 MHz,170mm,,1,,400W,,2,,1,,1
221,GTX 1060 6GB,,[GIGABYTE] 지포스 GTX1060 UDV D5 6GB 윈드포스,\376900,GIGABYTE,GTX 1060 6GB,1556 MHz,1771 MHz,2,8008 MHz,223mm,,1,,400W,,2,,1,,1
222,GTX 1060 6GB,,[GIGABYTE] 지포스 GTX1060 Xtreme D5 6GB,\-,GIGABYTE,GTX 1060 6GB,1620 MHz,1847 MHz,2,8164 MHz,280mm,1,,,400W,,1,,3,,3
223,GTX 1060 6GB,,[inno3D] 지포스 GTX1060 D5 6GB X2,\322000,inno3D,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,218mm,,1,120W,400W,,1,,1,,1
224,GTX 1060 6GB,,[MANLI] 지포스 GTX1060 Black Frame OC D5 6GB,\345900,MANLI,GTX 1060 6GB,1531 MHz,1746 MHz,2,8008 MHz,225mm,,1,120W,,,1,,1,,1
225,GTX 1060 6GB,,[MSI] 지포스 GTX1060 OC D5 6GB 윈드스톰,\336900,MSI,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,247mm,,1,120W,400W,,1,,1,,1
226,GTX 1060 6GB,,[MSI] 지포스 GTX1060 게이밍 X D5 6GB 트윈프로져6,\384100,MSI,GTX 1060 6GB,1594 MHz,1809 MHz,2,8108 MHz,277mm,1,,120W,400W,,1,,1,,3
227,GTX 1060 6GB,,[MSI] 지포스 GTX1060 게이밍 X 플러스 D5 6GB 트윈프로져6,\-,MSI,GTX 1060 6GB,1594 MHz,1809 MHz,2,9126 MHz,277mm,1,,120W,400W,,1,,1,,3
228,GTX 1060 6GB,,[MSI] 지포스 GTX1060 밀리터리 에디션 D5 6GB 트윈프로져6,\-,MSI,GTX 1060 6GB,1594 MHz,1809 MHz,2,8108 MHz,277mm,1,,120W,400W,,1,,1,,3
229,GTX 1060 6GB,,[MSI] 지포스 GTX1060 아머 OC D5 6GB,\351600,MSI,GTX 1060 6GB,1544 MHz,1759 MHz,2,8000 MHz,279mm,1,,120W,400W,,1,,1,,3
230,GTX 1060 6GB,,[MSI] 지포스 GTX1060 아머 VR OC D5 6GB,\332800,MSI,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,275mm,1,,120W,400W,,1,,2,,2
231,GTX 1060 6GB,,[PALIT] 지포스 GTX1060 DUAL D5 6GB,\360500,PALIT,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,,1,120W,400W,,1,,1,,3
232,GTX 1060 6GB,,[PALIT] 지포스 GTX1060 JETSTREAM D5 6GB,\387000,PALIT,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,,1,120W,400W,,1,,1,,3
233,GTX 1060 6GB,,[PALIT] 지포스 GTX1060 Super JETSTREAM D5 6GB,\391600,PALIT,GTX 1060 6GB,1620 MHz,1847 MHz,2,8000 MHz,248mm,,1,120W,400W,,1,,1,,3
234,GTX 1060 6GB,,[STCOM] ALPHA 지포스 GTX1060 OC D5 6GB,\-,STCOM,GTX 1060 6GB,1544 MHz,1759 MHz,2,8008 MHz,250mm,,1,120W,400W,,2,,1,,1
235,GTX 1060 6GB,,[ZOTAC] AMP 지포스 GTX1060 D5 6GB,\380000,ZOTAC,GTX 1060 6GB,1556 MHz,1771 MHz,2,8000 MHz,210mm,,1,120W,400W,,1,,1,,3
236,GTX 1060 6GB,,[ZOTAC] AMP 지포스 GTX1060 D5 6GB 백플레이트,\329300,ZOTAC,GTX 1060 6GB,1556 MHz,1771 MHz,2,8000 MHz,210mm,,1,120W,400W,,1,,1,,3
237,GTX 1060 6GB,,[ZOTAC] AMP 지포스 GTX1060 D5 6GB 백플레이트 PLUS,\-,ZOTAC,GTX 1060 6GB,1607 MHz,1835 MHz,2,9000 MHz,210mm,,1,120W,400W,,3,,1,,1
238,GTX 1060 6GB,,[ZOTAC] 지포스 GTX1060 MINi D5 6GB,\326400,ZOTAC,GTX 1060 6GB,1506 MHz,1708 MHz,1,8000 MHz,174mm,,1,120W,400W,,1,,1,,3
239,GTX 1060 6GB,,[갤럭시] GALAX 지포스 GTX1060 EXOC D5 6GB G天命,\370000,갤럭시,GTX 1060 6GB,1556 MHz,1771 MHz,2,8008 MHz,268mm,,1,120W,400W,,2,,1,,1
240,GTX 1060 6GB,,[갤럭시] GALAX 지포스 GTX1060 GAMER OC D5 6GB,\-,갤럭시,GTX 1060 6GB,1518 MHz,1733 MHz,2,8008 MHz,181mm,,1,120W,400W,,1,,1,,3
241,GTX 1060 6GB,,[갤럭시] GALAX 지포스 GTX1060 OC D5 6GB,\347800,갤럭시,GTX 1060 6GB,1518 MHz,1733 MHz,2,8008 MHz,214mm,,1,120W,400W,,1,,1,,1
242,GTX 1060 6GB,,[갤럭시] GALAX 지포스 GTX1060 개간지 EXOC D5 6GB,\427400,갤럭시,GTX 1060 6GB,1620 MHz,1847 MHz,2,8008 MHz,237mm,,1,120W,400W,,2,,1,,1
243,GTX 1060 6GB,,[이엠텍] HV 지포스 GTX1060 OC D5 6GB,\799990,이엠텍,GTX 1060 6GB,1518 MHz,1734 MHz,2,8000 MHz,235mm,,1,120W,400W,,1,,1,,1
244,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 JETSTREAM D5 6GB,\388200,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,250mm,,1,120W,400W,,1,,1,,3
245,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 JETSTREAM D5 6GB FF14 에디션,\-,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,250mm,,1,120W,400W,,1,,1,,3
246,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 STORM X Dual D5 6GB,\361700,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,250mm,,1,120W,400W,,1,,1,,3
247,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 Super JETSTREAM D5 6GB,\391900,이엠텍,GTX 1060 6GB,1620 MHz,1848 MHz,2,8000 MHz,250mm,,1,120W,400W,,1,,1,,3
248,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 Super JETSTREAM D5 6GB FF14 에디션,\-,이엠텍,GTX 1060 6GB,1620 MHz,1848 MHz,2,8000 MHz,250mm,,1,120W,400W,,1,,1,,3
249,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 WHITE MONSTER D5 6GB,\385400,이엠텍,GTX 1060 6GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,,,120W,400W,,,,,,
250,GTX 1060 6GB,,[이엠텍] XENON 지포스 GTX1060 WHITE MONSTER OC D5 6GB,\395000,이엠텍,GTX 1060 6GB,1620 MHz,1848 MHz,2,8000 MHz,248mm,,,120W,400W,,,,,,
251,,, ,,,,,,,,,,,,,,,,,,
252,,,-- GTX 1060 3GB --,,,,,,,,,,,,,,,,,,
253,,, ,,,,,,,,,,,,,,,,,,
254,GTX 1060 3GB,,[ASUS] DUAL 지포스 GTX1060 O3G D5 3GB,\278100,ASUS,GTX 1060 3GB,1569 MHz,1785 MHz,2,8008 MHz,242mm,,1,120W,400W,,1,,2,,2
255,GTX 1060 3GB,,[ASUS] PH 지포스 GTX1060 D5 3GB,\527180,ASUS,GTX 1060 3GB,1506 MHz,1708 MHz,1,8008 MHz,183mm,,1,,,,1,,2,,2
256,GTX 1060 3GB,,[Colorful] 지포스 GTX1060 iCafe V2 D5 3GB,\258500,Colorful,GTX 1060 3GB,1519 MHz,1734 MHz,2,8008 MHz,233mm,,1,120W,,,1,,1,,1
