,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
257,GTX 1060 3GB,,[Colorful] IGAME 지포스 GTX1060 VULCAN U D5 3GB,\239000,Colorful,GTX 1060 3GB,1556 MHz,1771 MHz,2,8008 MHz,264mm,,1,120W,,,1,,1,,3
258,GTX 1060 3GB,,[Colorful] 지포스 GTX1060 iGame U-TOP OC D5 3GB,\300990,Colorful,GTX 1060 3GB,1594 MHz,1809 MHz,3,8008 MHz,300mm,,2,120W,,,1,,1,,3
259,GTX 1060 3GB,,[Colorful] 지포스 GTX1060 REVENGE D5 3GB,\492430,Colorful,GTX 1060 3GB,1506 MHz,1708 MHz,2,8008 MHz,240mm,,1,120W,,,1,,1,,3
260,GTX 1060 3GB,,[Colorful] 지포스 GTX1060 REVENGE V2 D5 3GB,\298200,Colorful,GTX 1060 3GB,1519 MHz,1734 MHz,2,8008 MHz,233mm,,1,120W,,,1,,1,,1
261,GTX 1060 3GB,,[Colorful] 지포스 GTX1060 토마호크 OC D5 3GB,\248400,Colorful,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,250mm,,1,120W,,,2,,1,,1
262,GTX 1060 3GB,,[EVGA] 지포스 GTX1060 SC GAMING D5 3GB,\284000,EVGA,GTX 1060 3GB,1607 MHz,1835 MHz,1,8008 MHz,172.72mm,,,120W,400W,,,,,,
263,GTX 1060 3GB,,[GAINWARD] 지포스 GTX1060 게이머 스피릿 Dual D5 3GB,\261600,GAINWARD,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,,1,120W,400W,,1,,1,,3
264,GTX 1060 3GB,,[GeIL] 지포스 GTX1060 D5 3GB,\261400,GeIL,GTX 1060 3GB,1545 MHz,1759 MHz,2,8008 MHz,240mm,,1,120W,400W,,2,,1,,1
265,GTX 1060 3GB,,[GIGABYTE] 지포스 GTX1060 G1.Gaming D5 3GB,\306000,GIGABYTE,GTX 1060 3GB,1594 MHz,1809 MHz,2,8008 MHz,278mm,1,,,400W,,1,,1,,3
266,GTX 1060 3GB,,[GIGABYTE] 지포스 GTX1060 UDV D5 3GB 미니미,\258700,GIGABYTE,GTX 1060 3GB,1531 MHz,1746 MHz,1,8008 MHz,170mm,,1,140W,400W,,2,,1,,1
267,GTX 1060 3GB,,[GIGABYTE] 지포스 GTX1060 UDV D5 3GB 윈드포스,\272900,GIGABYTE,GTX 1060 3GB,1556 MHz,1771 MHz,2,8008 MHz,223mm,,1,147W,400W,,2,,1,,1
268,GTX 1060 3GB,,[GIGABYTE] 지포스 GTX1060 UDV WF-2X D5 3GB,\-,GIGABYTE,GTX 1060 3GB,1506 MHz,1708 MHz,2,8008 MHz,278mm,1,,,400W,,1,,1,,3
269,GTX 1060 3GB,,[inno3D] 지포스 GTX1060 Compact D5 3GB,\-,inno3D,GTX 1060 3GB,1506 MHz,1708 MHz,1,8000 MHz,172mm,,1,120W,400W,,1,,1,,3
270,GTX 1060 3GB,,[inno3D] 지포스 GTX1060 D5 3GB X1,\-,inno3D,GTX 1060 3GB,1506 MHz,1708 MHz,1,8000 MHz,172mm,,1,120W,400W,,1,,1,,1
271,GTX 1060 3GB,,[inno3D] 지포스 GTX1060 X2 D5 3GB,\250920,inno3D,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,220mm,,1,120W,400W,,1,,1,,1
272,GTX 1060 3GB,,[MANLI] 지포스 GTX1060 Black Frame OC D5 3GB,\252900,MANLI,GTX 1060 3GB,1531 MHz,1746 MHz,2,8008 MHz,225mm,,1,120W,,,1,,1,,1
273,GTX 1060 3GB,,[MSI] 지포스 GTX1060 OC D5 3GB 윈드스톰,\253500,MSI,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,243mm,,1,120W,400W,,1,,1,,1
274,GTX 1060 3GB,,[MSI] 지포스 GTX1060 게이밍 X D5 3GB 트윈프로져6,\306900,MSI,GTX 1060 3GB,1594 MHz,1809 MHz,2,8108 MHz,277mm,1,,120W,400W,,1,,1,,3
275,GTX 1060 3GB,,[MSI] 지포스 GTX1060 아머 OC D5 3GB,\278640,MSI,GTX 1060 3GB,1544 MHz,1759 MHz,2,8000 MHz,250mm,,1,120W,400W,,2,,1,,1
276,GTX 1060 3GB,,[MSI] 지포스 GTX1060 아머 VR OC D5 3GB,\264800,MSI,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,275mm,1,,120W,400W,,1,,2,,2
277,GTX 1060 3GB,,[PALIT] 지포스 GTX1060 DUAL D5 3GB,\264990,PALIT,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,,1,120W,400W,,1,,1,,3
278,GTX 1060 3GB,,[PALIT] 지포스 GTX1060 STORM X D5 3GB,\281200,PALIT,GTX 1060 3GB,1506 MHz,1708 MHz,1,8000 MHz,252mm,,1,120W,400W,,1,,1,,3
279,GTX 1060 3GB,,[STCOM] ALPHA 지포스 GTX1060 D5 3GB,\-,STCOM,GTX 1060 3GB,1506 MHz,1709 MHz,2,8000 MHz,250mm,,1,120W,400W,,2,,1,,1
280,GTX 1060 3GB,,[STCOM] ALPHA 지포스 GTX1060 OC D5 3GB,\-,STCOM,GTX 1060 3GB,1544 MHz,1759 MHz,2,8000 MHz,250mm,,1,120W,400W,,2,,1,,1
281,GTX 1060 3GB,,[ZOTAC] AMP 지포스 GTX1060 D5 3GB,\248400,ZOTAC,GTX 1060 3GB,1582 MHz,1797 MHz,2,8000 MHz,206mm,,1,120W,400W,,1,,1,,3
282,GTX 1060 3GB,,[ZOTAC] 지포스 GTX1060 MINi D5 3GB,\271320,ZOTAC,GTX 1060 3GB,1506 MHz,1708 MHz,1,8000 MHz,174mm,,1,120W,400W,,1,,1,,3
283,GTX 1060 3GB,,[갤럭시] GALAX 지포스 GTX1060 EXOC D5 3GB G天命,\302200,갤럭시,GTX 1060 3GB,1544 MHz,1759 MHz,2,8008 MHz,268mm,,1,120W,400W,,2,,1,,1
284,GTX 1060 3GB,,[갤럭시] GALAX 지포스 GTX1060 GAMER OC D5 3GB,\-,갤럭시,GTX 1060 3GB,1531 MHz,1746 MHz,2,8008 MHz,195mm,,1,120W,400W,,1,,1,,3
285,GTX 1060 3GB,,[갤럭시] GALAX 지포스 GTX1060 OC D5 3GB,\255400,갤럭시,GTX 1060 3GB,1518 MHz,1733 MHz,2,8008 MHz,214mm,,1,120W,400W,,1,,1,,1
286,GTX 1060 3GB,,[갤럭시] GALAX 지포스 GTX1060 개간지 EXOC D5 3GB,\317500,갤럭시,GTX 1060 3GB,1556 MHz,1771 MHz,2,8008 MHz,237mm,,1,120W,400W,,2,,1,,1
287,GTX 1060 3GB,,[이엠텍] HV 지포스 GTX1060 GAMER Edition PRO D5 3GB,\-,이엠텍,GTX 1060 3GB,1544 MHz,1759 MHz,2,8000 MHz,240mm,,1,120W,400W,,2,,1,,1
288,GTX 1060 3GB,,[이엠텍] HV 지포스 GTX1060 OC D5 3GB,\496720,이엠텍,GTX 1060 3GB,1518 MHz,1734 MHz,2,8000 MHz,235mm,,1,120W,400W,,1,,1,,1
289,GTX 1060 3GB,,[이엠텍] HV 지포스 GTX1060 WHITE MONSTER D5 3GB,\267200,이엠텍,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,248mm,,,120W,400W,,,,,,
290,GTX 1060 3GB,,[이엠텍] HV 지포스 GTX1060 WHITE MONSTER OC D5 3GB,\275000,이엠텍,GTX 1060 3GB,1594 MHz,1809 MHz,2,8000 MHz,248mm,,,120W,400W,,,,,,
291,GTX 1060 3GB,,[이엠텍] XENON 지포스 GTX1060 STORM X Dual D5 3GB,\265800,이엠텍,GTX 1060 3GB,1506 MHz,1708 MHz,2,8000 MHz,252mm,,1,120W,400W,,1,,1,,3
292,,, ,,,,,,,,,,,,,,,,,,
293,,,-- GTX 1050 Ti --,,,,,,,,,,,,,,,,,,
294,,, ,,,,,,,,,,,,,,,,,,
295,GTX 1050 Ti,,[ASUS] EX 지포스 GTX1050 Ti O4G D5 4GB,\-,ASUS,GTX 1050 Ti,1341 MHz,1455 MHz,2,7008 MHz,212mm,,,75W,300W,,1,,1,,1
296,GTX 1050 Ti,,[ASUS] PH 지포스 GTX1050 Ti D5 4GB,\180300,ASUS,GTX 1050 Ti,1290 MHz,1392 MHz,1,7008 MHz,192mm,,,,,,1,,1,,1
297,GTX 1050 Ti,,[ASUS] ROG STRIX 지포스 GTX1050 Ti GAMING D5 4GB,\-,ASUS,GTX 1050 Ti,1290 MHz,1392 MHz,2,7008 MHz,241mm,,1,,,,2,,1,,1
298,GTX 1050 Ti,,[ASUS] ROG STRIX 지포스 GTX1050 Ti O4G GAMING D5 4GB,\275670,ASUS,GTX 1050 Ti,1379 MHz,1493 MHz,2,7008 MHz,241mm,,1,75W,400W,,2,,1,,1
299,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti CODEBLUE D5 4GB,\287040,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,214mm,,1,75W,,,1,,1,,1
300,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti CODEBLUE V2 D5 4GB,\-,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,185mm,,,75W,,,1,,1,,1
301,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti CODEBLUE V3 D5 4GB,\175000,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,185mm,,,75W,,,1,,1,,1
302,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti iCafe D5 4GB,\-,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,2,7000 MHz,230mm,,1,75W,300W,,1,,1,,1
303,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti 토마호크 OC D5 4GB,\197910,Colorful,GTX 1050 Ti,1368 MHz,1468 MHz,2,7000 MHz,240mm,,1,75W,,,1,,1,,1
304,GTX 1050 Ti,,[Colorful] IGAME 지포스 GTX1050 Ti VULCAN U OC D5 4GB,\176000,Colorful,GTX 1050 Ti,1379 MHz,1493 MHz,2,7000 MHz,243mm,,1,75W,300W,,1,,1,,1
305,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti REVENGE Mini D5 4GB,\-,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,2,7000 MHz,185mm,,,75W,,,1,,1,,1
306,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti REVENGE D5 4GB LP,\-,Colorful,GTX 1050 Ti,1290 MHz,1392 MHz,2,7000 MHz,200mm,,,75W,,,1,,1,,1
307,GTX 1050 Ti,,[Colorful] 지포스 GTX1050 Ti REVENGE OC D5 4GB,\311810,Colorful,GTX 1050 Ti,1328 MHz,1442 MHz,2,7000 MHz,230mm,,1,75W,,,1,,1,,1
308,GTX 1050 Ti,,[EVGA] 지포스 GTX1050 Ti SC GAMING D5 4GB,\195000,EVGA,GTX 1050 Ti,1290 MHz,1392 MHz,1,7010 MHz,,,,,,,1,,1,,1
309,GTX 1050 Ti,,[EVGA] 지포스 GTX1050 Ti FTW DT GAMING D5 4GB,\-,EVGA,GTX 1050 Ti,1290 MHz,1392 MHz,2,7008 MHz,256.5mm,,1,75W,300W,,1,,1,,1
310,GTX 1050 Ti,,[GAINWARD] 지포스 GTX1050 Ti 게이머 스피릿 D5 4GB,\178600,GAINWARD,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,161mm,,,75W,300W,,1,,1,,1
311,GTX 1050 Ti,,[GeIL] 지포스 GTX1050 Ti D5 4GB,\195600,GeIL,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,170mm,,,75W,300W,,1,,1,,1
312,GTX 1050 Ti,,[GIGABYTE] 지포스 GTX1050 Ti G1.Gaming D5 4GB,\234500,GIGABYTE,GTX 1050 Ti,1366 MHz,1480 MHz,2,7008 MHz,219mm,,1,,300W,,1,,3,,1
313,GTX 1050 Ti,,[GIGABYTE] 지포스 GTX1050 Ti UD2 D5 4GB Nano LP,\205000,GIGABYTE,GTX 1050 Ti,1303 MHz,1417 MHz,1,7008 MHz,167mm,,,,300W,,1,,2,,1
314,GTX 1050 Ti,,[GIGABYTE] 지포스 GTX1050 Ti UD2 D5 4GB 미니미,\203000,GIGABYTE,GTX 1050 Ti,1290 MHz,1392 MHz,1,7008 MHz,172mm,,,,300W,,1,,1,,1
315,GTX 1050 Ti,,[GIGABYTE] 지포스 GTX1050 Ti UD2 WF-2X D5 4GB,\212800,GIGABYTE,GTX 1050 Ti,1316 MHz,1430 MHz,2,7008 MHz,191mm,,,,300W,,1,,1,,1
316,GTX 1050 Ti,,[GIGABYTE] 지포스 GTX1050 Ti UDV D5 4GB 윈드포스,\231000,GIGABYTE,GTX 1050 Ti,1328 MHz,1442 MHz,2,7008 MHz,229mm,,1,,300W,,1,,3,,1
317,GTX 1050 Ti,,[inno3D] 지포스 GTX1050 Ti Compact D5 4GB,\168900,inno3D,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,145mm,,,75W,400W,,1,,1,,1
318,GTX 1050 Ti,,[MANLI] 지포스 GTX1050 Ti Black Frame Mini D5 4GB,\162700,MANLI,GTX 1050 Ti,1290 MHz,1392 MHz,1,7008 MHz,175mm,,,75W,300W,,1,,1,,1
319,GTX 1050 Ti,,[MANLI] 지포스 GTX1050 Ti Gallardo OC D5 4GB,\166500,MANLI,GTX 1050 Ti,1379 MHz,1493 MHz,2,7008 MHz,200mm,,1,75W,,,1,,1,,1
320,GTX 1050 Ti,,[MSI] 지포스 GTX1050 Ti D5 4GB LP 윈드스톰 귀요미,\-,MSI,GTX 1050 Ti,1290 MHz,1392 MHz,2,7008 MHz,182mm,,,75W,300W,,1,,1,,1
321,GTX 1050 Ti,,[MSI] 지포스 GTX1050 Ti OC D5 4GB 스톰,\181400,MSI,GTX 1050 Ti,1341 MHz,1455 MHz,1,7000 MHz,177mm,,,75W,300W,,1,,1,,1
322,GTX 1050 Ti,,[MSI] 지포스 GTX1050 Ti OC D5 4GB 윈드스톰,\190900,MSI,GTX 1050 Ti,1341 MHz,1455 MHz,2,7000 MHz,215mm,,,75W,300W,,1,,1,,1
323,GTX 1050 Ti,,[MSI] 지포스 GTX1050 Ti 게이밍 X D5 4GB 트윈프로져6,\229900,MSI,GTX 1050 Ti,1379 MHz,1493 MHz,2,7108 MHz,229mm,,1,75W,300W,,1,,1,,1
324,GTX 1050 Ti,,[PALIT] 지포스 GTX1050 Ti DUAL OC D5 4GB,\210500,PALIT,GTX 1050 Ti,1366 MHz,1480 MHz,2,7000 MHz,216mm,,1,85W,300W,,1,,1,,1
325,GTX 1050 Ti,,[PALIT] 지포스 GTX1050 Ti STORM X D5 4GB,\206400,PALIT,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,166mm,,,75W,300W,,1,,1,,1
326,GTX 1050 Ti,,[STCOM] ALPHA 지포스 GTX1050 Ti D5 4GB,\-,STCOM,GTX 1050 Ti,1367 MHz,1481 MHz,1,7000 MHz,220mm,,,75W,300W,,1,,1,,1
327,GTX 1050 Ti,,[ZOTAC] 지포스 GTX1050 Ti D5 4GB LP,\230000,ZOTAC,GTX 1050 Ti,1290 MHz,1392 MHz,2,7000 MHz,160mm,,,75W,300W,,1,,1,,1
328,GTX 1050 Ti,,[ZOTAC] 지포스 GTX1050 Ti DUALSILENCER OC D5 4GB,\230000,ZOTAC,GTX 1050 Ti,1392 MHz,1506 MHz,2,7000 MHz,174mm,,,75W,300W,,1,,1,,1
329,GTX 1050 Ti,,[ZOTAC] 지포스 GTX1050 Ti MINi D5 4GB,\165000,ZOTAC,GTX 1050 Ti,1303 MHz,1417 MHz,1,7000 MHz,144.78mm,,,75W,300W,,1,,1,,1
330,GTX 1050 Ti,,[갤럭시] GALAX 지포스 GTX1050 Ti EXOC D5 4GB G天命,\222900,갤럭시,GTX 1050 Ti,1354 MHz,1488 MHz,2,7008 MHz,245mm,,1,75W,300W,,2,,1,,1
331,GTX 1050 Ti,,[갤럭시] GALAX 지포스 GTX1050 Ti OC D5 4GB,\168400,갤럭시,GTX 1050 Ti,1303 MHz,1417 MHz,1,7008 MHz,196mm,,,75W,300W,,1,,1,,1
332,GTX 1050 Ti,,[갤럭시] GALAX 지포스 GTX1050 Ti OC D5 4GB LP,\219300,갤럭시,GTX 1050 Ti,1303 MHz,1417 MHz,2,7008 MHz,166mm,,,75W,300W,,1,,1,,1
333,GTX 1050 Ti,,[갤럭시] GALAX 지포스 GTX1050 Ti 개간지 EXOC D5 4GB,\232900,갤럭시,GTX 1050 Ti,1354 MHz,1488 MHz,2,7008 MHz,230mm,,1,75W,,,2,,1,,1
334,GTX 1050 Ti,,[이엠텍] HV 지포스 GTX1050 Ti GAMER Edition OC D5 4GB,\194000,이엠텍,GTX 1050 Ti,1354 MHz,1468 MHz,2,7008 MHz,228mm,,1,75W,300W,,2,,1,,1
335,GTX 1050 Ti,,[이엠텍] HV 지포스 GTX1050 Ti MINI MONSTER D5 4GB,\188400,이엠텍,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,166mm,,,75W,300W,,,,,,
336,GTX 1050 Ti,,[이엠텍] HV 지포스 GTX1050 Ti OC D5 4GB,\191200,이엠텍,GTX 1050 Ti,1303 MHz,1417 MHz,1,7008 MHz,181mm,,,75W,300W,,1,,1,,1
337,GTX 1050 Ti,,[이엠텍] XENON 지포스 GTX1050 Ti STORM X Dual OC D5 4GB,\196600,이엠텍,GTX 1050 Ti,1366 MHz,1480 MHz,2,7000 MHz,220mm,,1,75W,300W,,1,,1,,1
338,GTX 1050 Ti,,[이엠텍] XENON 지포스 GTX1050 Ti STORM X Nano D5 4GB,\185900,이엠텍,GTX 1050 Ti,1290 MHz,1392 MHz,1,7000 MHz,166mm,,1,75W,300W,,1,,1,,1
339,,, ,,,,,,,,,,,,,,,,,,
340,,,-- GTX 1050 3GB --,,,,,,,,,,,,,,,,,,
341,,, ,,,,,,,,,,,,,,,,,,
342,GTX 1050 3GB,,[COLORFUL] 지포스 GTX1050 토마호크 OC D5 3GB,\168000,Colorful,GTX 1050 3GB,1392 MHz,1518 MHz,2,7000 MHz,237mm,,,75W,300W,,,,,,
343,GTX 1050 3GB,,[COLORFUL] 지포스 iCafe D5 3GB,\157000,Colorful,GTX 1050 3GB,1392 MHz,1518 MHz,2,7000 MHz,208mm,,,75W,300W,,,,,,
344,GTX 1050 3GB,,[GIGABYTE] 지포스 GTX1050 UD2 D5 3GB 미니미,\169000,GIGABYTE,GTX 1050 3GB,1392 MHz,1518 MHz,1,7008 MHz,172mm,,,,300W,,,,,,
345,GTX 1050 3GB,,[GIGABYTE] 지포스 GTX1050 UD2 D5 3GB Nano LP,\179000,GIGABYTE,GTX 1050 3GB,1404 MHz,1544 MHz,1,7008 MHz,167mm,,,,300W,,,,,,
346,GTX 1050 3GB,,[GIGABYTE] 지포스 GTX1050 UD2 WF-2X D5 3GB,\179000,GIGABYTE,GTX 1050 3GB,1417 MHz,1556 MHz,2,7008 MHz,191mm,,,,300W,,,,,,
347,,, ,,,,,,,,,,,,,,,,,,
348,,,-- GTX 1050 2GB--,,,,,,,,,,,,,,,,,,
349,,, ,,,,,,,,,,,,,,,,,,
350,GTX 1050 2GB,,[ASUS] EX 지포스 GTX1050 O2G D5 2GB,\-,ASUS,GTX 1050 2GB,1404 MHz,1518 MHz,2,7008 MHz,212mm,,,75W,300W,,1,,1,,1
351,GTX 1050 2GB,,[ASUS] DUAL 지포스 GTX1050 O2G V2 D5 2GB,\185000,ASUS,GTX 1050 2GB,1404 MHz,1518 MHz,,7008 MHz,203mm,,,,,,1,,1,,1
352,GTX 1050 2GB,,[ASUS] PH 지포스 GTX1050 2G D5 2GB,\-,ASUS,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,192mm,,,75W,300W,,1,,1,,1
353,GTX 1050 2GB,,[ASUS] PH 지포스 GTX1050 D5 2GB,\133000,ASUS,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,192mm,,,,,,1,,1,,1
354,GTX 1050 2GB,,[AFOX] 지포스 GTX1050 D5 2GB DUAL 디앤디컴,\152000,AFOX,GTX 1050 2GB,1354 MHz,1455 MHz,2,7008 MHz,210mm,,1,,,,1,,1,,1
355,GTX 1050 2GB,,[AXLE] 지포스 GTX1050 D5 2GB DUAL,\139500,AXLE,GTX 1050 2GB,1354 MHz,1455 MHz,2,7008 MHz,210mm,,,75W,300W,,1,,1,,1
356,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 CODEBLUE D5 2GB,\-,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,214mm,,1,75W,,,1,,1,,1
357,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 CODEBLUE V2 D5 2GB,\213120,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,185mm,,,75W,,,1,,1,,1
358,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 CODEBLUE V3 D5 2GB,\210950,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,185mm,,,75W,,,1,,1,,1
359,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 iCafe D5 2GB,\311640,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,2,7000 MHz,230mm,,1,75W,,,1,,1,,1
360,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 iGame U OC D5 2GB,\-,Colorful,GTX 1050 2GB,1442 MHz,1556 MHz,2,7000 MHz,243mm,,1,75W,,,1,,1,,1
361,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 REVENGE D5 2GB LP,\185120,Colorful,GTX 1050 2GB,1354 MHz,1455 MHz,2,7000 MHz,200mm,,,75W,,,1,,1,,1
362,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 REVENGE OC D5 2GB,\-,Colorful,GTX 1050 2GB,1379 MHz,1493 MHz,2,7000 MHz,230mm,,1,75W,,,1,,1,,1
363,GTX 1050 2GB,,[Colorful] 지포스 GTX1050 토마호크 OC D5 2GB,\151800,Colorful,GTX 1050 2GB,1430 MHz,1544 MHz,2,7000 MHz,240mm,,1,75W,,,1,,1,,1
364,GTX 1050 2GB,,[EVGA] 지포스 GTX1050 GAMING D5 2GB,\-,EVGA,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,144.8mm,,,75W,300W,,1,,1,,1
365,GTX 1050 2GB,,[FORSA] 지포스 GTX1050 D5 2GB ,\186000,FORSA,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,181mm,,,75W,300W,,1,,1,,1
366,GTX 1050 2GB,,[FORSA] 지포스 GTX1050 D5 2GB DUAL,\152010,FORSA,GTX 1050 2GB,1354 MHz,1455 MHz,2,7008 MHz,210mm,,1,75W,300W,,1,,1,,1
367,GTX 1050 2GB,,[GAINWARD] 지포스 GTX1050 게이머 스피릿 D5 2GB,\150000,GAINWARD,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,161mm,,,75W,300W,,1,,1,,1
368,GTX 1050 2GB,,[GIGABYTE] 지포스 GTX1050 G1.Gaming D5 2GB,\209800,GIGABYTE,GTX 1050 2GB,1417 MHz,1531 MHz,2,7008 MHz,219mm,,1,,300W,,1,,3,,1
369,GTX 1050 2GB,,[GIGABYTE] 지포스 GTX1050 UD2 D5 2GB Nano LP,\165300,GIGABYTE,GTX 1050 2GB,1366 MHz,1468 MHz,1,7008 MHz,167mm,,,,300W,,1,,2,,1
370,GTX 1050 2GB,,[GIGABYTE] 지포스 GTX1050 UD2 D5 2GB 미니미,\152000,GIGABYTE,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,172mm,,,,300W,,1,,1,,1
371,GTX 1050 2GB,,[GIGABYTE] 지포스 GTX1050 UD2 WF-2X D5 2GB,\166800,GIGABYTE,GTX 1050 2GB,1379 MHz,1493 MHz,2,7008 MHz,191mm,,,,300W,,1,,1,,1
372,GTX 1050 2GB,,[GIGABYTE] 지포스 GTX1050 UDV D5 2GB 윈드포스,\183000,GIGABYTE,GTX 1050 2GB,1392 MHz,1506 MHz,2,7008 MHz,229mm,,1,75W,300W,,1,,3,,1
373,GTX 1050 2GB,,[inno3D] 지포스 GTX1050 Compact D5 2GB,\138100,inno3D,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,145mm,,,75W,400W,,1,,1,,1
374,GTX 1050 2GB,,[MANLI] 지포스 GTX1050 Black Frame Mini D5 2GB,\185000,MANLI,GTX 1050 2GB,1354 MHz,1455 MHz,1,7008 MHz,175mm,,,75W,300W,,1,,1,,1
375,GTX 1050 2GB,,[MSI] 지포스 GTX1050 OC D5 2GB 스톰,\143800,MSI,GTX 1050 2GB,1404 MHz,1518 MHz,1,7000 MHz,177mm,,,75W,300W,,1,,1,,1
376,GTX 1050 2GB,,[MSI] 지포스 GTX1050 OC D5 2GB 윈드스톰,\155400,MSI,GTX 1050 2GB,1404 MHz,1518 MHz,2,7000 MHz,215mm,,,75W,300W,,1,,1,,1
377,GTX 1050 2GB,,[PALIT] 지포스 GTX1050 STORM X D5 2GB,\160400,PALIT,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,166mm,,,75W,300W,,1,,1,,1
378,GTX 1050 2GB,,[STCOM] ALPHA 지포스 GTX1050 D5 2GB,\-,STCOM,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,151mm,,,75W,300W,,1,,1,,1
379,GTX 1050 2GB,,[ZOTAC] 지포스 GTX1050 D5 2GB LP,\287140,ZOTAC,GTX 1050 2GB,1354 MHz,1455 MHz,2,7000 MHz,160mm,,,75W,300W,,1,,1,,1
380,GTX 1050 2GB,,[ZOTAC] 지포스 GTX1050 MINi D5 2GB,\135000,ZOTAC,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,144.78mm,,,75W,300W,,1,,1,,1
381,GTX 1050 2GB,,[ZOTAC] 지포스 GTX1050 OC DUALSILENCER D5 2GB,\396180,ZOTAC,GTX 1050 2GB,1455 MHz,1569 MHz,2,7000 MHz,174mm,,,75W,300W,,1,,1,,1
