,,,제품,단가,제조사,모델,코어클럭,부스트,팬 개수,메모리클럭,길이,8핀,6핀,TDP,정격파워 권장,D-Sub,DVI,m-HDMI,HDMI,m-DP,DP
382,GTX 1050 2GB,,[갤럭시] GALAX 지포스 GTX1050 OC D5 2GB LP,\170000,갤럭시,GTX 1050 2GB,1366 MHz,1468 MHz,2,7008 MHz,166mm,,,75W,300W,,1,,1,,1
383,GTX 1050 2GB,,[갤럭시] GALAX 지포스 GTX1050 EXOC D5 2GB G天命,\165000,갤럭시,GTX 1050 2GB,1417 MHz,1531 MHz,2,7008 MHz,245mm,,1,75W,300W,,2,,1,,1
384,GTX 1050 2GB,,[갤럭시] GALAX 지포스 GTX1050 OC D5 2GB,\141300,갤럭시,GTX 1050 2GB,1366 MHz,1468 MHz,1,7008 MHz,196mm,,,75W,300W,,1,,1,,1
385,GTX 1050 2GB,,[리드텍] WinFast 지포스 GTX1050 D5 2GB,\158300,리드텍,GTX 1050 2GB,1354 MHz,1456 MHz,1,7008 MHz,163mm,,,75W,400W,,1,,1,,1
386,GTX 1050 2GB,,[이엠텍] HV 지포스 GTX1050 MINI MONSTER D5 2GB,\159500,이엠텍,GTX 1050 2GB,1354 MHz,1455 MHz,1,7000 MHz,166mm,,,,300W,,,,,,
387,GTX 1050 2GB,,[이엠텍] HV 지포스 GTX1050 OC D5 2GB,\-,이엠텍,GTX 1050 2GB,1366 MHz,1468 MHz,1,7008 MHz,181mm,,,75W,300W,,1,,1,,1
388,GTX 1050 2GB,,[이엠텍] XENON 지포스 GTX1050 STORM X Nano D5 2GB,\160700,이엠텍,GTX 1050 2GB,1366 MHz,1468 MHz,1,7000 MHz,166mm,,,75W,300W,,1,,1,,1
389,,, ,,,,,,,,,,,,,,,,,,
390,,,-- GT 1030 --,,,,,,,,,,,,,,,,,,
391,,, ,,,,,,,,,,,,,,,,,,
392,GT 1030,,[ASUS] PH 지포스 GT1030 O2G D5 2GB,\95000,ASUS,GT 1030,1252 MHz,1531 MHz,1,6000 MHz,184mm,,,,,,1,,1,,
393,GT 1030,,[Colorful] 지포스 GT1030 REVENGE D5 2GB,\185990,Colorful,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,177mm,,,30W,,,1,,1,,
394,GT 1030,,[Colorful] 지포스 GT1030 REVENGE D5 2GB LP,\168600,Colorful,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,167mm,,,30W,,,1,,1,,
395,GT 1030,,[GAINWARD] 지포스 GT1030 D5 2GB LP,\94000,GAINWARD,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,168mm,,,30W,300W,,1,,1,,
396,GT 1030,,[GeIL] 지포스 GT1030 D5 2GB,\115180,GeIL,GT 1030,1228 MHz,1468 MHz,1,6008 MHz,147mm,,,30W,300W,,1,,1,,
397,GT 1030,,[GIGABYTE] 지포스 GT1030 UD2 D5 2GB 미니미,\95000,GIGABYTE,GT 1030,1227 MHz,1468 MHz,1,6008 MHz,150mm,,,,300W,,1,,1,,
398,GT 1030,,[GIGABYTE] 지포스 GT1030 UD2 D5 2GB 블랙펄,\109000,GIGABYTE,GT 1030,1265 MHz,1518 MHz,1,6008 MHz,168mm,,,,300W,,1,,1,,
399,GT 1030,,[GIGABYTE] 지포스 GT1030 UD2 D5 2GB 팬리스,\92000,GIGABYTE,GT 1030,1227 MHz,1468 MHz,0,6008 MHz,175mm,,,,300W,,1,,1,,
400,GT 1030,,[inno3D] 지포스 GT 1030 D5 2GB 무소음 LP,\83500,inno3D,GT 1030,1227 MHz,1468 MHz,0,6000 MHz,167mm,,,30W,300W,,1,,1,,
401,GT 1030,,[MANLI] 지포스 GT1030 Black Frame Mini D5 2GB,\92000,MANLI,GT 1030,1227 MHz,1468 MHz,1,6004 MHz,182mm,,,,,,1,,1,,
402,GT 1030,,[MSI] 지포스 GT1030 D5 2GB LP 스톰 귀요미,\167000,MSI,GT 1030,1265 MHz,1518 MHz,1,6008 MHz,159mm,,,30W,300W,,1,,1,,
403,GT 1030,,[MSI] 지포스 GT1030 에어로 ITX OC D5 2GB,\106000,MSI,GT 1030,1265 MHz,1518 MHz,1,6008 MHz,147mm,,,30W,300W,,1,,1,,
404,GT 1030,,[PALIT] 지포스 GT1030 D5 2GB,\95000,PALIT,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,168mm,,,30W,300W,,1,,1,,
405,GT 1030,,[ZOTAC] 지포스 GT1030 D5 2GB LP,\100000,ZOTAC,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,172.5mm,,,30W,300W,,1,,1,,
406,GT 1030,,[갤럭시] GALAX 지포스 GT1030 D5 2GB,\104000,갤럭시,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,180mm,,,30W,300W,,1,,1,,
407,GT 1030,,[갤럭시] GALAX 지포스 GT1030 강아지 EXOC D5 2GB LP,\103000,갤럭시,GT 1030,1252 MHz,1506 MHz,1,6000 MHz,162mm,,,30W,300W,,1,,1,,
408,GT 1030,,[이엠텍] HV 지포스 GT1030 D5 2GB,\113130,이엠텍,GT 1030,1227 MHz,1468 MHz,1,6008 MHz,147mm,,,30W,300W,,1,,1,,
409,GT 1030,,[이엠텍] XENON 지포스 GT1030 HDMI 2.0 D5 2GB,\99000,이엠텍,GT 1030,1227 MHz,1468 MHz,1,6000 MHz,145mm,,,30W,300W,,1,,1,,
410,,, ,,,,,,,,,,,,,,,,,,
411,0,, ,,,,,,,,,,,,,,,,,,
412,0,,== AMD ==,,,,,,,,,,,,,,,,,,
413,0,, ,,,,,,,,,,,,,,,,,,
414,,,-- RX Vega 64 Liquid --,,,,,,,,,,,,,,,,,,
415,,, ,,,,,,,,,,,,,,,,,,
416,RX Vega 64 Liquid,,[PowerColor] 라데온 RX Vega 64 HBM2 8GB 워터쿨링,\-,PowerColor,RX Vega 64 Liquid,1406 MHz,1677 MHz,1,1900 MHz,283mm,2,,345W,1000W,,,,1,,3
417,RX Vega 64 Liquid,,[SAPPHIRE] 라데온 RX Vega 64 HBM2 8GB Liquid Cooled,\-,SAPPHIRE,RX Vega 64 Liquid,1406 MHz,1677 MHz,1,1890 MHz,272mm,2,,345W,1000W,,,,1,,3
418,RX Vega 64 Liquid,,[GIGABYTE] 라데온 RX Vega 64 HBM2 8GB 워터쿨링,\-,GIGABYTE,RX Vega 64 Liquid,1406 MHz,1677 MHz,1,1890 MHz,283mm,2,,345W,1000W,,,,1,,3
419,,, ,,,,,,,,,,,,,,,,,,
420,,,-- RX Vega 64 --,,,,,,,,,,,,,,,,,,
421,,, ,,,,,,,,,,,,,,,,,,
422,RX Vega 64,,[ASUS] ROG STRIX 라데온 RX Vega 64 O8G GAMING HBM2 8GB,\1710000,ASUS,RX Vega 64,1298 MHz,1590 MHz,3,1890 MHz,298mm,2,,,,,1,,2,,2
423,RX Vega 64,,[GIGABYTE] 라데온 RX Vega 64 Gaming HBM2 8GB,\997000,GIGABYTE,RX Vega 64,1276 MHz,1560 MHz,2,1890 MHz,274mm,2,,,750W,,,,3,,3
424,RX Vega 64,,[GIGABYTE] 라데온 RX Vega 64 HBM2 8GB,\-,GIGABYTE,RX Vega 64,1247 MHz,1546 MHz,1,1890 MHz,283mm,2,,295W,750W,,,,1,,3
425,RX Vega 64,,[GIGABYTE] 라데온 RX Vega 64 실버 HBM2 8GB,\-,GIGABYTE,RX Vega 64,1247 MHz,1546 MHz,1,1890 MHz,280mm,2,,295W,750W,,,,1,,3
426,RX Vega 64,,[HIS] 라데온 RX Vega 64 HBM2 8GB,\-,HIS,RX Vega 64,1247 MHz,1546 MHz,1,1890 MHz,280mm,2,,295W,750W,,,,1,,3
427,RX Vega 64,,[PowerColor] 라데온 RX Vega 64 HBM2 8GB,\-,PowerColor,RX Vega 64,1247 MHz,1546 MHz,1,1890 MHz,280mm,2,,295W,750W,,,,1,,3
428,RX Vega 64,,[SAPPHIRE] 라데온 RX Vega 64 HBM2 8GB,\-,SAPPHIRE,RX Vega 64,1247 MHz,1546 MHz,1,1890 MHz,272mm,2,,295W,750W,,,,1,,3
429,RX Vega 64,,[SAPPHIRE] 라데온 RX Vega 64 NITRO+ Limited Edition HBM2 8GB Turbine-X,\1519000,SAPPHIRE,RX Vega 64,1423 MHz,1611 MHz,3,1890 MHz,310mm,3,,360W,850W,,,,2,,2
430,RX Vega 64,,[XFX] 라데온 RX Vega 64 HBM2 8GB,\-,XFX,RX Vega 64,1247 MHz,1546 MHz,1,1890 MHz,280mm,2,,295W,750W,,,,1,,3
431,,, ,,,,,,,,,,,,,,,,,,
432,,,-- RX Vega 56 --,,,,,,,,,,,,,,,,,,
433,,, ,,,,,,,,,,,,,,,,,,
434,RX Vega 56,,[GIGABYTE] 라데온 RX Vega 56 Gaming HBM2 8GB,\799000,GIGABYTE,RX Vega 56,1156 MHz,1471 MHz,2,1600 MHz,274mm,2,,,650W,,,,3,,3
435,RX Vega 56,,[GIGABYTE] 라데온 RX Vega 56 HBM2 8GB,\975240,GIGABYTE,RX Vega 56,1156 MHz,1471 MHz,1,1600 MHz,280mm,2,,210W,650W,,,,1,,3
436,RX Vega 56,,[HIS] 라데온 RX Vega 56 HBM2 8GB,\1439980,HIS,RX Vega 56,1156 MHz,1471 MHz,1,1600 MHz,280mm,2,,210W,650W,,,,1,,3
437,RX Vega 56,,[PowerColor] 라데온 RX Vega 56 HBM2 8GB 붉은악마,\823000,PowerColor,RX Vega 56,1308 MHz,1526 MHz,3,,316mm,2,,,750W,,,,2,,2
438,RX Vega 56,,[SAPPHIRE] 라데온 RX Vega 56 HBM2 8GB,\-,SAPPHIRE,RX Vega 56,1156 MHz,1471 MHz,1,1600 MHz,280mm,2,,210W,650W,,,,1,,3
439,RX Vega 56,,[SAPPHIRE] 라데온 RX Vega 56 NITRO+ Limited Edition HBM2 8GB Turbine-X,\1107700,SAPPHIRE,RX Vega 56,1305 MHz,1572 MHz,3,1600 MHz,310mm,3,,295W,750W,,,,2,,2
440,,, ,,,,,,,,,,,,,,,,,,
441,,,-- RX Vega Frontier --,,,,,,,,,,,,,,,,,,
442,,, ,,,,,,,,,,,,,,,,,,
443,RX Vega Frontier,,[AMD] 라데온 VEGA Frontier Edition HBC 16GB,\-,AMD,RX Vega Frontier,1382 MHz,1600 MHz,1,1890 MHz,270mm,2,,300W,850W,,,,1,,3
444,RX Vega Frontier,,[AMD] 라데온 VEGA Frontier Edition HBC 16GB Liquid,\-,AMD,RX Vega Frontier,1382 MHz,1600 MHz,1,1890 MHz,270mm,2,,300W,850W,,,,1,,3
445,,, ,,,,,,,,,,,,,,,,,,
446,,,-- RX 580 --,,,,,,,,,,,,,,,,,,
447,,, ,,,,,,,,,,,,,,,,,,
448,RX 580,,[ASRock] Phantom Gaming X 라데온 RX580 OC D5 8GB,\-,ASRock,RX 580,1330 MHz,1435 MHz,2,8000 MHz,278.8mm,1,,,,,1,,1,,3
449,RX 580,,[ASUS] ROG STRIX 라데온 RX 580 O8G GAMING D5 8GB,\-,ASUS,RX 580,1360 MHz,1380 MHz,3,8000 MHz,298mm,1,,,500W,,1,,2,,2
450,RX 580,,[ASUS] DUAL 라데온 RX580 O4G D5 4GB,\418650,ASUS,RX 580,1360 MHz,,2,7000 MHz,242mm,1,,,,,1,,2,,2
451,RX 580,,[GIGABYTE] 라데온 RX 580 AORUS D5 4GB,\722990,GIGABYTE,RX 580,1365 MHz,1380 MHz,2,7000 MHz,232mm,1,,,500W,,1,,1,,3
452,RX 580,,[GIGABYTE] 라데온 RX 580 AORUS D5 8GB,\471500,GIGABYTE,RX 580,1365 MHz,1380 MHz,2,8000 MHz,232mm,1,,,500W,,1,,1,,3
453,RX 580,,[GIGABYTE] 라데온 RX 580 Gaming D5 4GB,\-,GIGABYTE,RX 580,1340 MHz,1355 MHz,2,7000 MHz,232mm,1,,,500W,,1,,1,,3
454,RX 580,,[GIGABYTE] 라데온 RX 580 Gaming D5 8GB,\-,GIGABYTE,RX 580,1340 MHz,1355 MHz,2,8000 MHz,232mm,1,,,500W,,1,,1,,3
455,RX 580,,[GIGABYTE] 라데온 RX 580 XTR AORUS D5 8GB,\1235000,GIGABYTE,RX 580,1425 MHz,1439 MHz,2,8000 MHz,276mm,1,1,,500W,,1,,1,,3
456,RX 580,,[MSI] 라데온 RX 580 게이밍 X D5 8GB 트윈프로져6,\-,MSI,RX 580,1340 MHz,1393 MHz,2,8100 MHz,276mm,1,,,500W,,1,,1,,2
457,RX 580,,[SAPPHIRE] 라데온 RX 580 NITRO+ OC D5 4GB Dual-X ,\464600,SAPPHIRE,RX 580,,1411 MHz,2,7000 MHz,260mm,1,1,235W,500W,,1,,2,,2
458,RX 580,,[SAPPHIRE] 라데온 RX 580 PULSE OC D5 4GB Dual-X,\450560,SAPPHIRE,RX 580,,1366 MHz,2,7000 MHz,230mm,1,,225W,500W,,1,,2,,2
459,RX 580,,[SAPPHIRE] 라데온 RX 580 NITRO+ OC D5 8GB Dual-X ,\462300,SAPPHIRE,RX 580,,1411 MHz,2,8000 MHz,260mm,1,1,235W,500W,,1,,2,,2
460,RX 580,,[SAPPHIRE] 라데온 RX 580 NITRO+ Limited Edition OC D5 8GB Dual-X ,\997200,SAPPHIRE,RX 580,,1450 MHz,2,8000 MHz,260mm,1,1,250W,500W,,1,,2,,2
461,RX 580,,[SAPPHIRE] 라데온 RX 580 OC D5 8GB Dual-X NITRO+ Special Edition(병행수입),\486390,SAPPHIRE,RX 580,,1430 MHz,2,8400 MHz,260mm,1,1,250W,500W,,2,,2,,2
462,RX 580,,[SAPPHIRE] 라데온 RX 580 PULSE OC D5 8GB Dual-X ,\855000,SAPPHIRE,RX 580,,1366 MHz,2,8000 MHz,230mm,1,,225W,500W,,1,,2,,2
463,RX 580,,[XFX] 라데온 RX 580 블랙울프 GTR OC D5 8GB,\760000,XFX,RX 580,,1430 MHz,2,8000 MHz,280mm,1,1,,550W,,1,,1,,3
464,RX 580,,[XFX] 라데온 RX 580 블랙울프 OC D5 4GB,\1002260,XFX,RX 580,,1366 MHz,2,8000 MHz,280mm,1,,,500W,,1,,1,,3
465,RX 580,,[XFX] 라데온 RX 580 블랙울프 OC D5 8GB,\1043750,XFX,RX 580,,1366 MHz,2,8000 MHz,280mm,1,,,500W,,1,,1,,3
466,RX 580,,[PowerColor] 라데온 RX 580 D5 8GB 붉은악마,\453600,PowerColor,RX 580,,1380 MHz,2,8000 MHz,255mm,1,1,,550W,,1,,1,,3
467,,, ,,,,,,,,,,,,,,,,,,
468,,,-- RX 570 --,,,,,,,,,,,,,,,,,,
469,,, ,,,,,,,,,,,,,,,,,,
470,RX 570,,[ASRock] Phantom Gaming X 라데온 RX570 OC D5 8GB,\-,ASRock,RX 570,1280 MHz,1331 MHz,2,7000 MHz,278.8mm,1,,,,,1,,1,,3
471,RX 570,,[ASUS] EX 라데온 RX 570 O4G D5 4GB,\-,ASUS,RX 570,1266 MHz,1256 MHz,2,7000 MHz,240mm,,,,,,1,,1,,1
472,RX 570,,[ASUS] ROG STRIX 라데온 RX 570 O4G GAMING D5 4GB,\426780,ASUS,RX 570,1300 MHz,1310 MHz,2,7000 MHz,242mm,1,,,500W,,2,,1,,1
473,RX 570,,[GIGABYTE] 라데온 RX 570 AORUS D5 4GB,\399000,GIGABYTE,RX 570,1280 MHz,1295 MHz,2,7000 MHz,232mm,1,,,450W,,1,,1,,3
474,RX 570,,[GIGABYTE] 라데온 RX 570 Gaming D5 4GB,\402000,GIGABYTE,RX 570,1244 MHz,1255 MHz,2,7000 MHz,232mm,1,,,500W,,1,,1,,3
475,RX 570,,[MSI] 라데온 RX 570 게이밍 X D5 4GB 트윈프로져6,\-,MSI,RX 570,1244 MHz,1293 MHz,2,7100 MHz,276mm,1,,,450W,,1,,1,,2
476,RX 570,,[PowerColor] 라데온 RX 570 D5 4GB 붉은악마,\395000,PowerColor,RX 570,,1320 MHz,3,7000 MHz,310mm,1,,,450W,,1,,1,,3
477,RX 570,,[SAPPHIRE] 라데온 RX 570 NITRO+ OC D5 4GB Dual-X,\397300,SAPPHIRE,RX 570,,1340 MHz,2,7000 MHz,260mm,1,1,195W,500W,,1,,2,,2
478,RX 570,,[SAPPHIRE] 라데온 RX 570 NITRO+ OC D5 8GB Dual-X ,\479000,SAPPHIRE,RX 570,,1340 MHz,2,7000 MHz,260mm,1,1,195W,500W,,1,,2,,2
479,RX 570,,[SAPPHIRE] 라데온 RX 570 PULSE MINI D5 4GB ,\892320,SAPPHIRE,RX 570,,1244 MHz,1,7000 MHz,170mm,,1,150W,450W,,1,,1,,1
480,RX 570,,[SAPPHIRE] 라데온 RX 570 PULSE OC D5 4GB Dual-X ,\393850,SAPPHIRE,RX 570,1168 MHz,1284 MHz,2,7000 MHz,230mm,1,,180W,500W,,1,,2,,2
481,RX 570,,[XFX] 라데온 RX 570 블랙울프 OC D5 4GB,\960780,XFX,RX 570,,1366 MHz,2,7000 MHz,280mm,1,,,500W,,3,,1,,1
482,RX 570,,[XFX] 라데온 RX 570 블랙울프 OC D5 8GB,\-,XFX,RX 570,,1236 MHz,2,7000 MHz,255mm,1,,,500W,,1,,1,,3
483,,, ,,,,,,,,,,,,,,,,,,
484,,,-- RX 560 / RX 560D --,,,,,,,,,,,,,,,,,,
485,,, ,,,,,,,,,,,,,,,,,,
486,RX 560,,[GIGABYTE] 라데온 RX 560 Gaming D5 4GB,\224540,GIGABYTE,RX 560,1287 MHz,1300 MHz,2,7000 MHz,190mm,,1,,400W,,1,,1,,1
487,RX 560,,[GIGABYTE] 라데온 RX 560 Gaming V2 D5 4GB,\198000,GIGABYTE,RX 560,1224 MHz,1234 MHz,2,7000 MHz,190mm,,,,400W,,1,,1,,1
488,RX 560,,[GIGABYTE] 라데온 RX 560 UD2 D5 2GB 미니미,\235480,GIGABYTE,RX 560,1189 MHz,1199 MHz,1,7000 MHz,170mm,,,,400W,,1,,1,,1
489,RX 560,,[GIGABYTE] 라데온 RX 560 UD2 D5 4GB 미니미,\189000,GIGABYTE,RX 560,1189 MHz,1199 MHz,1,7000 MHz,170mm,,,,400W,,1,,1,,1
490,RX 560,,[HIS] 라데온 RX 560 iCooler OC D5 2GB,\130500,HIS,RX 560,,1257 MHz,1,7000 MHz,170mm,,1,60W,400W,,1,,1,,1
491,RX 560,,[HIS] 라데온 RX 560 iCooler OC D5 4GB,\-,HIS,RX 560,,1257 MHz,1,7000 MHz,170mm,,1,60W,400W,,1,,1,,1
492,RX 560,,[MSI] 라데온 RX 560 에어로 ITX OC D5 2GB,\150000,MSI,RX 560,1196 MHz,,1,7000 MHz,155mm,,,,400W,,1,,1,,1
493,RX 560,,[MSI] 라데온 RX 560 에어로 ITX OC D5 4GB,\176850,MSI,RX 560,1196 MHz,,1,7000 MHz,155mm,,,,400W,,1,,1,,1
494,RX 560,,[PowerColor] 라데온 RX 560 14CU D5 4GB 레드드래곤,\-,PowerColor,RX 560,,1180 MHz,2,7000 MHz,225mm,,,,400W,,1,,1,,1
495,RX 560,,[PowerColor] 라데온 RX 560 16CU D5 4GB 레드드래곤,\-,PowerColor,RX 560,,1180 MHz,2,7000 MHz,225mm,,,,400W,,,,,,
496,RX 560,,[SAPPHIRE] 라데온 RX 560 OC D5 2GB PULSE,\-,SAPPHIRE,RX 560,,1300 MHz,1,7000 MHz,210mm,,1,90W,400W,,1,,1,,1
497,RX 560,,[SAPPHIRE] 라데온 RX 560 OC D5 4GB PULSE,\-,SAPPHIRE,RX 560,,1300 MHz,1,7000 MHz,210mm,,1,90W,400W,,1,,1,,1
498,RX 560D,,[SAPPHIRE] RX 560 14CU PULSE Advantage Edition D5 4GB,\172000,SAPPHIRE,RX 560D,,1226 MHz,1,6000 MHz,210mm,,1,75W,400W,,1,,1,,1
499,RX 560D,,[SAPPHIRE] RX 560 14CU PULSE Advantage Edition D5 2GB,\145000,SAPPHIRE,RX 560D,,1226 MHz,1,6000 MHz,210mm,,1,75W,400W,,1,,1,,1
500,RX 560D,,[SAPPHIRE] RX 560 14CU PULSE Advantage Edition D5 4GB Dual,\227500,SAPPHIRE,RX 560D,,1216 MHz,2,6000 MHz,216mm,,1,75W,400W,,1,,1,,1
501,RX 560D,,[XFX] 라데온 RX 560 14CU 블랙울프 OC D5 2GB,\182000,XFX,RX 560D,,1196 MHz,1,7000 MHz,180mm,,1,,400W,,1,,1,,1
502,RX 560D,,[XFX] 라데온 RX 560 14CU 블랙울프 OC D5 4GB,\280800,XFX,RX 560D,,1196 MHz,1,7000 MHz,180mm,,1,,400W,,1,,1,,1
503,RX 560D,,[이엠텍] HV 라데온 RX 560 14CU D5 4GB NANO,\-,이엠텍,RX 560D,1090 MHz,1200 MHz,1,7000 MHz,153mm,,1,75W,400W,,1,,1,,1
504,,, ,,,,,,,,,,,,,,,,,,
505,,,-- RX 550 --,,,,,,,,,,,,,,,,,,
506,,, ,,,,,,,,,,,,,,,,,,
507,RX 550,,[GIGABYTE] 라데온 RX 550 Gaming D5 2GB,\122550,GIGABYTE,RX 550,1206 MHz,1219 MHz,2,7000 MHz,191mm,,,,400W,,1,,1,,1
508,RX 550,,[GIGABYTE] 라데온 RX 550 UD2 D5 2GB 미니미,\128500,GIGABYTE,RX 550,1183 MHz,1195 MHz,1,7000 MHz,170mm,,,,400W,,1,,1,,1
509,RX 550,,[PowerColor] 라데온 RX 550 OC D5 2GB 레드드래곤,\124000,PowerColor,RX 550,,1190 MHz,1,7000 MHz,144mm,,,,400W,,1,,1,,1
510,RX 550,,[PowerColor] 라데온 RX 550 D5 2GB 레드드래곤,\120000,PowerColor,RX 550,,1190 MHz,1,7000 MHz,225mm,,,,400W,,1,,1,,1
511,RX 550,,[SAPPHIRE] 라데온 RX 550 PULSE OC D5 2GB,\308560,SAPPHIRE,RX 550,1183 MHz,1206 MHz,1,7000 MHz,158mm,,,65W,400W,,1,,1,,1
512,,, ,,,,,,,,,,,,,,,,,,
513,,,-- Radeon Pro Duo --,,,,,,,,,,,,,,,,,,
514,,, ,,,,,,,,,,,,,,,,,,
515,Radeon Pro Duo,,[SAPPHIRE] 라데온 Pro Duo HBM 8GB,\1952000,SAPPHIRE,Radeon Pro Duo,1000 MHz,,1,1000 MHz,267mm,3,,350W,800W,,0,,1,,3
516,,, ,,,,,,,,,,,,,,,,,,
517,,,-- R9 FURY --,,,,,,,,,,,,,,,,,,
518,,, ,,,,,,,,,,,,,,,,,,
519,R9 Fury,,[ASUS] STRIX 라데온 R9 FURY DC3 HBM 4GB GAMING,\843000,ASUS,R9 Fury,1000 MHz,1020 MHz,3,1000 MHz,300mm,2,,,,,1,,1,,3
520,R9 Fury X,,[GIGABYTE] 라데온 R9 FURY X HBM 4GB,\947000,GIGABYTE,R9 Fury X,1050 MHz,,1,1000 MHz,195mm,2,,275W,600W,,0,,1,,3
521,R9 Fury X,,[MSI] 라데온 R9 FURY X HBM 4GB,\1089000,MSI,R9 Fury X,1050 MHz,,1,1000 MHz,195mm,2,,350W,,,0,,1,,3
522,R9 Fury X,,[SAPPHIRE] 라데온 R9 FURY X HBM 4GB,\989600,SAPPHIRE,R9 Fury X,1050 MHz,,1,1000 MHz,195mm,2,,275W,600W,,0,,1,,3
523,,, ,,,,,,,,,,,,,,,,,,
524,,,-- R9 NANO --,,,,,,,,,,,,,,,,,,
525,,, ,,,,,,,,,,,,,,,,,,
526,R9 Nano,,[GIGABYTE] 라데온 R9 Nano HBM 4GB,\801000,GIGABYTE,R9 Nano,1000 MHz,,1,1000 MHz,155mm,1,,,600W,,0,,1,,3
527,R9 Nano,,[SAPPHIRE] 라데온 R9 Nano HBM 4GB,\660400,SAPPHIRE,R9 Nano,1000 MHz,,1,1000 MHz,158mm,1,,190W,600W,,0,,1,,3
528,,, ,,,,,,,,,,,,,,,,,,
529,,,-- RX 480 --,,,,,,,,,,,,,,,,,,
530,,, ,,,,,,,,,,,,,,,,,,
531,RX 480,,[GIGABYTE] 라데온 RX 480 G1.Gaming D5 4GB,\545000,GIGABYTE,RX 480,,1290 MHz,2,7000 MHz,232mm,1,,,,,1,,1,,3
532,RX 480,,[GIGABYTE] 라데온 RX 480 G1.Gaming D5 8GB,\575000,GIGABYTE,RX 480,,1290 MHz,2,8000 MHz,191mm,1,,,,,1,,1,,3
533,RX 480,,[MSI] 라데온 RX 480 게이밍 X D5 8GB 트윈프로져6,\-,MSI,RX 480,1266 MHz,1316 MHz,2,8100 MHz,276mm,1,,150W,500W,,1,,2,,2
534,,, ,,,,,,,,,,,,,,,,,,
535,,,-- RX 470 --,,,,,,,,,,,,,,,,,,
536,,, ,,,,,,,,,,,,,,,,,,
537,RX 470,,[XFX] 라데온 RX 470 블랙울프 OC D5 4GB,\580000,XFX,RX 470,,1226 MHz,2,7000 MHz,240mm,,1,,500W,,1,,1,,3
538,,, ,,,,,,,,,,,,,,,,,,
539,,,-- RX 460 --,,,,,,,,,,,,,,,,,,
540,,, ,,,,,,,,,,,,,,,,,,
541,RX 460,,[GIGABYTE] 라데온 RX 460 UDV D5 2GB 윈드포스,\285000,GIGABYTE,RX 460,1212 MHz,1212 MHz,2,7000 MHz,191mm,,,75W,,,1,,1,,1
542,RX 460,,[GIGABYTE] 라데온 RX 460 UDV D5 4GB 윈드포스,\313000,GIGABYTE,RX 460,1212 MHz,1212 MHz,2,7000 MHz,191mm,,1,85W,,,1,,1,,1
543,RX 460,,[HIS] 라데온 RX 460 iCooler OC D5 2GB,\139550,HIS,RX 460,1090 MHz,1220 MHz,1,7000 MHz,170mm,,1,75W,,,1,,1,,1
544,RX 460,,[HIS] 라데온 RX 460 Slim iCooler OC D5 2GB,\-,HIS,RX 460,1090 MHz,1220 MHz,1,7000 MHz,168mm,,,75W,400W,,1,,1,,1
545,RX 460,,[SAPPHIRE] 라데온 RX 460 OC D5 2GB,\141000,SAPPHIRE,RX 460,1090 MHz,1210 MHz,2,7000 MHz,170mm,,,75W,,,1,,1,,1
546,RX 460,,[XFX] 라데온 RX 460 블랙울프 OC D5 2GB,\175000,XFX,RX 460,,1220 MHz,2,7000 MHz,238mm,,1,,,,1,,1,,1
,,,,,,,,,,,,,,,,,,,,,
