,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
125,LGA 1151v2,,[ASRock] FATAL1TY Z370 Gaming-ITX/ac,\270700,ASRock,LGA 1151v2,Z370,m-ITX,17,17,DDR4,2개,4333Mhz,1,1,,,1,,1,,,,6,,6,,1,,,Intel I219V,O,,검정,
126,LGA 1151v2,, ,,,LGA 1151v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,LGA 1151v2,,[ASUS] PRIME Z370-A,\197900,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,1,,,1,1,1,,1,2,2,6,,2,,,Intel I219V,,,검은,O
128,LGA 1151v2,,[ASUS] PRIME Z370-P,\170900,ASUS,LGA 1151v2,Z370,ATX,30.5,22.6,DDR4,4개,4000Mhz,1,2,1,,,1,,,,,4,2,4,,2,,,Realtek RTL8111H,,,검은,
129,LGA 1151v2,,[ASUS] ROG MAXIMUS X APEX,\465900,ASUS,LGA 1151v2,Z370,E-ATX,30.5,27.2,DDR4,2개,4500Mhz,2,4,,,,1,1,1,,1,6,,4,,2,,,Intel I219V,,,검은,O
130,LGA 1151v2,,[ASUS] ROG MAXIMUS X CODE,\466000,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,2,3,,,,1,1,1,,1,4,4,6,,2,,,Intel I219V,O,,검정,O
131,LGA 1151v2,,[ASUS] ROG MAXIMUS X FORMULA,\575640,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,2,3,,,,1,1,1,,1,4,4,6,,2,,,Intel I219V,O,,검정,O
132,LGA 1151v2,,[ASUS] ROG MAXIMUS X HERO (Wi-Fi AC),\410000,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,2,3,,,,1,1,1,,1,4,2,6,,2,,,Intel I219V,O,,검정,O
133,LGA 1151v2,,[ASUS] ROG MAXIMUS X HERO,\350000,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,1,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
134,LGA 1151v2,,[ASUS] ROG STRIX Z370-E GAMING,\241950,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,2,3,1,,,1,1,1,,1,2,2,6,,2,,,Intel I219V,O,,검은,O
135,LGA 1151v2,,[ASUS] ROG STRIX Z370-F GAMING,\199630,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,1,1,,1,2,2,6,,2,,,Intel I219V,,,검정,O
136,LGA 1151v2,,[ASUS] ROG STRIX Z370-G GAMING,\221710,ASUS,LGA 1151v2,Z370,m-ATX,24.4,24.4,DDR4,4개,4000Mhz,2,2,,,,1,1,,,2,4,2,6,,2,,,Intel I219V,,,검정,O
137,LGA 1151v2,,[ASUS] ROG STRIX Z370-G GAMING (Wi-Fi AC),\266600,ASUS,LGA 1151v2,Z370,m-ATX,24.4,24.4,DDR4,4개,4000Mhz,2,2,,,,1,,,,2,4,2,6,,2,,,Intel I219V,O,,검정,O
138,LGA 1151v2,,[ASUS] ROG STRIX Z370-H GAMING,\169000,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4333Mhz,2,2,1,,,1,1,,,2,4,2,6,,2,,,Intel I219V,,,검빨,
139,LGA 1151v2,,[ASUS] ROG STRIX Z370-I GAMING,\250500,ASUS,LGA 1151v2,Z370,m-ITX,17,17,DDR4,4개,4000Mhz,1,1,,,,1,,,1,,3,4,4,,2,,,Intel I219V,O,,검흰,O
140,LGA 1151v2,,[ASUS] TUF Z370-PLUS GAMING,\153640,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,2개,4000Mhz,1,2,1,,,1,,,1,2,2,2,6,,2,,,Intel I219V,,,검정,O
141,LGA 1151v2,,[ASUS] TUF Z370-PRO GAMING,\155000,ASUS,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,2,1,,,1,,,,2,4,2,6,,2,,,Intel I219V,,,검노,
142,LGA 1151v2,, ,,,LGA 1151v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,LGA 1151v2,,[GIGABYTE] Z370 AORUS Gaming 3,\185800,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,1,2,,,,1,,1,,1,4,2,6,,2,,,Killer E2500,,,검빨,O
144,LGA 1151v2,,[GIGABYTE] Z370 AORUS Gaming K3,\180300,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,1,2,1,,,1,1,1,,1,4,2,6,,2,,,Intel I219V,,,검회,O
145,LGA 1151v2,,[GIGABYTE] Z370 AORUS Gaming 5,\291000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,2,3,,,,1,1,1,,1,4,2,6,,3,,,Intel I219V,O,,검은,O
146,LGA 1151v2,,[GIGABYTE] Z370 AORUS Gaming 7,\332000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,,1,,1,5,,6,,3,,,Intel I219V + Killer E2500,,,검은,O
147,LGA 1151v2,,[GIGABYTE] Z370 AORUS Gaming 7-OP,\360000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,,,,,,,1,1,,,2,4,2,6,,3,,,,O,O,,O
148,LGA 1151v2,,[GIGABYTE] Z370 AORUS Gaming WiFi,\210000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,,1,,1,6,,6,,2,,,Intel I219V,O,,검회,O
149,LGA 1151v2,,[GIGABYTE] Z370 AORUS Ultra Gaming,\217700,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,1,,,1,,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
150,LGA 1151v2,,[GIGABYTE] Z370 AORUS Ultra Gaming WIFi,\237000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,,,,,,,1,,,,2,4,2,6,,2,,,,O,O,,O
151,LGA 1151v2,,[GIGABYTE] Z370 AORUS Ultra Gaming 2.0,\217500,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,,1,,1,4,2,6,,2,,,Intel I219V,,,,O
152,LGA 1151v2,,[GIGABYTE] Z370 AORUS Ultra Gaming 2.0-OP,\239000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,,,,,,,1,,,,2,4,2,6,,2,,,,,,,O
153,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,LGA 1151v2,,[GIGABYTE] Z370 HD3 듀러블에디션,\154800,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,22.5,DDR4,4개,4000Mhz,1,2,1,,,1,,,,,4,2,6,,1,,,Intel I219V,,,검흰,O
155,LGA 1151v2,,[GIGABYTE] Z370 HD3-OP 듀러블에디션,\175900,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,22.5,DDR4,4개,,,,1,,,1,,,,,4,2,6,,1,,,,,,,O
156,LGA 1151v2,,[GIGABYTE] Z370 UD3H 듀러블에디션,\177700,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,1,1,,1,6,,6,,2,,,Intel I219V,,,,O
157,LGA 1151v2,,[GIGABYTE] Z370M D3H 듀러블에디션,\145300,GIGABYTE,LGA 1151v2,Z370,m-ATX,24.4,24.4,DDR4,4개,4400Mhz,1,2,1,,,1,1,,1,,6,,6,,2,,,Intel I219V,,,검흰,O
158,LGA 1151v2,,[GIGABYTE] Z370M DS3H 듀러블에디션,\145000,GIGABYTE,LGA 1151v2,Z370,m-ATX,22.8,19.3,DDR4,4개,3866Mhz,,,1,,,1,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,
159,LGA 1151v2,,[GIGABYTE] Z370N WiFi 듀러블에디션,\190500,GIGABYTE,LGA 1151v2,Z370,m-ITX,17,17,DDR4,4개,4000Mhz,1,1,,,1,1,,1,,1,6,,4,,2,,,Intel I219V 2x,O,,검흰,O
160,LGA 1151v2,,[GIGABYTE] Z370P D3 듀러블에디션,\152000,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,22.5,DDR4,4개,4000Mhz,,2,,,,1,,,,,4,2,6,,1,,,Realtek RTL8111H,,,,O
161,LGA 1151v2,,[GIGABYTE] Z370XP SLI 듀러블에디션,\474990,GIGABYTE,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,,1,,1,6,,6,,2,,,Intel I219V,,,검흰,O
162,LGA 1151v2,, ,,,LGA 1151v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,LGA 1151v2,,[MSI] Z370 SLI PLUS,\184800,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4133Mhz,2,3,1,,,1,,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
164,LGA 1151v2,,[MSI] Z370 갓라이크 게이밍,\-,MSI,LGA 1151v2,Z370,E-ATX,30.5,27.2,DDR4,4개,4000Mhz,2,4,,,,,,1,,1,6,,6,,3,,1,Killer E2500 3x,O,,검정,O
165,LGA 1151v2,,[MSI] Z370 게이밍 플러스,\167000,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,1,2,,1,,1,1,,,,4,2,6,,1,,,Intel I219V,,,검빨,
166,LGA 1151v2,,[MSI] Z370 게이밍 M5,\263100,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,1,1,,1,2,3,6,,2,,,Killer E2500,,,검정,O
167,LGA 1151v2,,[MSI] Z370 게이밍 프로 카본,\231790,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,,,,1,1,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
168,LGA 1151v2,,[MSI] Z370 크레이트 게이밍,\173000,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,3,1,,,1,,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
169,LGA 1151v2,,[MSI] Z370 토마호크,\174700,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,2,1,,,1,,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
170,LGA 1151v2,,[MSI] Z370-A PRO,\138800,MSI,LGA 1151v2,Z370,ATX,30.5,24.4,DDR4,4개,4000Mhz,2,2,1,1,,,1,,,,4,2,6,,1,,,Realtek RTL8111H,,,갈색,
171,LGA 1151v2,,[MSI] Z370M 박격포,\139000,MSI,LGA 1151v2,Z370,m-ATX,24.3,24.3,DDR4,4개,4000Mhz,2,2,1,,,1,1,,,,4,2,6,,2,,,Intel I219V,,,검회,O
172,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0,,== 카비레이크 ==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,"-- [스카이레이크, 카비레이크] B250 --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,LGA 1151,,[ASRock] B250 PRO4,\121200,ASRock,LGA 1151,B250,ATX,30.5,22.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,1,6,,2,,,Intel I219V,,,검흰,
178,LGA 1151,,[ASRock] B250M PRO4,\97400,ASRock,LGA 1151,B250,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,2,6,,2,,,Intel I219V,,,검흰,
179,LGA 1151,,[ASRock] B250M-HDV,\79000,ASRock,LGA 1151,B250,m-ATX,22.5,18.5,DDR4,2개,2400Mhz,1,1,O,O,,O,,,,,4,2,6,,1,,,Intel I219V,,,검흰,
180,LGA 1151,,[ASRock] FATAL1TY B250M Performance,\120900,ASRock,LGA 1151,B250,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,2,6,,2,,,Intel I219V,,,검빨,O
181,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,LGA 1151,,[ASUS] PRIME B250M-A,\96900,ASUS,LGA 1151,B250,m-ATX,24.4,20.6,DDR4,4개,2400Mhz,1,1,O,O,,O,,,1,,2,2,6,,2,,,Realtek 8111H,,,검정,
183,LGA 1151,,[ASUS] PRIME B250M-C,\137490,ASUS,LGA 1151,B250,m-ATX,22.6,18.5,DDR4,4개,2400Mhz,1,1,O,O,,O,O,,,,4,2,6,,2,,,Intel I219V,,,초록,
184,LGA 1151,,[ASUS] PRIME B250M-K,\81700,ASUS,LGA 1151,B250,m-ATX,22.6,18.5,DDR4,2개,2400Mhz,1,1,O,O,,,,,,,4,2,6,,1,,,Realtek 8111H,,,검정,
185,LGA 1151,,[ASUS] PRIME B250M-PLUS,\113900,ASUS,LGA 1151,B250,m-ATX,24.4,22.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,2,6,,2,,,Intel I219V,,,검정,
186,LGA 1151,,[ASUS] PRIME B250-PLUS,\140000,ASUS,LGA 1151,B250,ATX,30.5,21.8,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,2,4,6,,2,,,Realtek 8111H,,,검빨,
187,LGA 1151,,[ASUS] PRIME B250-PRO,\143000,ASUS,LGA 1151,B250,ATX,30.5,21.8,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,2,2,2,6,,2,,,Realtek RTL8111H,,,검빨,
188,LGA 1151,,[ASUS] ROG STRIX B250F GAMING,\162660,ASUS,LGA 1151,B250,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,O,1,,1,2,4,6,,2,,,Intel I219V,,,검정,O
189,LGA 1151,,[ASUS] ROG STRIX B250G GAMING,\144500,ASUS,LGA 1151,B250,m-ATX,24.4,21.8,DDR4,4개,2400Mhz,1,1,,O,,O,,,,,2,4,6,,2,,,Intel I219V,,,검빨,
190,LGA 1151,,[ASUS] ROG STRIX B250H GAMING,\155000,ASUS,LGA 1151,B250,ATX,30.5,23.4,DDR4,4개,2400Mhz,1,2,,O,,O,,,,,2,4,6,,2,,,Intel I219V,,,검빨,
191,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,LGA 1151,,[BIOSTAR] RACING B250 GT3,\95000,BIOSTAR,LGA 1151,B250,m-ATX,24.4,23,DDR4,4개,2400Mhz,1,2,,O,,O,,,,,4,2,6,,2,,,Intel I219V,,,검정,O
193,LGA 1151,,[BIOSTAR] RACING B250 GT5,\118200,BIOSTAR,LGA 1151,B250,ATX,30.5,22.5,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,2,6,,2,,,Intel I219V,,,검정,O
194,LGA 1151,,[BIOSTAR] TB250 BTC,\110240,BIOSTAR,LGA 1151,B250,ATX,29.5,21,DDR4,2개,2400Mhz,1,1,,O,,,,,,,4,2,6,,1,,,Realtek RTL8111H,,,검정,
195,LGA 1151,,[BIOSTAR] TB250 BTC PRO,\173500,BIOSTAR,LGA 1151,B250,ATX,29.5,21,DDR4,2개,2400Mhz,1,1,,O,,,,,,,4,2,6,,,,,Realtek RTL8111H,,,검정,
196,LGA 1151,,[BIOSTAR] TB250 BTC+,\159700,BIOSTAR,LGA 1151,B250,ATX,29.5,21,DDR4,2개,2400Mhz,1,1,,O,,,,,,,4,2,6,,,,,Realtek RTL8111H,,,검정,
197,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,LGA 1151,,[GIGABYTE] GA-B250-HD3 듀러블에디션,\127000,GIGABYTE,LGA 1151,B250,ATX,30.5,22.5,DDR4,4개,2400Mhz,1,2,O,O,,O,,,,,4,2,6,,1,1,,Intel I219V,,,검정,
199,LGA 1151,,[GIGABYTE] GA-B250-HD3P 듀러블에디션,\143200,GIGABYTE,LGA 1151,B250,ATX,30.5,22.5,DDR4,4개,2400Mhz,1,2,O,O,,O,,1,,1,4,2,6,,1,1,,Intel I219V,,,검정,
200,LGA 1151,,[GIGABYTE] GA-B250M-D2V 듀러블에디션,\86850,GIGABYTE,LGA 1151,B250,m-ATX,22.6,17.4,DDR4,2개,2400Mhz,1,1,O,O,,,,,,,4,2,6,,,,,Realtek 8111H,,,검정,
201,LGA 1151,,[GIGABYTE] GA-B250M-D3H 듀러블에디션,\97460,GIGABYTE,LGA 1151,B250,m-ATX,24.4,22.5,DDR4,4개,2400Mhz,1,2,O,O,,O,O,,,,4,2,6,,1,1,,Intel I219V,,,검정,
202,LGA 1151,,[GIGABYTE] GA-B250M-D3V 듀러블에디션,\88730,GIGABYTE,LGA 1151,B250,m-ATX,24.4,17.4,DDR4,2개,2400Mhz,1,1,O,O,,,,,,,4,2,6,,1,,,Realtek 8111H,,,검정,
203,LGA 1151,,[GIGABYTE] GA-B250M-DS3H 듀러블에디션,\92800,GIGABYTE,LGA 1151,B250,m-ATX,22.6,19.3,DDR4,4개,2400Mhz,1,1,O,O,,O,,,,,4,2,6,,1,,,Realtek 8111H,,,검정,
204,LGA 1151,,[GIGABYTE] GA-B250M-Gaming 5 게이밍에디션,\164300,GIGABYTE,LGA 1151,B250,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,,,,,4,3,6,,1,,,Intel I219V,,,검빨,O
205,LGA 1151,,[GIGABYTE] GA-B250M-HD3 듀러블에디션,\89900,GIGABYTE,LGA 1151,B250,m-ATX,24.4,17.4,DDR4,2개,2400Mhz,1,1,O,O,,O,,,,,4,2,6,,1,,,Realtek 8111H,,,검정,
206,LGA 1151,,[GIGABYTE] GA-B250N-Phoenix WiFi 듀러블에디션,\155700,GIGABYTE,LGA 1151,B250,m-ITX,17,17,DDR4,2개,2400Mhz,1,1,,,,O,O,1,,1,4,2,4,,1,,,Intel I219V,O,,검-주황,O
207,LGA 1151,,[GIGABYTE] GA-Gaming B8 게이밍에디션,\172500,GIGABYTE,LGA 1151,B250,ATX,30.5,23.3,DDR4,4개,2400Mhz,1,2,,O,,O,,1,,1,4,1,6,,1,,,Intel I219V,,,검초,O
208,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,LGA 1151,,[MSI] B250I 게이밍 프로 AC,\143900,MSI,LGA 1151,B250,m-ITX,17,17,DDR4,2개,2400Mhz,1,1,,O,,O,,,,,4,2,4,,1,,,Realtek RTL8111H,,,갈색,
210,LGA 1151,,[MSI] B250M PRO-VD,\81800,MSI,LGA 1151,B250,m-ATX,22.6,18.5,DDR4,2개,2400Mhz,1,1,O,O,,,,,,,6,4,2,,1,,,Realtek 8111H,,,갈색,
211,LGA 1151,,[MSI] B250M PRO-VDH,\97800,MSI,LGA 1151,B250,m-ATX,24.4,22.8,DDR4,4개,2400Mhz,1,1,O,O,,O,,,1,,3,2,6,,1,,,Realtek 8111H,,,갈색,
212,LGA 1151,,[MSI] B250M 바주카,\97300,MSI,LGA 1151,B250,m-ATX,24.4,22.8,DDR4,4개,2400Mhz,1,1,,O,,O,,,1,,3,2,6,,1,,,Realtek 8111H,,,검회,O
213,LGA 1151,,[MSI] B250M 박격포,\96500,MSI,LGA 1151,B250,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,O,,1,,3,2,6,,1,,,Intel I219V,,,검회,O
214,LGA 1151,,[MSI] B250M 박격포 아틱,\115400,MSI,LGA 1151,B250,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,O,,1,,3,2,6,,1,,,Intel I219V,,,흰색,O
215,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,"-- [스카이레이크, 카비레이크] H270 --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,LGA 1151,,[ASRock] FATAL1TY H270 Performance,\149600,ASRock,LGA 1151,H270,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,2,6,,2,,,Intel I219V,,,검빨,O
219,LGA 1151,,[ASRock] H270 PRO4,\135100,ASRock,LGA 1151,H270,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,5,,6,,2,,,Intel I219V,,,검흰,
220,LGA 1151,,[ASRock] H270M PRO4,\124200,ASRock,LGA 1151,H270,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,3,2,6,,2,,,Intel I219V,,,검흰,
221,LGA 1151,,[ASRock] H270m-ITX/ac,\162000,ASRock,LGA 1151,H270,m-ITX,17,17,DDR4,2개,2400Mhz,1,1,,O,,O,,,,,6,2,6,,1,,,Intel I219V + I219V,O,,검정,
222,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,LGA 1151,,[ASUS] PRIME H270M-PLUS,\140060,ASUS,LGA 1151,H270,m-ATX,24.38,23.88,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,2,2,6,,2,,,Intel I219V,,,검정,
224,LGA 1151,,[ASUS] PRIME H270-PLUS,\156440,ASUS,LGA 1151,H270,ATX,30.5,22.1,DDR4,4개,2400Mhz,1,2,O,O,,O,,,,,4,2,6,,2,,,Realtek 8111H,,,검정,
225,LGA 1151,,[ASUS] PRIME H270-PRO,\156430,ASUS,LGA 1151,H270,ATX,30.5,22.6,DDR4,4개,2400Mhz,1,2,,O,,O,O,,1,2,2,2,6,,2,,,Intel I219V,,,검정,
226,LGA 1151,,[ASUS] ROG STRIX H270F GAMING,\180960,ASUS,LGA 1151,H270,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,O,1,,1,2,4,6,,2,,,Intel I219V,,,검정,O
227,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,LGA 1151,,[GIGABYTE] GA-H270-GAMING 3 게이밍에디션,\162300,GIGABYTE,LGA 1151,H270,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,,1,,1,4,2,6,,2,2,,Killer E2500,,,검정,O
229,LGA 1151,,[GIGABYTE] GA-H270-HD3 듀러블에디션,\138400,GIGABYTE,LGA 1151,H270,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,O,O,,O,,,,,4,2,6,,1,1,,Intel I219V,,,검정,
230,LGA 1151,,[GIGABYTE] GA-H270-HD3P 듀러블에디션,\152300,GIGABYTE,LGA 1151,H270,ATX,30.5,22.5,DDR4,4개,2400Mhz,1,2,O,O,,O,,1,,1,4,2,6,,1,1,,Intel I219V,,,검정,
231,LGA 1151,,[GIGABYTE] GA-H270M-D3H 듀러블에디션,\140000,GIGABYTE,LGA 1151,H270,m-ATX,24.4,22.5,DDR4,4개,2400Mhz,1,2,O,O,,O,,,1,,4,2,6,,1,2,,Intel I219V,,,검정,
232,LGA 1151,,[GIGABYTE] GA-H270M-DS3H 듀러블에디션,\132000,GIGABYTE,LGA 1151,H270,m-ATX,24.4,21.5,DDR4,4개,2400Mhz,1,2,O,O,,O,O,,,,4,2,6,,1,2,,Realtek 8111H,,,검정,
233,LGA 1151,,[GIGABYTE] GA-H270N-WiFi 듀러블에디션,\187700,GIGABYTE,LGA 1151,H270,m-ITX,17,17,DDR4,2개,2400Mhz,1,1,,O,,O,,,1,,4,,6,,1,,,Intel I219V + I219V,O,,검정,
234,LGA 1151,, ,,,LGA 1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,LGA 1151,,[MSI] H270 게이밍 M3,\164100,MSI,LGA 1151,H270,ATX,30.4,24.3,DDR4,4개,2400Mhz,1,2,,O,,O,,1,,1,4,2,6,,1,,1,Killer E2500,,,검빨,O
236,LGA 1151,,[MSI] H270 게이밍 프로 카본,\173900,MSI,LGA 1151,H270,ATX,30.5,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,,1,,1,4,2,6,,2,,,Intel I219V,,,검정,O
237,LGA 1151,,[MSI] H270 토마호크 아틱,\161000,MSI,LGA 1151,H270,ATX,30.4,24.3,DDR4,4개,2400Mhz,1,2,,O,,O,,1,,1,4,2,6,,2,,,LIntel I219V,,,흰색,O
238,LGA 1151,,[MSI] H270-A PRO,\128000,MSI,LGA 1151,H270,ATX,30.5,22.5,DDR4,4개,2400Mhz,1,1,O,O,,,O,,,,8,6,6,,1,,,Realtek RTL8111H,,,고동,
239,LGA 1151,,[MSI] H270M 박격포 아틱,\143500,MSI,LGA 1151,H270,m-ATX,24.4,24.4,DDR4,4개,2400Mhz,1,2,,O,,O,O,,1,,3,2,6,,1,,,Intel I219V,,,흰색,O
240,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,"-- [스카이레이크, 카비레이크] Z270 --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
